<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVXP.US,D,20260129,000000,24.695,24.695,24.495,24.495,528,0
DVXP.US,D,20260202,000000,25.26,25.5676,25.26,25.5676,1002,0
DVXP.US,D,20260203,000000,26.19,26.2,26.045,26.045,2003,0
DVXP.US,D,20260205,000000,26.69,26.69,26.585,26.585,386,0
DVXP.US,D,20260206,000000,26.935,27.0475,26.935,27.0475,401,0
DVXP.US,D,20260209,000000,27.18,27.18,26.565,26.565,1335,0
DVXP.US,D,20260210,000000,26.755,26.755,26.6467,26.6467,802,0
DVXP.US,D,20260211,000000,26.875,27.2937,26.85,27.2937,372,0
DVXP.US,D,20260218,000000,27.28,27.28,27.0926,27.0926,253,0
DVXP.US,D,20260219,000000,26.925,26.926,26.925,26.926,180,0
DVXP.US,D,20260225,000000,27.38,27.4848,27.38,27.4848,124,0
DVXP.US,D,20260227,000000,27.615,27.9022,27.615,27.9022,703,0
DVXP.US,D,20260302,000000,27.58,27.67,27.3458,27.3458,316,0
DVXP.US,D,20260303,000000,27.13,27.13,27.12,27.12,1505,0
DVXP.US,D,20260305,000000,25.86,25.86,25.86,25.86,106,0
DVXP.US,D,20260306,000000,25.99,26.0095,25.99,26.0095,494,0
DVXP.US,D,20260312,000000,25.26,25.4823,25.26,25.4823,517,0
DVXP.US,D,20260317,000000,25.89,25.89,25.6304,25.6304,205,0
DVXP.US,D,20260319,000000,24.77,24.77,24.5303,24.5303,237,0
DVXP.US,D,20260323,000000,24.52,24.56,24.3696,24.3696,913,0
DVXP.US,D,20260401,000000,24.5,24.5,24.4847,24.4847,103,0
DVXP.US,D,20260410,000000,24.76,24.7803,24.735,24.7803,2050,0
DVXP.US,D,20260414,000000,24.37,24.4356,24.31,24.4356,1310,0
DVXP.US,D,20260421,000000,24.58,24.58,24.5244,24.5244,477,0
DVXP.US,D,20260423,000000,25,25.25,25,25.2349,201,0
DVXP.US,D,20260507,000000,25.24,25.3975,25.24,25.3975,656,0
DVXP.US,D,20260511,000000,24.88,25.0804,24.88,25.0804,1530,0
DVXP.US,D,20260521,000000,25.62,25.6269,25.62,25.6269,162,0
DVXP.US,D,20260529,000000,24.92,24.92,24.8058,24.8058,231,0
DVXP.US,D,20260604,000000,24.58,24.58,24.33,24.3942,2631,0
DVXP.US,D,20260609,000000,25.16,25.7,25.14,25.2953,10066,0
DVXP.US,D,20260610,000000,25.79,26.0199,25.7645,25.8452,21501,0
DVXP.US,D,20260611,000000,25.83,25.92,25.7319,25.7319,6215,0
DVXP.US,D,20260615,000000,25.85,25.85,24.94,25.7803,20502,0
DVXP.US,D,20260617,000000,25.75,25.75,25.1206,25.1206,695,0
DVXP.US,D,20260618,000000,25.07,25.07,25.0015,25.0015,154,0
