<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AACIW.US,D,20260327,000000,0.2,0.3,0.1825,0.3,28922,0
AACIW.US,D,20260330,000000,0.3003,0.3015,0.2991,0.3,3081,0
AACIW.US,D,20260401,000000,0.25,0.25,0.2252,0.2399,11310,0
AACIW.US,D,20260402,000000,0.2218,0.25,0.2043,0.2456,11600,0
AACIW.US,D,20260406,000000,0.2147,0.2147,0.2,0.2021,196663,0
AACIW.US,D,20260407,000000,0.225,0.25,0.2249,0.25,3322,0
AACIW.US,D,20260408,000000,0.2741,0.2742,0.27,0.27,700,0
AACIW.US,D,20260409,000000,0.2433,0.27,0.2051,0.27,33589,0
AACIW.US,D,20260414,000000,0.26,0.26,0.26,0.26,200,0
AACIW.US,D,20260416,000000,0.27,0.27,0.27,0.27,9411,0
AACIW.US,D,20260417,000000,0.27,0.27,0.27,0.27,8994,0
AACIW.US,D,20260421,000000,0.23,0.26,0.23,0.26,5200,0
AACIW.US,D,20260422,000000,0.25,0.25,0.24,0.24,4300,0
AACIW.US,D,20260423,000000,0.27,0.27,0.27,0.27,200,0
AACIW.US,D,20260427,000000,0.3,0.3,0.2101,0.28,6292,0
AACIW.US,D,20260428,000000,0.2201,0.221,0.2101,0.2202,56700,0
AACIW.US,D,20260429,000000,0.2202,0.25,0.2102,0.2102,6606,0
AACIW.US,D,20260430,000000,0.2102,0.2397,0.2102,0.2201,21136,0
AACIW.US,D,20260501,000000,0.22,0.22,0.2199,0.2199,2101,0
AACIW.US,D,20260504,000000,0.2102,0.2399,0.2102,0.23,3601,0
AACIW.US,D,20260506,000000,0.24,0.24,0.24,0.24,300,0
AACIW.US,D,20260507,000000,0.25,0.25,0.25,0.25,8484,0
AACIW.US,D,20260511,000000,0.2498,0.2498,0.2498,0.2498,592,0
AACIW.US,D,20260512,000000,0.2497,0.2497,0.2201,0.24,1051,0
AACIW.US,D,20260513,000000,0.24001,0.24001,0.24001,0.24001,112,0
AACIW.US,D,20260514,000000,0.27,0.27,0.22,0.22,10941,0
AACIW.US,D,20260518,000000,0.22,0.22,0.215,0.2151,12482,0
AACIW.US,D,20260520,000000,0.2501,0.27,0.2499,0.2499,1708,0
AACIW.US,D,20260521,000000,0.25,0.27,0.235,0.26,1904,0
AACIW.US,D,20260522,000000,0.2999,0.3,0.27,0.27,10812,0
AACIW.US,D,20260526,000000,0.299899,0.299899,0.299899,0.299899,428,0
AACIW.US,D,20260527,000000,0.27,0.3,0.27,0.2899,84641,0
AACIW.US,D,20260528,000000,0.29,0.3,0.29,0.2999,7309,0
AACIW.US,D,20260529,000000,0.26,0.2805,0.25,0.2805,9975,0
AACIW.US,D,20260601,000000,0.2501,0.32,0.25,0.32,23518,0
AACIW.US,D,20260603,000000,0.3,0.3,0.2519,0.29,34108,0
AACIW.US,D,20260604,000000,0.22,0.22,0.22,0.22,181348,0
AACIW.US,D,20260605,000000,0.2301,0.3297,0.2201,0.3293,16831,0
AACIW.US,D,20260611,000000,0.32,0.32,0.3,0.3,706,0
AACIW.US,D,20260618,000000,0.3,0.3,0.3,0.3,1000,0
AACIW.US,D,20260623,000000,0.302,0.32,0.3,0.32,5100,0
AACIW.US,D,20260624,000000,0.3,0.33,0.3,0.3299,7215,0
