<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACAA.US,D,20260410,000000,10.05,10.08,10,10.05,14309,0
ACAA.US,D,20260413,000000,9.9,9.9499,9.5558,9.89,22113,0
ACAA.US,D,20260414,000000,9.9,9.9221,9.88,9.9063,9102,0
ACAA.US,D,20260415,000000,9.88,9.9,9.88,9.8901,7416,0
ACAA.US,D,20260416,000000,9.93,9.94,9.93,9.94,383,0
ACAA.US,D,20260417,000000,9.94,9.94,9.891,9.891,326,0
ACAA.US,D,20260420,000000,9.94,9.94,9.94,9.94,115,0
ACAA.US,D,20260421,000000,9.91,9.91,9.89,9.89,800,0
ACAA.US,D,20260422,000000,9.89,9.93,9.89,9.93,100104,0
ACAA.US,D,20260423,000000,9.93,9.94,9.9231,9.9231,3175,0
ACAA.US,D,20260424,000000,9.935,9.94,9.935,9.94,10090,0
ACAA.US,D,20260428,000000,9.94,9.94,9.94,9.94,102,0
ACAA.US,D,20260501,000000,9.94,9.94,9.94,9.94,527,0
ACAA.US,D,20260504,000000,9.94,9.94,9.94,9.94,750,0
ACAA.US,D,20260507,000000,9.92,9.92,9.92,9.92,1081,0
ACAA.US,D,20260508,000000,9.93,9.93,9.93,9.93,262,0
ACAA.US,D,20260511,000000,9.93,9.93,9.93,9.93,66832,0
ACAA.US,D,20260512,000000,9.94,9.94,9.94,9.94,100,0
ACAA.US,D,20260514,000000,9.94,9.94,9.94,9.94,108,0
ACAA.US,D,20260515,000000,9.94,9.94,9.93,9.93,8907,0
ACAA.US,D,20260518,000000,9.95,9.95,9.95,9.95,3362,0
ACAA.US,D,20260521,000000,9.95,9.95,9.95,9.95,6679,0
ACAA.US,D,20260526,000000,9.98,9.98,9.92,9.92,303,0
ACAA.US,D,20260527,000000,9.93,9.93,9.93,9.93,34470,0
ACAA.US,D,20260528,000000,9.94,9.94,9.94,9.94,123,0
ACAA.US,D,20260529,000000,9.94,9.98,9.92,9.98,25308,0
ACAA.US,D,20260601,000000,9.93,9.93,9.93,9.93,106,0
ACAA.US,D,20260603,000000,9.93,9.93,9.93,9.93,186,0
ACAA.US,D,20260608,000000,9.93,10,9.93,10,512,0
ACAA.US,D,20260610,000000,9.96,9.96,9.96,9.96,369,0
ACAA.US,D,20260611,000000,9.95,9.96,9.95,9.96,6280,0
ACAA.US,D,20260612,000000,9.96,9.96,9.96,9.96,434,0
ACAA.US,D,20260616,000000,9.99,9.99,9.99,9.99,500,0
ACAA.US,D,20260617,000000,9.97,9.98,9.97,9.97,125315,0
ACAA.US,D,20260623,000000,9.97,9.97,9.97,9.97,75000,0
