<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACAAW.US,D,20260414,000000,0.45,0.45,0.4,0.45,75520,0
ACAAW.US,D,20260417,000000,0.4502,0.4502,0.448,0.4499,156600,0
ACAAW.US,D,20260420,000000,0.44,0.44,0.44,0.44,100,0
ACAAW.US,D,20260421,000000,0.44,0.44,0.44,0.44,1000,0
ACAAW.US,D,20260422,000000,0.48,0.6,0.44,0.44,38738,0
ACAAW.US,D,20260423,000000,0.44,0.6,0.44,0.55,12528,0
ACAAW.US,D,20260424,000000,0.442,0.442,0.442,0.442,120,0
ACAAW.US,D,20260427,000000,0.45,0.46,0.45,0.46,50020,0
ACAAW.US,D,20260512,000000,0.46,0.48,0.46,0.48,2027,0
ACAAW.US,D,20260513,000000,0.4721,0.6,0.4721,0.6,408,0
ACAAW.US,D,20260522,000000,0.49,0.49,0.49,0.49,201,0
ACAAW.US,D,20260527,000000,0.5045,0.5502,0.4602,0.55,16015,0
ACAAW.US,D,20260603,000000,0.5791,0.5791,0.5791,0.5791,375,0
ACAAW.US,D,20260610,000000,0.57,0.57,0.56605,0.56605,404,0
ACAAW.US,D,20260611,000000,0.5621,0.5621,0.555,0.555,13867,0
ACAAW.US,D,20260615,000000,0.55,0.55,0.542,0.55,24327,0
ACAAW.US,D,20260616,000000,0.54,0.55,0.54,0.5465,2500,0
ACAAW.US,D,20260618,000000,0.59,0.59,0.55,0.55,3039,0
ACAAW.US,D,20260624,000000,0.55,0.55,0.542,0.55,13075,0
