<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADTX.US,D,20200630,000000,2684880009381,3456172812096,2440800008489,2470089608734,0.000002146444442298,0
ADTX.US,D,20200701,000000,2577484809057,2655590409352,2206483207822,2221128007837,0.0000004484999995515,0
ADTX.US,D,20200702,000000,2245536007862,2299233608131,1952640006921,1962403206930,0.00000031137296265159006,0
ADTX.US,D,20200706,000000,2094206407278,2094206407278,1708560006029,1806192006342,0.00000021012333312321002,0
ADTX.US,D,20200707,000000,1811073606347,1977048006945,1762257606082,1879416006631,0.00000012125296284171,0
ADTX.US,D,20200708,000000,1889179206641,2177193607577,1825718406362,1840363206376,0.00000035701777742076,0
ADTX.US,D,20200709,000000,1820836806357,1937946390690,1747612806068,1767139206087,0.00000021998259237261,0
ADTX.US,D,20200710,000000,1767139206087,1806192006342,1562112005450,1562112005450,0.00000036204074037870003,0
ADTX.US,D,20200713,000000,1601164805705,1855008006391,1381492804837,1659744005764,0.0000028157592564435,0
ADTX.US,D,20200714,000000,1698796806019,1746831750067,1474243205146,1513296005401,0.0000003756259255503,0
ADTX.US,D,20200715,000000,1649980805754,1649980805754,1464480005136,1498651205171,0.00000032717518485801,0
ADTX.US,D,20200716,000000,1532822405421,1718323206038,1523059205411,1698796806019,0.0000005497703698206,0
ADTX.US,D,20200717,000000,1742731206063,1889179206641,1664625605769,1728086406048,0.0000005877666660789001,0
ADTX.US,D,20200720,000000,1737849606058,2050272007234,1689033606009,1937995206690,0.0000024529333308804004,0
ADTX.US,D,20200721,000000,2001456006969,2123496007523,1872093606624,2108851207293,0.0000013214925912711,0
ADTX.US,D,20200722,000000,2133259207533,2172312007572,2021031222989,2074680007259,0.0000006995296289301,0
ADTX.US,D,20200723,000000,2030745607215,2079561607264,1855008006391,1855008006391,0.00000046748518471770003,0
ADTX.US,D,20200724,000000,1947758406916,2103969607288,1879416006631,1957521606926,0.00000044854444399590004,0
ADTX.US,D,20200727,000000,2094206407278,2313878408146,1972166406940,2245536007862,0.0000019275481462206,0
ADTX.US,D,20200728,000000,2240654407857,2240654407857,1889179206641,1947758406916,0.0000014533740726207001,0
ADTX.US,D,20200729,000000,2011219206979,2011219206979,1757376006077,1869652806622,0.0000004877333328456,0
ADTX.US,D,20200730,000000,1791547206328,1864771206617,1665113765769,1855008006391,0.00000024273148123875,0
ADTX.US,D,20200731,000000,1923350406675,1942876806695,1767188022087,1835481606371,0.00000029900814784914,0
ADTX.US,D,20200803,000000,1923350406675,2003896806972,1815955206352,1996574406965,0.0000006137074067937,0
ADTX.US,D,20200804,000000,2040508807225,2040508807225,1903824006656,1991692806960,0.0000003923518514595,0
ADTX.US,D,20200805,000000,1942876806695,1981929606950,1866528582619,1918468806670,0.00000035697259223562,0
ADTX.US,D,20200806,000000,3139356970915,4676572816341,2787393609699,3710016012998,0.00017860629611769,0
ADTX.US,D,20200807,000000,3260908811469,3275553611484,2694643209391,2855736009984,0.000005403222216819001,0
ADTX.US,D,20200810,000000,2855736009984,3070526410847,2806920009719,2899670410244,0.0000013368074060706002,0
ADTX.US,D,20200811,000000,2928960010273,2928960010273,2343168008175,2455444808503,0.0000012796851839055002,0
ADTX.US,D,20200812,000000,2318760008151,2372457608204,2162548807563,2289470407905,0.0000006990296289306,0
ADTX.US,D,20200813,000000,2138140807538,2294352008126,2138140807538,2216246407832,0.0000004902629624727001,0
ADTX.US,D,20200814,000000,2226009607842,2352931208185,2160205639560,2226009607842,0.0000007832592584760001,0
ADTX.US,D,20200817,000000,2152785607553,2285809207902,2123496007523,2240654407857,0.0000006351037030686,0
ADTX.US,D,20200818,000000,2177193607577,2245536007862,2123544823524,2186956807587,0.0000006207333327126,0
ADTX.US,D,20200819,000000,2152785607553,2172312007572,2030745607215,2172312007572,0.0000005878777771899001,0
ADTX.US,D,20200820,000000,2138140807538,2167381591567,1981929606950,2020982406989,0.0000008071037028966001,0
ADTX.US,D,20200821,000000,2074680007259,2089324807273,1937995206690,1986811206955,0.0000006753888882135,0
ADTX.US,D,20200824,000000,1972166406940,2013660006982,1752494406072,1801310406337,0.0000009492111101619001,0
ADTX.US,D,20200825,000000,1742731206063,1850126406386,1708560006029,1825718406362,0.0000003909296292387,0
ADTX.US,D,20200826,000000,1830600006367,1977048006945,1781784006318,1845244806381,0.0000006089814808725,0
ADTX.US,D,20200827,000000,1879416006631,1903824006656,1757376006077,1874534406627,0.00000044739999955260005,0
ADTX.US,D,20200828,000000,1894060806646,1903579926656,1806192006342,1894060806646,0.0000002918407404489,0
ADTX.US,D,20200831,000000,1772020806308,1832943174369,1562112005450,1566993605455,0.0000008766740731974001,0
ADTX.US,D,20200901,000000,1527940805416,1596234389484,1308268804548,1557230405445,0.0000013918333319415,0
ADTX.US,D,20200902,000000,1242367204266,1342440004798,1147176003955,1303387204543,0.0000035224481446257004,0
ADTX.US,D,20200903,000000,1181347204205,1259452804499,1181347204205,1220400004244,0.0000009912407397495,0
ADTX.US,D,20200904,000000,1171584004196,1200873604225,1103241603911,1152057603960,0.0000009553037027484,0
ADTX.US,D,20200908,000000,1093478403901,1139853603948,1030017603622,1054425603646,0.0000007827222214395001,0
ADTX.US,D,20200909,000000,1034899203627,1191110404215,1034899203627,1044662403637,0.000008593407398814,0
ADTX.US,D,20200910,000000,1064188803656,1064188803656,937267203313,976320003352,0.0000029743518488775,0
ADTX.US,D,20200911,000000,942148803318,966556803343,883618419044,912859203289,0.0000010461777767316,0
ADTX.US,D,20200914,000000,917740803294,1044662403637,917740803294,1025136003617,0.0000037709259221550002,0
ADTX.US,D,20200915,000000,1039780803632,1049544003642,956793603333,981201603357,0.0000021234296275062003,0
ADTX.US,D,20200916,000000,995846403588,1000728003593,956793603333,956793603333,0.0000008643814806171,0
ADTX.US,D,20200917,000000,961675203338,981201603357,947030403323,966556803343,0.000000882629628747,0
ADTX.US,D,20200918,000000,966556803343,990964803367,932385603308,947030403323,0.0000009100259250159,0
ADTX.US,D,20200921,000000,981201603357,1000728003593,949471203325,971438403347,0.0000007648888881240001,0
ADTX.US,D,20200922,000000,1000728003593,1054425603646,995846403588,1030017603622,0.000004479222217743,0
