<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEHL.US,D,20071217,000000,465264,465264,465264,465264,1.45833,0
AEHL.US,D,20071218,000000,465264,465264,462696,462696,0.00583333,0
AEHL.US,D,20071219,000000,465264,465264,464760,464760,1.45833,0
AEHL.US,D,20071221,000000,462696,462696,462696,462696,0.0191666,0
AEHL.US,D,20071228,000000,460104,460104,453384,457536,0.0308333,0
AEHL.US,D,20071231,000000,457536,458568,457536,458568,0.0891666,0
AEHL.US,D,20080102,000000,458568,458568,458568,458568,0.29,0
AEHL.US,D,20080103,000000,460104,460104,458568,458568,25.9375,0
AEHL.US,D,20080108,000000,458568,458568,458568,458568,0.0483333,0
AEHL.US,D,20080110,000000,459576,460104,459576,459576,2.65,0
AEHL.US,D,20080114,000000,460104,461136,459576,460104,0.09875,0
AEHL.US,D,20080115,000000,462696,462696,462696,462696,0.00208333,0
AEHL.US,D,20080116,000000,463200,465264,463200,465264,5.90375,0
AEHL.US,D,20080117,000000,465264,465264,465264,465264,0.00208333,0
AEHL.US,D,20080118,000000,467856,467856,467856,467856,0.00208333,0
AEHL.US,D,20080123,000000,462696,463200,462696,463200,0.0679166,0
AEHL.US,D,20080124,000000,463200,463200,458568,458568,0.025,0
AEHL.US,D,20080204,000000,470448,470448,460104,460104,0.110416,0
AEHL.US,D,20080205,000000,459072,459072,459072,459072,0.00208333,0
AEHL.US,D,20080206,000000,461136,461136,460632,460632,0.0191666,0
AEHL.US,D,20080207,000000,462696,468888,460104,468888,0.439166,0
AEHL.US,D,20080208,000000,460104,466320,460104,466320,0.00583333,0
AEHL.US,D,20080211,000000,464760,465264,464760,465264,0.0579166,0
AEHL.US,D,20080214,000000,470448,470448,465264,465264,0.0404166,0
AEHL.US,D,20080215,000000,465264,465264,464760,465264,1.84916,0
AEHL.US,D,20080221,000000,463728,465264,463728,465264,0.164583,0
AEHL.US,D,20080229,000000,464256,464256,463728,463728,0.129583,0
AEHL.US,D,20080303,000000,463728,463728,463728,463728,0.193333,0
AEHL.US,D,20080304,000000,463728,464256,463728,464256,1.94,0
AEHL.US,D,20080305,000000,464256,464256,463728,463728,4.64416,0
AEHL.US,D,20080307,000000,462696,462696,462696,462696,2.53,0
AEHL.US,D,20080310,000000,457536,457536,457536,457536,13.4533,0
AEHL.US,D,20080313,000000,462696,462696,462696,462696,0.00375,0
AEHL.US,D,20080314,000000,464256,464256,463728,463728,3.9075,0
AEHL.US,D,20080319,000000,465264,465264,465264,465264,1.06375,0
AEHL.US,D,20080320,000000,460104,460104,460104,460104,0.00375,0
AEHL.US,D,20080324,000000,463728,463728,463728,463728,0.0695833,0
AEHL.US,D,20080326,000000,463200,463200,463200,463200,0.48375,0
AEHL.US,D,20080327,000000,460104,460104,457536,457536,0.06,0
AEHL.US,D,20080331,000000,457536,465264,457536,465264,0.0425,0
AEHL.US,D,20080403,000000,464760,464760,464760,464760,0.00208333,0
AEHL.US,D,20080407,000000,464760,464760,464760,464760,0.00375,0
AEHL.US,D,20080408,000000,463728,463728,463728,463728,0.0966666,0
AEHL.US,D,20080409,000000,460104,469920,458040,469920,0.00791666,0
AEHL.US,D,20080415,000000,464760,465792,462696,464760,2.08333,0
AEHL.US,D,20080416,000000,467352,467352,467352,467352,0.00208333,0
AEHL.US,D,20080418,000000,471480,471480,471480,471480,0.0191666,0
AEHL.US,D,20080421,000000,471480,471480,471480,471480,0,0
AEHL.US,D,20080423,000000,467856,470952,467856,470952,0.0291666,0
AEHL.US,D,20080424,000000,465264,465264,465264,465264,0.00958333,0
AEHL.US,D,20080425,000000,465264,465264,465264,465264,0.00208333,0
AEHL.US,D,20080430,000000,462696,462696,462696,462696,0.00208333,0
AEHL.US,D,20080501,000000,460104,462696,460104,460104,4.1725,0
AEHL.US,D,20080502,000000,460104,460104,460104,460104,6.96333,0
AEHL.US,D,20080505,000000,460104,462696,460104,462696,0.21875,0
AEHL.US,D,20080506,000000,462696,465264,460104,460104,0.0833333,0
AEHL.US,D,20080508,000000,460104,460104,460104,460104,0.00208333,0
AEHL.US,D,20080509,000000,460104,460104,460104,460104,6.44125,0
AEHL.US,D,20080513,000000,460104,460104,460104,460104,1.93416,0
AEHL.US,D,20080514,000000,465264,465264,465264,465264,1.93416,0
AEHL.US,D,20080519,000000,462696,465264,462696,465264,0.386666,0
AEHL.US,D,20080520,000000,467856,467856,467856,467856,0.00208333,0
AEHL.US,D,20080521,000000,462696,462696,462696,462696,0.0425,0
AEHL.US,D,20080522,000000,470448,471480,470448,471480,0.00958333,0
AEHL.US,D,20080523,000000,468888,470952,465264,466320,0.03875,0
AEHL.US,D,20080527,000000,465264,465264,465264,465264,0.00375,0
AEHL.US,D,20080529,000000,465264,465264,465264,465264,2.90166,0
AEHL.US,D,20080530,000000,466824,466824,466824,466824,15.0645,0
AEHL.US,D,20080602,000000,471480,471480,471480,471480,0.00208333,0
AEHL.US,D,20080603,000000,471480,471480,468888,468888,0.00791666,0
AEHL.US,D,20080604,000000,471480,471480,469416,469416,0.00375,0
AEHL.US,D,20080605,000000,470448,473040,470448,473040,0.584166,0
AEHL.US,D,20080606,000000,470448,470448,469416,469416,0.0520833,0
AEHL.US,D,20080613,000000,468888,468888,468888,468888,0.00208333,0
AEHL.US,D,20080616,000000,468384,468384,468384,468384,0.00208333,0
AEHL.US,D,20080617,000000,468384,468384,468384,468384,0.00208333,0
AEHL.US,D,20080618,000000,468888,468888,468888,468888,0.00208333,0
AEHL.US,D,20080620,000000,469416,469416,468384,468384,0.0116666,0
AEHL.US,D,20080623,000000,468384,468384,468384,468384,0.00208333,0
AEHL.US,D,20080624,000000,469416,469920,468888,469920,0.91875,0
AEHL.US,D,20080625,000000,470448,473040,470448,473040,0.04625,0
AEHL.US,D,20080626,000000,475104,475104,475104,475104,0.00375,0
AEHL.US,D,20080627,000000,475632,475632,475632,475632,0.00583333,0
AEHL.US,D,20080630,000000,473040,473040,469416,469416,0.193333,0
AEHL.US,D,20080701,000000,470448,470448,470448,470448,1.03083,0
AEHL.US,D,20080702,000000,473040,473040,470448,471480,0.32125,0
AEHL.US,D,20080703,000000,473040,473040,473040,473040,0.09875,0
AEHL.US,D,20080707,000000,475632,476136,475104,475104,15.1262,0
AEHL.US,D,20080708,000000,474072,474072,471480,472512,0.425416,0
AEHL.US,D,20080709,000000,473040,475632,472512,475632,0.212916,0
AEHL.US,D,20080710,000000,475632,475632,475632,475632,0.00375,0
AEHL.US,D,20080711,000000,475104,475104,475104,475104,0.00208333,0
AEHL.US,D,20080714,000000,472512,474072,472512,474072,0.00958333,0
AEHL.US,D,20080715,000000,472512,472512,472512,472512,0.129583,0
AEHL.US,D,20080717,000000,471984,471984,470952,471984,0.377083,0
AEHL.US,D,20080721,000000,471480,473040,470448,471984,3.8125,0
AEHL.US,D,20080722,000000,475632,475632,471984,475632,0.0866666,0
AEHL.US,D,20080730,000000,475632,475632,475632,475632,0.00375,0
AEHL.US,D,20080731,000000,470448,470448,470448,470448,0.03875,0
AEHL.US,D,20080805,000000,475632,475632,473040,473040,0.584166,0
AEHL.US,D,20080807,000000,475632,475632,475632,475632,1.08833,0
AEHL.US,D,20080808,000000,478200,478200,478200,478200,0.00208333,0
AEHL.US,D,20080813,000000,478200,478200,478200,478200,0.00416666,0
AEHL.US,D,20080818,000000,473040,480792,473040,480792,0.00583333,0
AEHL.US,D,20080827,000000,485952,485952,485952,485952,0.00583333,0
AEHL.US,D,20080828,000000,480792,480792,480792,480792,0.00958333,0
AEHL.US,D,20080902,000000,475632,479760,475632,475632,7.72375,0
AEHL.US,D,20080903,000000,475632,475632,475632,475632,0.0191666,0
AEHL.US,D,20080909,000000,475632,475632,475632,475632,0.00208333,0
AEHL.US,D,20080910,000000,478200,478200,475632,475632,0.147083,0
AEHL.US,D,20080911,000000,475632,483360,475632,483360,0.839583,0
AEHL.US,D,20080912,000000,483360,483360,483360,483360,0.05625,0
AEHL.US,D,20080922,000000,478200,478200,475632,475632,0.0191666,0
AEHL.US,D,20080923,000000,478200,478200,478200,478200,0.00791666,0
AEHL.US,D,20080925,000000,465264,465264,465264,465264,0.09875,0
AEHL.US,D,20080930,000000,462696,466824,449760,466824,0.0154166,0
AEHL.US,D,20081001,000000,465264,465264,457536,460104,0.0504166,0
AEHL.US,D,20081002,000000,453384,454944,447192,454944,0.36375,0
