<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AESPU.US,D,20260603,000000,10.05,10.08,10.03,10.03,5390294,0
AESPU.US,D,20260604,000000,10.03,10.04,10.03,10.035,420203,0
AESPU.US,D,20260605,000000,10.04,10.06,10.04,10.05,410805,0
AESPU.US,D,20260608,000000,10.09,10.09,10.05,10.05,136899,0
AESPU.US,D,20260609,000000,10.05,10.065,10.05,10.05,67701,0
AESPU.US,D,20260610,000000,10.05,10.065,10.05,10.065,40176,0
AESPU.US,D,20260611,000000,10.0746,10.0746,10.06,10.06,55322,0
AESPU.US,D,20260615,000000,10.06,10.07,10.06,10.07,2397,0
AESPU.US,D,20260616,000000,10.07,10.07,10.0601,10.07,483,0
AESPU.US,D,20260618,000000,10.08,10.08,10.07,10.07,1578,0
