<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHD.US,D,20260519,000000,24.94,24.94,24.7605,24.7605,160,0
AHD.US,D,20260522,000000,25,25,24.69,24.69,9090,0
AHD.US,D,20260526,000000,24.79,24.91,24.79,24.845,637,0
AHD.US,D,20260527,000000,25.08,25.09,25.015,25.09,498,0
AHD.US,D,20260529,000000,26,26.175,26,26.175,564,0
AHD.US,D,20260601,000000,25.69,25.78,25.66,25.78,6042,0
AHD.US,D,20260603,000000,24.735,24.735,24.67,24.67,160,0
AHD.US,D,20260611,000000,25.225,25.36,25.225,25.275,2763,0
AHD.US,D,20260612,000000,25.1,25.1,25.015,25.015,862,0
AHD.US,D,20260616,000000,25.55,25.56,25.47,25.47,470,0
AHD.US,D,20260617,000000,25.76,25.96,25.76,25.96,397,0
AHD.US,D,20260618,000000,25.94,25.94,25.88,25.88,359,0
AHD.US,D,20260622,000000,25.93,25.94,25.81,25.81,982,0
AHD.US,D,20260623,000000,25.91,25.91,25.84,25.84,273,0
