<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIDX.US,D,20260219,000000,50,50,18,23.85,37418,0
AIDX.US,D,20260220,000000,19.4,20.663,13,14.778,27739,0
AIDX.US,D,20260223,000000,13.81,14.09,8.02,10.33,1231700,0
AIDX.US,D,20260224,000000,8.65,9.39,7.38,7.87,184400,0
AIDX.US,D,20260225,000000,7.4,7.63,5.22,5.68,1206606,0
AIDX.US,D,20260226,000000,4.82,5.2499,3.665,4.0012,633168,0
AIDX.US,D,20260227,000000,3.63,3.99,3.21,3.8178,460196,0
AIDX.US,D,20260302,000000,3.55,3.82,3.22,3.39,353509,0
AIDX.US,D,20260303,000000,3.15,3.84,2.9,3.01,338981,0
AIDX.US,D,20260304,000000,3.05,3.42,2.81,3.22,333763,0
AIDX.US,D,20260305,000000,3.15,3.49,2.93,3,226042,0
AIDX.US,D,20260306,000000,2.97,3.0288,2.72,2.8,173624,0
AIDX.US,D,20260309,000000,2.61,2.8764,2.61,2.8399,95585,0
AIDX.US,D,20260310,000000,2.72,3.0837,2.51,2.8,1065937,0
AIDX.US,D,20260311,000000,2.76,2.8652,2.6001,2.71,278481,0
AIDX.US,D,20260312,000000,2.7,2.755,2.42,2.48,339320,0
AIDX.US,D,20260313,000000,2.47,2.7,2.36,2.53,245395,0
AIDX.US,D,20260316,000000,2.55,2.62,2.35,2.5,96161,0
AIDX.US,D,20260317,000000,2.536,2.536,2.05,2.16,188352,0
AIDX.US,D,20260318,000000,2.14,2.2,1.865,1.98,137673,0
AIDX.US,D,20260319,000000,1.93,2.005,1.6991,1.88,170890,0
AIDX.US,D,20260320,000000,1.852,2.191,1.85,2.0221,154649,0
AIDX.US,D,20260323,000000,2.08,2.1004,1.86,1.99,63082,0
AIDX.US,D,20260324,000000,1.65,1.78,1.51,1.64,3136855,0
AIDX.US,D,20260325,000000,1.64,1.79,1.6001,1.62,246716,0
AIDX.US,D,20260326,000000,1.6,1.8687,1.5637,1.73,139036,0
AIDX.US,D,20260327,000000,1.74,1.84,1.68,1.8,296102,0
AIDX.US,D,20260330,000000,1.78,1.78,1.66,1.78,95593,0
AIDX.US,D,20260331,000000,1.735,1.8999,1.7005,1.88,62488,0
AIDX.US,D,20260401,000000,1.92,1.92,1.81,1.88,43801,0
AIDX.US,D,20260402,000000,1.8,1.91,1.71,1.83,57167,0
AIDX.US,D,20260406,000000,1.83,2.08,1.83,2.02,106662,0
AIDX.US,D,20260407,000000,2.05,2.05,1.8,1.91,75485,0
AIDX.US,D,20260408,000000,1.9,2,1.87,1.915,42678,0
AIDX.US,D,20260409,000000,1.87,1.99,1.73,1.84,58549,0
AIDX.US,D,20260410,000000,1.8971,1.98,1.68,1.88,150365,0
AIDX.US,D,20260413,000000,1.89,1.95,1.82,1.85,62624,0
AIDX.US,D,20260414,000000,1.81,1.8397,1.7,1.72,120771,0
AIDX.US,D,20260415,000000,1.75,1.8153,1.68,1.735,39508,0
AIDX.US,D,20260416,000000,1.745,1.75,1.68,1.72,49172,0
AIDX.US,D,20260417,000000,1.79,1.85,1.69,1.78,99182,0
AIDX.US,D,20260420,000000,1.8,1.84,1.71,1.71,50458,0
AIDX.US,D,20260421,000000,1.805,1.805,1.71,1.715,20615,0
AIDX.US,D,20260422,000000,1.79,1.85,1.68,1.79,101687,0
AIDX.US,D,20260423,000000,1.74,1.75,1.5,1.62,150790,0
AIDX.US,D,20260424,000000,1.64,1.71,1.58,1.64,52389,0
AIDX.US,D,20260427,000000,1.62,1.69,1.53,1.53,39580,0
AIDX.US,D,20260428,000000,1.5,1.564,1.5,1.5499,33829,0
AIDX.US,D,20260429,000000,1.53,1.55,1.45,1.55,50109,0
AIDX.US,D,20260430,000000,1.55,1.67,1.52,1.59,33310,0
AIDX.US,D,20260501,000000,1.62,1.65,1.53,1.545,25698,0
AIDX.US,D,20260504,000000,1.57,1.63,1.45,1.52,67567,0
AIDX.US,D,20260505,000000,1.49,1.57,1.48,1.49,53772,0
AIDX.US,D,20260506,000000,1.51,1.559,1.35,1.39,94027,0
AIDX.US,D,20260507,000000,1.393,1.45,1.37,1.38,47193,0
AIDX.US,D,20260508,000000,1.4,1.4,1.32,1.37,31918,0
AIDX.US,D,20260511,000000,1.35,1.44,1.35,1.37,40812,0
AIDX.US,D,20260512,000000,1.39,1.66,1.37,1.4567,193835,0
AIDX.US,D,20260513,000000,1.42,1.45,1.36,1.4,65965,0
AIDX.US,D,20260514,000000,1.41,1.5,1.37,1.3802,55330,0
AIDX.US,D,20260515,000000,1.35,1.37,1.2601,1.34,105365,0
AIDX.US,D,20260518,000000,1.31,1.43,1.28,1.32,75270,0
AIDX.US,D,20260519,000000,1.3147,1.41,1.3001,1.3401,13313,0
AIDX.US,D,20260520,000000,1.31,1.35,1.255,1.29,40953,0
AIDX.US,D,20260521,000000,1.25,1.315,1.19,1.205,79065,0
AIDX.US,D,20260522,000000,1.31,1.36,0.9,0.98,9413829,0
AIDX.US,D,20260526,000000,1.09,1.09,1,1.02,321181,0
AIDX.US,D,20260527,000000,0.98,1.03,0.9118,0.97,342862,0
AIDX.US,D,20260528,000000,1,1,0.9355,0.95,79914,0
AIDX.US,D,20260529,000000,0.97,0.9726,0.83,0.8669,289820,0
AIDX.US,D,20260601,000000,0.8779,1.03,0.85,1.03,320932,0
AIDX.US,D,20260602,000000,0.939,0.969,0.8412,0.95,232282,0
AIDX.US,D,20260603,000000,0.8777,0.929899,0.84,0.84,75653,0
AIDX.US,D,20260604,000000,0.86,0.929699,0.84,0.8694,47190,0
AIDX.US,D,20260605,000000,0.8726,0.892699,0.79,0.802,175923,0
