<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIIR.US,D,20260518,000000,10,13.37,9.35,10.44,49249,0
AIIR.US,D,20260519,000000,10.65,11.685,9.38,9.5,49998,0
AIIR.US,D,20260520,000000,9.38,9.51,8.55,8.69,25474,0
AIIR.US,D,20260521,000000,8.51,9.82,8.51,8.81,14331,0
AIIR.US,D,20260522,000000,8.58,9.1,8.52,8.64,6995,0
AIIR.US,D,20260526,000000,8.71,8.8571,8.19,8.34,5217,0
AIIR.US,D,20260527,000000,8,8,6.505,6.8,47253,0
AIIR.US,D,20260528,000000,7.33,7.5,7.225,7.4195,3716,0
AIIR.US,D,20260529,000000,7.35,7.9899,7.35,7.52,9218,0
AIIR.US,D,20260601,000000,8.05,8.05,7.55,7.55,9891,0
AIIR.US,D,20260602,000000,7.75,7.75,7.21,7.39,2380,0
AIIR.US,D,20260603,000000,7.4,7.4,6.59,6.9,19412,0
AIIR.US,D,20260604,000000,6.75,7.35,6.7001,6.9,9091,0
AIIR.US,D,20260605,000000,6.91,6.91,6.8,6.91,3395,0
AIIR.US,D,20260608,000000,7.16,7.16,6.755,6.78,6681,0
AIIR.US,D,20260609,000000,6.75,7.43,6.75,6.77,1154,0
AIIR.US,D,20260610,000000,7.48,7.48,7.1248,7.245,2611,0
AIIR.US,D,20260611,000000,7.07,7.4,6.76,7,1214,0
AIIR.US,D,20260612,000000,7.0746,7.09,6.6,6.9,3596,0
AIIR.US,D,20260615,000000,7.22,7.42,7.01,7.0299,4565,0
AIIR.US,D,20260616,000000,6.82,6.82,6.81,6.82,1211,0
AIIR.US,D,20260617,000000,6.9,7.14,6.9,6.9,4683,0
AIIR.US,D,20260618,000000,7,7.25,7,7,9542,0
AIIR.US,D,20260622,000000,7.1,7.5,6.7,6.7,6293,0
AIIR.US,D,20260623,000000,6.8,7.13,6.7,6.7,5188,0
AIIR.US,D,20260624,000000,7.05,7.4,6.61,6.6804,35460,0
