<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALBG.US,D,20260113,000000,15.7288,16.33,15.7288,16.295,17316,0
ALBG.US,D,20260114,000000,16.47,16.69,15.5789,16.4461,12391,0
ALBG.US,D,20260115,000000,16.61,16.65,15.41,15.7226,7604,0
ALBG.US,D,20260116,000000,14.28,14.3,13.69,13.7866,22990,0
ALBG.US,D,20260120,000000,13.9448,15.3519,13.8825,15.3519,14912,0
ALBG.US,D,20260121,000000,16.41,16.8,16.08,16.73,11815,0
ALBG.US,D,20260122,000000,16.96,18.29,16.91,18.2199,9299,0
ALBG.US,D,20260123,000000,18.52,18.8042,18.1,18.485,11719,0
ALBG.US,D,20260126,000000,18.75,18.825,18.21,18.5525,13074,0
ALBG.US,D,20260127,000000,18.52,19.51,18.52,19.3922,16371,0
ALBG.US,D,20260128,000000,19.16,19.16,16.4,17.4094,84917,0
ALBG.US,D,20260129,000000,17.49,17.81,16.09,16.7037,165418,0
ALBG.US,D,20260130,000000,14.32,15.2101,14.07,14.7898,35678,0
ALBG.US,D,20260202,000000,14.11,14.1298,13.6879,13.9,46961,0
ALBG.US,D,20260203,000000,15.095,15.1,14.28,14.8046,15039,0
ALBG.US,D,20260204,000000,14.81,15.45,13.61,14.4135,9274,0
ALBG.US,D,20260205,000000,13.5,13.69,12.3114,12.3782,7949,0
ALBG.US,D,20260206,000000,12.54,13.39,12.54,13.39,64406,0
ALBG.US,D,20260209,000000,13.3,13.78,13.24,13.7304,4681,0
ALBG.US,D,20260210,000000,13.4,14.19,13.4,14.1699,28568,0
ALBG.US,D,20260211,000000,15.5,15.54,14.5,15.3773,48096,0
ALBG.US,D,20260212,000000,15,16.38,12.3,12.4104,35452,0
ALBG.US,D,20260213,000000,13.21,13.73,13.17,13.5819,15416,0
ALBG.US,D,20260217,000000,14.1347,14.2046,13.81,14.06,6796,0
ALBG.US,D,20260218,000000,14.52,15.04,14.37,14.3741,9943,0
ALBG.US,D,20260219,000000,13.3983,14.01,13.3983,13.909,3310,0
ALBG.US,D,20260220,000000,14.06,14.18,13.751,13.8527,4168,0
ALBG.US,D,20260223,000000,14.4437,15.4137,14.39,15.4137,3744,0
ALBG.US,D,20260224,000000,16.93,17.3502,16.87,17.0103,13522,0
ALBG.US,D,20260225,000000,19.95,20.37,18.54,18.6079,47527,0
ALBG.US,D,20260226,000000,18.21,18.21,16.16,16.5504,16673,0
ALBG.US,D,20260227,000000,16.091,16.2893,15.2653,15.4111,9890,0
ALBG.US,D,20260302,000000,14.24,15.42,14.24,15.328,18799,0
ALBG.US,D,20260303,000000,12.74,13.4801,12.03,12.94,19946,0
ALBG.US,D,20260304,000000,13.81,14.13,13.59,13.59,8574,0
ALBG.US,D,20260305,000000,13.34,13.49,12.5,12.8,4931,0
ALBG.US,D,20260306,000000,12.05,12.965,12.05,12.53,12517,0
ALBG.US,D,20260309,000000,12.07,13.6907,12.07,13.6907,5464,0
ALBG.US,D,20260310,000000,13.97,14.3382,13.21,13.21,8292,0
ALBG.US,D,20260311,000000,13,13.6222,12.98,13.3823,4282,0
ALBG.US,D,20260312,000000,12.73,12.94,12.32,12.7338,4094,0
ALBG.US,D,20260313,000000,12.36,12.39,11.8,11.8979,5414,0
ALBG.US,D,20260316,000000,13,13,12.48,12.5657,4573,0
ALBG.US,D,20260317,000000,12.92,13.225,12.84,13.1322,2764,0
ALBG.US,D,20260318,000000,12.65,13.67,12.65,13.0626,2962,0
ALBG.US,D,20260319,000000,12.13,12.68,12.13,12.663,4133,0
ALBG.US,D,20260320,000000,12.695,12.695,11.38,11.6219,4499,0
ALBG.US,D,20260323,000000,12.82,13.7694,12.82,13.2037,9112,0
ALBG.US,D,20260324,000000,12.94,14.76,12.865,14.7185,17507,0
ALBG.US,D,20260325,000000,15.31,15.73,15.1287,15.4198,9709,0
ALBG.US,D,20260326,000000,15.0866,15.33,14.24,14.2963,5385,0
ALBG.US,D,20260327,000000,14.59,15.5,14.59,15.0562,8376,0
ALBG.US,D,20260330,000000,15.81,15.81,14.5,14.67,8938,0
ALBG.US,D,20260331,000000,15.32,15.565,15.0505,15.0505,4743,0
ALBG.US,D,20260401,000000,15.745,15.745,14.81,14.8524,8372,0
ALBG.US,D,20260402,000000,14.665,15,14.665,14.8278,2137,0
ALBG.US,D,20260406,000000,14.19,14.3482,13.65,13.8741,4937,0
ALBG.US,D,20260407,000000,13.82,14.19,13.74,13.9777,4667,0
ALBG.US,D,20260408,000000,14.6,14.64,14.3,14.5953,7383,0
ALBG.US,D,20260409,000000,14.36,14.36,13.79,13.8004,4466,0
ALBG.US,D,20260410,000000,14.19,14.7,13.9818,13.9818,7696,0
ALBG.US,D,20260413,000000,14.47,16.54,14.47,15.8574,31374,0
ALBG.US,D,20260414,000000,15.86,16.6206,15.86,16.6206,10507,0
ALBG.US,D,20260415,000000,16.295,16.495,15.7,15.8439,10595,0
ALBG.US,D,20260416,000000,16.8,20.9182,16.8,20.9182,30928,0
ALBG.US,D,20260417,000000,19.78,19.78,17,17.4983,39943,0
ALBG.US,D,20260420,000000,17,17.61,16.7804,16.981,14134,0
ALBG.US,D,20260421,000000,17.07,17.6304,16.86,17.6304,6350,0
ALBG.US,D,20260422,000000,17.83,17.83,15.9,16.8871,16568,0
ALBG.US,D,20260423,000000,16.7601,16.79,15.82,16.6167,7901,0
ALBG.US,D,20260424,000000,15.7,16.15,15.231,15.7866,14582,0
ALBG.US,D,20260427,000000,15.71,17.7319,15.68,17.7319,41137,0
ALBG.US,D,20260428,000000,16,16.93,15.1001,15.5206,39249,0
ALBG.US,D,20260429,000000,16.3,16.3,15.41,16.131,20647,0
ALBG.US,D,20260430,000000,16.38,17.235,16.05,17.0431,23709,0
ALBG.US,D,20260501,000000,16.76,16.76,15.83,16.5673,16968,0
ALBG.US,D,20260504,000000,16.8,16.8,15.45,15.94,20602,0
ALBG.US,D,20260505,000000,16.77,16.97,16.7063,16.7063,14631,0
ALBG.US,D,20260506,000000,17,17.26,16.25,16.25,110779,0
ALBG.US,D,20260507,000000,18.6,21.01,17.25,17.41,164298,0
ALBG.US,D,20260508,000000,17.9,19.115,16.5501,18.07,74365,0
ALBG.US,D,20260511,000000,19.795,20.78,19.2782,19.2782,36647,0
ALBG.US,D,20260512,000000,18.53,19.09,17.81,18.4847,22610,0
ALBG.US,D,20260513,000000,18,18.185,16.95,17.58,27321,0
ALBG.US,D,20260514,000000,16.98,16.98,15.475,15.841,57434,0
ALBG.US,D,20260515,000000,14.95,14.95,14.06,14.06,26528,0
ALBG.US,D,20260518,000000,14.32,14.32,13.24,13.3912,14631,0
ALBG.US,D,20260519,000000,12.98,12.98,11.94,12.29,11772,0
ALBG.US,D,20260520,000000,12.5,12.52,12.18,12.5185,26129,0
ALBG.US,D,20260521,000000,12.42,12.65,12.26,12.4738,14879,0
ALBG.US,D,20260522,000000,12.55,13.125,12.49,12.7152,25473,0
ALBG.US,D,20260526,000000,13.515,13.8899,13.065,13.1677,82905,0
ALBG.US,D,20260527,000000,13.115,13.91,12.49,13.5856,37941,0
ALBG.US,D,20260528,000000,13.36,13.59,13.31,13.3677,16174,0
ALBG.US,D,20260529,000000,13.42,13.59,12.91,13.3235,20111,0
ALBG.US,D,20260601,000000,13.35,13.35,11.88,12.6517,34440,0
ALBG.US,D,20260602,000000,12.65,12.8879,11.56,12.6781,22990,0
ALBG.US,D,20260603,000000,12.1637,12.65,12.1,12.184,8085,0
ALBG.US,D,20260604,000000,11.95,12.06,11.51,11.7247,20968,0
ALBG.US,D,20260605,000000,11.2,11.2,10.31,10.3231,31642,0
ALBG.US,D,20260608,000000,9.925,10.03,9.43,9.5285,15092,0
ALBG.US,D,20260609,000000,10.02,10.38,9.301,9.87,52633,0
ALBG.US,D,20260610,000000,9.45,9.59,9.18,9.191,21326,0
ALBG.US,D,20260611,000000,9.98,10.7099,9.75,10.6347,30645,0
ALBG.US,D,20260612,000000,11.62,12.665,11.47,12.2384,26180,0
ALBG.US,D,20260615,000000,12.59,12.59,11.32,11.9928,24656,0
ALBG.US,D,20260616,000000,11.91,12.05,11.48,11.6,12191,0
ALBG.US,D,20260617,000000,12.18,12.18,11.6134,11.6134,7216,0
ALBG.US,D,20260618,000000,11.9,11.93,9.925,10.72,49933,0
ALBG.US,D,20260622,000000,10.62,10.62,9.82,10.1798,22585,0
ALBG.US,D,20260623,000000,9.38,9.7099,9.32,9.385,16515,0
ALBG.US,D,20260624,000000,9.23,9.43,9.03,9.03,13712,0
