<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALIS.US,D,20251119,000000,9.9,9.92,9.9,9.919,14846,0
ALIS.US,D,20251120,000000,9.9087,9.92,9.9,9.9,477819,0
ALIS.US,D,20251121,000000,9.85,9.92,9.85,9.915,78233,0
ALIS.US,D,20251124,000000,9.92,9.95,9.92,9.92,32734,0
ALIS.US,D,20251125,000000,9.925,9.95,9.92,9.93,2737,0
ALIS.US,D,20251126,000000,9.92,9.95,9.91,9.91,254734,0
ALIS.US,D,20251128,000000,9.95,9.95,9.9,9.9,994,0
ALIS.US,D,20251201,000000,9.91,9.91,9.9,9.9,170496,0
ALIS.US,D,20251202,000000,9.9,9.91,9.9,9.91,1543,0
ALIS.US,D,20251203,000000,9.91,9.91,9.9,9.9,66727,0
ALIS.US,D,20251204,000000,9.9,9.9,9.9,9.9,3936,0
ALIS.US,D,20251205,000000,9.9,9.9,9.9,9.9,5024,0
ALIS.US,D,20251208,000000,9.9,9.9,9.9,9.9,1506,0
ALIS.US,D,20251209,000000,9.91,9.91,9.895,9.9,208281,0
ALIS.US,D,20251210,000000,9.905,9.91,9.905,9.91,5034,0
ALIS.US,D,20251211,000000,9.905,9.91,9.9,9.91,6017,0
ALIS.US,D,20251215,000000,9.91,9.91,9.91,9.91,37468,0
ALIS.US,D,20251216,000000,9.9038,9.91,9.9038,9.9099,7650,0
ALIS.US,D,20251217,000000,9.9,9.91,9.9,9.91,356623,0
ALIS.US,D,20251219,000000,9.91,9.91,9.9,9.91,4505,0
ALIS.US,D,20251223,000000,9.91,9.91,9.9,9.9,602,0
ALIS.US,D,20251226,000000,9.91,9.93,9.91,9.93,99121,0
ALIS.US,D,20251229,000000,9.93,9.95,9.92,9.93,5454,0
ALIS.US,D,20251230,000000,9.93,9.93,9.93,9.93,1937,0
ALIS.US,D,20251231,000000,9.93,9.94,9.93,9.93,16632,0
ALIS.US,D,20260102,000000,9.94,9.95,9.935,9.95,35903,0
ALIS.US,D,20260105,000000,9.95,9.95,9.94,9.94,51139,0
ALIS.US,D,20260106,000000,9.94,9.94,9.94,9.94,27054,0
ALIS.US,D,20260108,000000,9.96,9.96,9.96,9.96,100,0
ALIS.US,D,20260113,000000,9.97,9.97,9.97,9.97,400,0
ALIS.US,D,20260115,000000,9.96,9.96,9.95,9.95,424,0
ALIS.US,D,20260116,000000,9.955,9.97,9.955,9.97,273,0
ALIS.US,D,20260120,000000,9.9734,9.98,9.9734,9.98,5800,0
ALIS.US,D,20260121,000000,9.98,9.98,9.98,9.98,1053,0
ALIS.US,D,20260122,000000,10.04,10.04,10.04,10.04,201,0
ALIS.US,D,20260123,000000,10,10,10,10,8250,0
ALIS.US,D,20260126,000000,9.99,10.07,9.99,10.07,100438,0
ALIS.US,D,20260127,000000,10.05,10.05,10.02,10.02,1908,0
ALIS.US,D,20260128,000000,10.01,10.01,9.99,10.01,62132,0
ALIS.US,D,20260129,000000,9.99,10.005,9.99,10.005,26879,0
ALIS.US,D,20260130,000000,10,10,10,10,86978,0
ALIS.US,D,20260202,000000,9.99,9.99,9.99,9.99,50253,0
ALIS.US,D,20260203,000000,10,10,10,10,1101,0
ALIS.US,D,20260204,000000,10.05,10.05,10,10,183687,0
ALIS.US,D,20260209,000000,10.003,10.003,10.003,10.003,586,0
ALIS.US,D,20260210,000000,10,10.0053,10,10.0053,997,0
ALIS.US,D,20260211,000000,10.01,10.01,10.01,10.01,197,0
ALIS.US,D,20260213,000000,10.008,10.02,9.99,9.99,320277,0
ALIS.US,D,20260217,000000,9.99,9.99,9.99,9.99,10147,0
ALIS.US,D,20260218,000000,9.98,9.98,9.98,9.98,4114,0
ALIS.US,D,20260302,000000,9.9801,9.9801,9.9801,9.9801,8800,0
ALIS.US,D,20260309,000000,10.03,10.03,10.03,10.03,113,0
ALIS.US,D,20260310,000000,10,10,10,10,400,0
ALIS.US,D,20260311,000000,9.96,10,9.96,10,866,0
ALIS.US,D,20260312,000000,10,10,9.99,9.99,47200,0
ALIS.US,D,20260317,000000,10,10,10,10,4642,0
ALIS.US,D,20260318,000000,10.02,10.02,10.02,10.02,2617,0
ALIS.US,D,20260319,000000,10.01,10.01,10,10.01,1464,0
ALIS.US,D,20260325,000000,9.98,9.98,9.98,9.98,269,0
ALIS.US,D,20260407,000000,10,10,10,10,822,0
ALIS.US,D,20260417,000000,10.03,10.05,10.03,10.04,8812,0
ALIS.US,D,20260422,000000,10.05,10.05,10.05,10.05,380,0
ALIS.US,D,20260423,000000,10.03,10.04,10.03,10.04,15015,0
ALIS.US,D,20260427,000000,10.03,10.05,10.03,10.045,6240,0
ALIS.US,D,20260430,000000,10.05,10.05,10.05,10.05,1499,0
ALIS.US,D,20260501,000000,10.05,10.05,10.05,10.05,429,0
ALIS.US,D,20260504,000000,10.05,10.0696,10.05,10.0696,13767,0
