<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALOVW.US,D,20260318,000000,0.3,0.3,0.3,0.3,157737,0
ALOVW.US,D,20260319,000000,0.35,0.35,0.3499,0.35,6200,0
ALOVW.US,D,20260323,000000,0.44,0.45,0.4021,0.45,30741,0
ALOVW.US,D,20260401,000000,0.34,0.5,0.3399,0.5,67162,0
ALOVW.US,D,20260402,000000,0.4822,0.6,0.4802,0.5437,37078,0
ALOVW.US,D,20260406,000000,0.45,0.45,0.405399,0.405399,3070,0
ALOVW.US,D,20260407,000000,0.4,0.4,0.4,0.4,10200,0
ALOVW.US,D,20260409,000000,0.3899,0.3974,0.3899,0.3974,257,0
ALOVW.US,D,20260410,000000,0.3875,0.45,0.3859,0.43,40020,0
ALOVW.US,D,20260413,000000,0.4,0.4,0.4,0.4,484,0
ALOVW.US,D,20260414,000000,0.35,0.35,0.35,0.35,500,0
ALOVW.US,D,20260415,000000,0.375,0.375,0.375,0.375,1480,0
ALOVW.US,D,20260417,000000,0.3836,0.394,0.3315,0.34,30702,0
ALOVW.US,D,20260420,000000,0.34,0.34,0.3399,0.3399,20046,0
ALOVW.US,D,20260421,000000,0.34,0.34,0.34,0.34,1019,0
ALOVW.US,D,20260422,000000,0.4,0.4,0.4,0.4,50000,0
ALOVW.US,D,20260429,000000,0.34,0.35,0.34,0.34,8000,0
ALOVW.US,D,20260430,000000,0.34,0.35,0.34,0.35,666,0
ALOVW.US,D,20260501,000000,0.41,0.41,0.35,0.35,653,0
ALOVW.US,D,20260504,000000,0.41,0.41,0.41,0.41,172,0
ALOVW.US,D,20260505,000000,0.4,0.41,0.35,0.35,797,0
ALOVW.US,D,20260507,000000,0.41,0.41,0.4,0.4099,48414,0
ALOVW.US,D,20260508,000000,0.4,0.4099,0.4,0.4,51005,0
ALOVW.US,D,20260511,000000,0.41,0.4275,0.41,0.4199,40478,0
ALOVW.US,D,20260512,000000,0.4217,0.45,0.41,0.419978,19090,0
ALOVW.US,D,20260514,000000,0.41,0.41,0.41,0.41,20675,0
ALOVW.US,D,20260518,000000,0.3601,0.3601,0.3601,0.3601,100,0
ALOVW.US,D,20260519,000000,0.3608,0.45,0.3608,0.391,3680,0
ALOVW.US,D,20260522,000000,0.42,0.42,0.42,0.42,740,0
ALOVW.US,D,20260529,000000,0.37,0.37,0.35,0.355,3377,0
ALOVW.US,D,20260601,000000,0.38,0.42,0.38,0.4199,4799,0
ALOVW.US,D,20260604,000000,0.45,0.45,0.45,0.45,1342,0
ALOVW.US,D,20260608,000000,0.45,0.45,0.45,0.45,10012,0
ALOVW.US,D,20260618,000000,0.4,0.4,0.4,0.4,515,0
ALOVW.US,D,20260624,000000,0.44,0.45,0.44,0.4499,13908,0
