<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARCI.US,D,20260316,000000,9.9,9.9,9.85,9.85,4870,0
ARCI.US,D,20260317,000000,9.88,9.9,9.88,9.9,4238,0
ARCI.US,D,20260318,000000,9.9,9.9,9.9,9.9,211,0
ARCI.US,D,20260319,000000,9.9,9.9,9.9,9.9,232,0
ARCI.US,D,20260320,000000,9.9,9.9,9.85,9.85,418389,0
ARCI.US,D,20260323,000000,9.94,9.94,9.85,9.86,4462,0
ARCI.US,D,20260324,000000,9.9,9.9,9.86,9.86,6431,0
ARCI.US,D,20260325,000000,9.9,9.9,9.875,9.8879,4928,0
ARCI.US,D,20260326,000000,9.9,9.9,9.85,9.85,31397,0
ARCI.US,D,20260327,000000,9.84,9.85,9.84,9.85,103338,0
ARCI.US,D,20260330,000000,9.86,9.86,9.83,9.84,42868,0
ARCI.US,D,20260331,000000,9.84,9.85,9.84,9.85,19699,0
ARCI.US,D,20260401,000000,9.85,9.86,9.85,9.86,19274,0
ARCI.US,D,20260402,000000,9.9,9.9,9.895,9.9,2327,0
ARCI.US,D,20260407,000000,9.88,9.89,9.86,9.89,39066,0
ARCI.US,D,20260408,000000,9.89,9.899,9.885,9.89,91973,0
ARCI.US,D,20260413,000000,9.88,9.88,9.87,9.88,30792,0
ARCI.US,D,20260414,000000,9.87,9.89,9.87,9.89,59029,0
ARCI.US,D,20260415,000000,9.89,9.89,9.89,9.89,25759,0
ARCI.US,D,20260416,000000,9.885,9.885,9.88,9.88,1205,0
ARCI.US,D,20260417,000000,9.89,9.89,9.88,9.885,2600,0
ARCI.US,D,20260421,000000,9.88,9.895,9.88,9.89,92832,0
ARCI.US,D,20260422,000000,9.89,9.89,9.89,9.89,49568,0
ARCI.US,D,20260423,000000,9.89,9.9,9.89,9.89,226097,0
ARCI.US,D,20260424,000000,9.89,9.9,9.89,9.9,50100,0
ARCI.US,D,20260428,000000,9.93,9.935,9.9,9.9,175010,0
ARCI.US,D,20260429,000000,10.06,10.06,9.91,9.91,679,0
ARCI.US,D,20260430,000000,9.91,9.91,9.91,9.91,150,0
ARCI.US,D,20260501,000000,9.9183,9.9183,9.9183,9.9183,103,0
ARCI.US,D,20260506,000000,9.9,9.925,9.9,9.92,150350,0
ARCI.US,D,20260507,000000,9.949,9.95,9.92,9.95,30000,0
ARCI.US,D,20260508,000000,9.92,9.92,9.92,9.92,20852,0
ARCI.US,D,20260511,000000,9.93,9.93,9.925,9.93,9401,0
ARCI.US,D,20260512,000000,9.93,9.93,9.93,9.93,846,0
ARCI.US,D,20260513,000000,9.94,9.94,9.94,9.94,7201,0
ARCI.US,D,20260514,000000,9.94,9.95,9.94,9.94,73178,0
ARCI.US,D,20260518,000000,9.93,9.9499,9.93,9.9499,6517,0
ARCI.US,D,20260519,000000,9.93,9.93,9.93,9.93,4275,0
ARCI.US,D,20260520,000000,9.94,9.9459,9.93,9.9459,21797,0
ARCI.US,D,20260521,000000,9.945,9.955,9.945,9.955,12745,0
ARCI.US,D,20260522,000000,9.96,9.96,9.96,9.96,37865,0
ARCI.US,D,20260526,000000,9.969,9.97,9.96,9.96,3407,0
ARCI.US,D,20260527,000000,9.965,9.97,9.96,9.97,18059,0
ARCI.US,D,20260528,000000,9.97,9.97,9.97,9.97,3151,0
ARCI.US,D,20260529,000000,9.97,10,9.97,9.99,29506,0
ARCI.US,D,20260601,000000,9.99,10,9.98,9.98,36484,0
ARCI.US,D,20260602,000000,9.975,9.98,9.97,9.9799,100852,0
ARCI.US,D,20260603,000000,9.985,9.985,9.985,9.985,1061,0
ARCI.US,D,20260605,000000,9.98,9.985,9.98,9.98,10553,0
ARCI.US,D,20260609,000000,9.98,9.98,9.98,9.98,2063,0
ARCI.US,D,20260615,000000,9.9902,9.9902,9.9902,9.9902,277,0
ARCI.US,D,20260617,000000,9.9833,9.9833,9.9833,9.9833,303,0
ARCI.US,D,20260623,000000,9.98,9.98,9.98,9.98,3029,0
