<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARCL.US,D,20260529,000000,9.87,9.97,9.87,9.96,112805,0
ARCL.US,D,20260601,000000,9.9,9.96,9.85,9.87,155557,0
ARCL.US,D,20260602,000000,9.87,9.89,9.87,9.88,595072,0
ARCL.US,D,20260603,000000,9.88,9.89,9.88,9.88,402649,0
ARCL.US,D,20260604,000000,9.92,9.92,9.9,9.9,220,0
ARCL.US,D,20260605,000000,9.9,9.9,9.87,9.89,759,0
ARCL.US,D,20260608,000000,9.9,9.9,9.89,9.89,517,0
ARCL.US,D,20260609,000000,9.9,9.9,9.85,9.88,205615,0
ARCL.US,D,20260610,000000,9.87,9.88,9.87,9.87,206757,0
ARCL.US,D,20260612,000000,9.89,9.89,9.88,9.89,2305,0
ARCL.US,D,20260615,000000,9.9,9.9,9.9,9.9,2004,0
ARCL.US,D,20260616,000000,9.91,9.9195,9.91,9.9195,301,0
ARCL.US,D,20260617,000000,9.89,9.89,9.88,9.88,784,0
ARCL.US,D,20260618,000000,9.9,9.91,9.9,9.91,250143,0
ARCL.US,D,20260623,000000,9.91,9.925,9.895,9.9,92419,0
