<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARCLW.US,D,20260529,000000,0.07,0.09,0.06,0.07,2171433,0
ARCLW.US,D,20260601,000000,0.0701,0.0701,0.062,0.062,190312,0
ARCLW.US,D,20260603,000000,0.07,0.07,0.07,0.07,722,0
ARCLW.US,D,20260608,000000,0.0801,0.0801,0.0801,0.0801,566,0
ARCLW.US,D,20260609,000000,0.08,0.08,0.08,0.08,4000,0
ARCLW.US,D,20260610,000000,0.08,0.08,0.08,0.08,3249,0
ARCLW.US,D,20260611,000000,0.09,0.09,0.09,0.09,3211,0
ARCLW.US,D,20260612,000000,0.1,0.11,0.0999,0.11,5739,0
ARCLW.US,D,20260615,000000,0.12,0.12,0.104,0.119999,2917,0
ARCLW.US,D,20260616,000000,0.12,0.12,0.12,0.12,920,0
ARCLW.US,D,20260617,000000,0.12,0.12,0.12,0.12,1010,0
ARCLW.US,D,20260618,000000,0.12,0.12,0.12,0.12,4501,0
ARCLW.US,D,20260622,000000,0.1306,0.1361,0.1115,0.1115,14626,0
ARCLW.US,D,20260624,000000,0.12,0.12,0.1199,0.1199,1000,0
