<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARXS.US,D,20260416,000000,38,39.05,35.25,38.75,19256395,0
ARXS.US,D,20260417,000000,37.67,39.24,37.39,38,3822488,0
ARXS.US,D,20260420,000000,38,38.48,37.2,37.65,2202288,0
ARXS.US,D,20260421,000000,37.65,39.45,37.55,37.75,2092624,0
ARXS.US,D,20260422,000000,38.32,38.49,35.585,36.26,4785905,0
ARXS.US,D,20260423,000000,36.26,37.6,35.87,37.25,1485945,0
ARXS.US,D,20260424,000000,37.37,37.37,34.995,35,1507587,0
ARXS.US,D,20260427,000000,35,35.8,34.45,35.23,1315251,0
ARXS.US,D,20260428,000000,35,35.58,34.51,35.04,592238,0
ARXS.US,D,20260429,000000,35,35.43,34.655,35.15,979243,0
ARXS.US,D,20260430,000000,35.06,35.8,34.44,35,725751,0
ARXS.US,D,20260501,000000,35,35.62,34.81,35.13,698715,0
ARXS.US,D,20260504,000000,35.13,35.88,35,35.26,585975,0
ARXS.US,D,20260505,000000,34.99,35.79,34.98,35.46,535651,0
ARXS.US,D,20260506,000000,35,35.87,34.84,35,555070,0
ARXS.US,D,20260507,000000,35,35.495,34.87,35.03,409940,0
ARXS.US,D,20260508,000000,35.03,35.805,34.49,35.1,751171,0
ARXS.US,D,20260511,000000,35.4,38.65,34.65,38.56,2242212,0
ARXS.US,D,20260512,000000,38.56,38.81,35.5,36.26,932002,0
ARXS.US,D,20260513,000000,36.72,37,35.01,35.4,722619,0
ARXS.US,D,20260514,000000,35.51,36.275,35.01,36.1,684984,0
ARXS.US,D,20260515,000000,36.13,36.13,34.5,34.59,832358,0
ARXS.US,D,20260518,000000,34.85,34.93,33.51,34.05,1002803,0
ARXS.US,D,20260519,000000,33.68,34.45,33.15,34.14,349966,0
ARXS.US,D,20260520,000000,34.31,35.14,34.205,34.575,290377,0
ARXS.US,D,20260521,000000,34.4,35,33.775,34.59,280309,0
ARXS.US,D,20260522,000000,34.75,35.1,34.44,34.8,321488,0
ARXS.US,D,20260526,000000,35.3,40.14,35.235,39.53,2015880,0
ARXS.US,D,20260527,000000,39.79,40.66,38.3,39.75,1449738,0
ARXS.US,D,20260528,000000,39.4,46.86,37.24,46.83,2941551,0
ARXS.US,D,20260529,000000,46.32,48.68,44.89,44.93,980924,0
ARXS.US,D,20260601,000000,45.647,46.34,42.64,43.1,705344,0
ARXS.US,D,20260602,000000,43.37,43.37,41.88,42.84,642075,0
ARXS.US,D,20260603,000000,42.26,43.200621,40.84,41.33,1008984,0
ARXS.US,D,20260604,000000,41.33,43.52,40.3733,41.98,840135,0
ARXS.US,D,20260605,000000,41.64,41.7,38.41,39.41,1262429,0
ARXS.US,D,20260608,000000,39.685,40.68,38.84,40.61,876950,0
ARXS.US,D,20260609,000000,40.59,42.13,39.42,40.77,780147,0
ARXS.US,D,20260610,000000,40.77,42.305,39.86,40.04,580452,0
ARXS.US,D,20260611,000000,40.3,41.88,39.38,41.38,844343,0
ARXS.US,D,20260612,000000,41.88,42.915,40.84,40.985,749766,0
ARXS.US,D,20260615,000000,41.81,42.46,40.89,40.97,417226,0
ARXS.US,D,20260616,000000,40.97,41.83,40,41.16,450500,0
ARXS.US,D,20260617,000000,41.5,42.16,40,40.45,579867,0
ARXS.US,D,20260618,000000,40.41,44.775,40.41,43.61,5180722,0
ARXS.US,D,20260622,000000,43.98,46.6,42.77,46.06,1394410,0
ARXS.US,D,20260623,000000,44.07,46.6,42.6899,45.35,860443,0
ARXS.US,D,20260624,000000,45.04,45.58,43.08,43.14,1113920,0
