<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASD.US,D,20260602,000000,24.66,24.74,24.6174,24.6174,925,0
ASD.US,D,20260604,000000,25.24,25.24,25.1156,25.1156,2219,0
ASD.US,D,20260605,000000,25.06,25.06,24.8368,24.8368,638,0
ASD.US,D,20260610,000000,25.12,25.12,24.8661,24.8661,240,0
ASD.US,D,20260612,000000,25.34,25.34,25.2,25.205,1165,0
ASD.US,D,20260615,000000,25.13,25.13,24.83,24.8631,1295,0
ASD.US,D,20260616,000000,24.84,24.9,24.8294,24.8294,1903,0
ASD.US,D,20260622,000000,25.26,25.26,25.1308,25.1308,1072,0
ASD.US,D,20260623,000000,25.3117,25.3117,25.3107,25.3107,867,0
ASD.US,D,20260624,000000,25.95,26.26,25.95,26.26,451,0
