<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATC.US,D,20260513,000000,24.84,24.84,24.775,24.775,153,0
ATC.US,D,20260515,000000,24.39,24.39,24.27,24.27,908,0
ATC.US,D,20260518,000000,23.935,24.065,23.935,24.065,246,0
ATC.US,D,20260519,000000,24.31,24.404,24.31,24.404,103,0
ATC.US,D,20260527,000000,23.66,23.66,23.4674,23.4674,219,0
ATC.US,D,20260601,000000,23.74,24.06,23.74,23.9278,695,0
ATC.US,D,20260602,000000,23.15,23.23,23.15,23.23,104,0
ATC.US,D,20260605,000000,21.73,21.73,20.765,20.765,1750,0
ATC.US,D,20260608,000000,21.49,21.8154,21.37,21.8154,1863,0
ATC.US,D,20260612,000000,21.2886,21.2886,21.1866,21.1866,110,0
ATC.US,D,20260617,000000,22.27,22.27,22.035,22.0518,8090,0
ATC.US,D,20260618,000000,22.04,22.04,21.945,21.945,101,0
ATC.US,D,20260623,000000,21.75,21.75,21.54,21.6731,2490,0
ATC.US,D,20260624,000000,20.96,20.96,20.85,20.91,9533,0
