<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVLN.US,D,20260430,000000,26,30.2,26,29.49,6511900,0
AVLN.US,D,20260501,000000,28,30,27.5,29.84,830047,0
AVLN.US,D,20260504,000000,30.14,30.6683,28.01,29.07,357303,0
AVLN.US,D,20260505,000000,29.32,29.64,25.4401,27.43,467970,0
AVLN.US,D,20260506,000000,27.16,27.735,25.05,27.71,673816,0
AVLN.US,D,20260507,000000,27.43,27.5,25.39,26.93,664375,0
AVLN.US,D,20260508,000000,26.66,29,26.64,27.33,290423,0
AVLN.US,D,20260511,000000,27.28,30.4299,27.27,29.57,306734,0
AVLN.US,D,20260512,000000,29.27,31.02,29.25,29.9,308642,0
AVLN.US,D,20260513,000000,29.92,32.225,28.3575,30.83,402327,0
AVLN.US,D,20260514,000000,30.77,31.34,28.795,30.62,178226,0
AVLN.US,D,20260515,000000,29.69,31,28.005,29.84,205029,0
AVLN.US,D,20260518,000000,29.52,29.8,25.21,26.63,430257,0
AVLN.US,D,20260519,000000,26.75,28.61,26,28.11,126126,0
AVLN.US,D,20260520,000000,26.63,28.495,26.01,28.03,181017,0
AVLN.US,D,20260521,000000,27.61,28.61,26.68,28.41,240534,0
AVLN.US,D,20260522,000000,28.45,29.67,26.68,28.84,321470,0
AVLN.US,D,20260526,000000,29.68,29.7999,26.325,26.7,367898,0
AVLN.US,D,20260527,000000,26.7,28.865,26.12,26.82,213197,0
AVLN.US,D,20260528,000000,26.99,29.74,26.99,28.39,394974,0
AVLN.US,D,20260529,000000,28.41,29.8,26.88,28.78,268113,0
AVLN.US,D,20260601,000000,28.25,28.8775,25.69,26.66,155785,0
AVLN.US,D,20260602,000000,26.4,27.465,25.7,25.72,149989,0
AVLN.US,D,20260603,000000,25.72,27.23,24.15,26.4,206361,0
AVLN.US,D,20260604,000000,26.42,28,25.705,26.99,215960,0
AVLN.US,D,20260605,000000,27.19,29.51,25.775,27.06,327006,0
AVLN.US,D,20260608,000000,27.62,29,26.195,28.06,272294,0
AVLN.US,D,20260609,000000,28.19,29.41,27.255,28.67,200671,0
AVLN.US,D,20260610,000000,29,31,28.47,28.53,342827,0
AVLN.US,D,20260611,000000,28.25,28.95,27.6,28.07,199621,0
AVLN.US,D,20260612,000000,28.17,30.45,26.02,30.08,286486,0
AVLN.US,D,20260615,000000,30.69,32.185,28.37,28.75,275599,0
AVLN.US,D,20260616,000000,28.26,29.78,28,28.07,383857,0
AVLN.US,D,20260617,000000,28.02,31.14,28,29.31,543613,0
AVLN.US,D,20260618,000000,29.6,32.165,29.32,31.45,1515228,0
AVLN.US,D,20260622,000000,31.71,33.1927,30.265,32.97,503896,0
AVLN.US,D,20260623,000000,32.71,33.24,30.3,32.29,350573,0
AVLN.US,D,20260624,000000,32.1,33.22,29.8,30.08,217067,0
