<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGCG.US,D,20260601,000000,26.35,26.39,26.2,26.275,9790,0
BGCG.US,D,20260602,000000,26.4906,26.52,26.28,26.4414,3371,0
BGCG.US,D,20260603,000000,25.885,25.885,25.68,25.8061,3398,0
BGCG.US,D,20260604,000000,26.13,26.19,26.0994,26.0994,1279,0
BGCG.US,D,20260605,000000,25.52,25.52,25.0302,25.0302,8600,0
BGCG.US,D,20260608,000000,25.58,25.58,25.3793,25.3793,141674,0
BGCG.US,D,20260609,000000,25.54,25.54,25.045,25.4313,6789,0
BGCG.US,D,20260610,000000,25.235,25.235,24.9399,24.9399,15995,0
BGCG.US,D,20260611,000000,25.475,25.725,25.475,25.7203,5358,0
BGCG.US,D,20260612,000000,25.5223,25.73,25.4299,25.595,232566,0
BGCG.US,D,20260615,000000,26.1,26.27,26.07,26.105,10317,0
BGCG.US,D,20260616,000000,26.05,26.1933,26.01,26.01,6784,0
BGCG.US,D,20260617,000000,26.23,26.43,25.835,25.835,8484,0
BGCG.US,D,20260618,000000,26.05,26.3538,26.01,26.3538,10032,0
BGCG.US,D,20260622,000000,26.25,26.25,26.065,26.072,1845,0
BGCG.US,D,20260623,000000,25.54,25.55,25.2655,25.2655,16187,0
BGCG.US,D,20260624,000000,25.0801,25.44,25.0801,25.2499,58143,0
