<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGEG.US,D,20260603,000000,25.29,25.29,25.2431,25.2431,50216,0
BGEG.US,D,20260604,000000,24.9,25.005,24.88,25.005,677,0
BGEG.US,D,20260605,000000,24.235,24.235,23.6816,23.6816,1298,0
BGEG.US,D,20260608,000000,23.79,23.79,23.605,23.605,250,0
BGEG.US,D,20260609,000000,24.1,24.1,23.52,23.6102,640,0
BGEG.US,D,20260610,000000,23.42,23.42,23.1578,23.1578,389,0
BGEG.US,D,20260611,000000,23.45,23.9625,23.45,23.9625,50052,0
BGEG.US,D,20260612,000000,24.14,24.14,24.0686,24.0686,50056,0
BGEG.US,D,20260615,000000,25.03,25.03,24.9752,24.9752,2231,0
BGEG.US,D,20260616,000000,24.73,24.73,24.6212,24.6212,50031,0
BGEG.US,D,20260617,000000,24.84,24.84,24.5809,24.5809,309,0
BGEG.US,D,20260618,000000,25.12,25.1927,25.12,25.1927,50057,0
BGEG.US,D,20260622,000000,25.27,25.31,25.27,25.279,51406,0
BGEG.US,D,20260623,000000,24.07,24.105,23.9756,23.9756,58160,0
BGEG.US,D,20260624,000000,23.9599,23.99,23.895,23.99,50577,0
