<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHAV.US,D,20260416,000000,9.87,9.87,9.85,9.86,950095,0
BHAV.US,D,20260417,000000,9.87,9.88,9.86,9.86,993001,0
BHAV.US,D,20260420,000000,9.85,9.87,9.85,9.87,158709,0
BHAV.US,D,20260421,000000,9.88,9.88,9.88,9.88,562,0
BHAV.US,D,20260422,000000,9.88,9.88,9.865,9.87,356087,0
BHAV.US,D,20260423,000000,9.87,9.88,9.87,9.88,378064,0
BHAV.US,D,20260424,000000,9.88,9.8899,9.875,9.8899,15395,0
BHAV.US,D,20260427,000000,9.87,9.875,9.87,9.875,75278,0
BHAV.US,D,20260429,000000,9.88,9.88,9.88,9.88,1611,0
BHAV.US,D,20260430,000000,9.88,9.88,9.87,9.87,56821,0
BHAV.US,D,20260501,000000,9.88,9.88,9.88,9.88,144,0
BHAV.US,D,20260505,000000,9.88,9.89,9.88,9.89,19217,0
BHAV.US,D,20260508,000000,9.89,9.9,9.88,9.89,20720,0
BHAV.US,D,20260511,000000,9.88,9.89,9.88,9.88,280524,0
BHAV.US,D,20260512,000000,9.8816,9.8816,9.8816,9.8816,2038,0
BHAV.US,D,20260513,000000,9.88,9.91,9.88,9.9,172945,0
BHAV.US,D,20260514,000000,9.89,9.9,9.89,9.89,303974,0
BHAV.US,D,20260515,000000,9.92,9.92,9.92,9.92,11036,0
BHAV.US,D,20260519,000000,9.9,9.91,9.9,9.91,685,0
BHAV.US,D,20260520,000000,9.92,9.92,9.92,9.92,141,0
BHAV.US,D,20260521,000000,9.9199,9.92,9.9199,9.92,4055,0
BHAV.US,D,20260526,000000,9.92,9.92,9.905,9.905,486,0
BHAV.US,D,20260527,000000,9.915,9.915,9.91,9.91,2121,0
BHAV.US,D,20260528,000000,9.91,9.95,9.91,9.9201,7469,0
BHAV.US,D,20260529,000000,9.9201,9.9201,9.9201,9.9201,123,0
BHAV.US,D,20260601,000000,9.949,9.95,9.9397,9.95,617,0
BHAV.US,D,20260602,000000,9.99,9.99,9.93,9.9491,2578,0
BHAV.US,D,20260603,000000,9.94,9.95,9.94,9.95,2795,0
BHAV.US,D,20260604,000000,9.99,9.99,9.99,9.99,125,0
BHAV.US,D,20260605,000000,9.95,9.95,9.95,9.95,530,0
BHAV.US,D,20260608,000000,9.95,9.95,9.95,9.95,404,0
BHAV.US,D,20260610,000000,9.93,9.95,9.93,9.94,4507,0
BHAV.US,D,20260611,000000,9.94,9.94,9.93,9.93,1299,0
BHAV.US,D,20260612,000000,9.93,9.93,9.93,9.93,846,0
BHAV.US,D,20260615,000000,9.91,9.91,9.91,9.91,278,0
BHAV.US,D,20260616,000000,9.92,9.95,9.92,9.95,2423,0
BHAV.US,D,20260617,000000,9.95,9.95,9.95,9.95,2029,0
BHAV.US,D,20260618,000000,9.9499,9.9499,9.9499,9.9499,1236,0
BHAV.US,D,20260622,000000,9.95,9.95,9.91,9.93,5723,0
BHAV.US,D,20260624,000000,9.91,9.92,9.91,9.91,8132,0
