<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLRK.US,D,20260202,000000,9.95,10,9.87,9.95,14259,0
BLRK.US,D,20260203,000000,9.91,9.91,9.87,9.9,8543,0
BLRK.US,D,20260204,000000,9.9,9.9,9.9,9.9,1392,0
BLRK.US,D,20260205,000000,9.9,9.9,9.9,9.9,2093,0
BLRK.US,D,20260206,000000,9.95,9.95,9.9,9.9,4102,0
BLRK.US,D,20260209,000000,9.95,9.95,9.91,9.91,872,0
BLRK.US,D,20260210,000000,9.91,9.91,9.91,9.91,174,0
BLRK.US,D,20260211,000000,9.91,9.91,9.9,9.9,3237,0
BLRK.US,D,20260212,000000,9.92,9.92,9.89,9.89,14034,0
BLRK.US,D,20260213,000000,9.89,9.89,9.885,9.89,180790,0
BLRK.US,D,20260217,000000,9.91,9.91,9.91,9.91,1281,0
BLRK.US,D,20260218,000000,9.9,9.9,9.9,9.9,224,0
BLRK.US,D,20260219,000000,9.9,9.9,9.88,9.88,5150,0
BLRK.US,D,20260220,000000,9.88,9.88,9.88,9.88,169,0
BLRK.US,D,20260306,000000,9.88,9.885,9.88,9.88,5277,0
BLRK.US,D,20260309,000000,9.92,9.92,9.89,9.89,3769,0
BLRK.US,D,20260310,000000,9.89,9.89,9.89,9.89,515,0
BLRK.US,D,20260311,000000,9.89,9.89,9.88,9.88,1720,0
BLRK.US,D,20260312,000000,9.895,9.9,9.89,9.9,9849,0
BLRK.US,D,20260317,000000,9.88,9.88,9.88,9.88,645,0
BLRK.US,D,20260323,000000,9.88,9.88,9.88,9.88,202,0
BLRK.US,D,20260324,000000,9.89,9.89,9.89,9.89,101,0
BLRK.US,D,20260326,000000,9.905,9.91,9.89,9.9,249385,0
BLRK.US,D,20260327,000000,9.91,9.91,9.91,9.91,150058,0
BLRK.US,D,20260330,000000,9.9,9.92,9.9,9.92,251710,0
BLRK.US,D,20260331,000000,9.9,9.9,9.9,9.9,16414,0
BLRK.US,D,20260401,000000,9.91,9.91,9.9,9.9,25093,0
BLRK.US,D,20260402,000000,9.905,9.91,9.9,9.9,2370,0
BLRK.US,D,20260406,000000,9.9,9.9,9.9,9.9,1277,0
BLRK.US,D,20260408,000000,9.9,9.9,9.89,9.89,334,0
BLRK.US,D,20260409,000000,9.905,9.91,9.8999,9.9,20675,0
BLRK.US,D,20260413,000000,9.91,9.91,9.91,9.91,5695,0
BLRK.US,D,20260414,000000,9.91,9.91,9.91,9.91,500,0
BLRK.US,D,20260415,000000,9.91,9.91,9.91,9.91,122,0
BLRK.US,D,20260417,000000,9.91,9.92,9.91,9.91,101077,0
BLRK.US,D,20260420,000000,9.935,9.94,9.935,9.94,3101,0
BLRK.US,D,20260421,000000,9.925,9.925,9.91,9.91,3625,0
BLRK.US,D,20260422,000000,9.92,9.92,9.9199,9.92,47817,0
BLRK.US,D,20260423,000000,9.93,9.93,9.93,9.93,273,0
BLRK.US,D,20260427,000000,9.93,9.93,9.93,9.93,9734,0
BLRK.US,D,20260428,000000,9.935,9.94,9.935,9.94,8363,0
BLRK.US,D,20260429,000000,9.95,9.95,9.95,9.95,5127,0
BLRK.US,D,20260430,000000,9.93,9.93,9.93,9.93,1016,0
BLRK.US,D,20260504,000000,9.93,9.93,9.93,9.93,104,0
BLRK.US,D,20260506,000000,9.93,9.94,9.93,9.93,5402,0
BLRK.US,D,20260507,000000,9.94,9.94,9.925,9.93,14232,0
BLRK.US,D,20260508,000000,9.95,9.95,9.93,9.93,1102,0
BLRK.US,D,20260511,000000,9.94,9.94,9.94,9.94,132,0
BLRK.US,D,20260512,000000,9.94,9.94,9.94,9.94,127,0
BLRK.US,D,20260513,000000,9.94,9.94,9.94,9.94,120,0
BLRK.US,D,20260514,000000,9.94,9.94,9.94,9.94,137,0
BLRK.US,D,20260515,000000,9.94,9.96,9.94,9.96,1643,0
BLRK.US,D,20260518,000000,9.95,9.95,9.95,9.95,18047,0
BLRK.US,D,20260522,000000,9.96,9.96,9.95,9.95,12720,0
BLRK.US,D,20260526,000000,9.96,9.96,9.96,9.96,133,0
BLRK.US,D,20260527,000000,9.96,9.96,9.96,9.96,191,0
BLRK.US,D,20260528,000000,9.96,9.96,9.96,9.96,643,0
BLRK.US,D,20260529,000000,9.96,9.97,9.95,9.97,11132,0
BLRK.US,D,20260601,000000,9.99,10,9.97,9.97,2162,0
BLRK.US,D,20260602,000000,10,10,10,10,219,0
BLRK.US,D,20260603,000000,10,10,9.98,9.98,1112,0
BLRK.US,D,20260610,000000,9.98,9.98,9.98,9.98,655,0
BLRK.US,D,20260611,000000,9.99,9.99,9.99,9.99,42012,0
BLRK.US,D,20260612,000000,9.97,9.97,9.97,9.97,123,0
BLRK.US,D,20260622,000000,10,10,9.9701,9.9701,20220,0
BLRK.US,D,20260623,000000,9.995,9.995,9.99,9.99,16411,0
