<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNCWZ.US,D,20260415,000000,0.45,0.5,0.45,0.49,6985,0
BNCWZ.US,D,20260416,000000,0.65,0.65,0.455,0.5195,7796,0
BNCWZ.US,D,20260420,000000,0.35,0.35,0.35,0.35,600,0
BNCWZ.US,D,20260421,000000,0.35,0.35,0.35,0.35,198,0
BNCWZ.US,D,20260423,000000,0.2988,0.2988,0.2988,0.2988,205,0
BNCWZ.US,D,20260428,000000,0.2,0.25,0.2,0.25,35043,0
BNCWZ.US,D,20260429,000000,0.24,0.43,0.24,0.4095,2345,0
BNCWZ.US,D,20260430,000000,0.26,0.4,0.26,0.39,2438,0
BNCWZ.US,D,20260501,000000,0.4,0.4,0.35,0.4,681,0
BNCWZ.US,D,20260504,000000,0.4,0.525,0.4,0.525,3067,0
BNCWZ.US,D,20260505,000000,0.5345,0.5345,0.4,0.4,10458,0
BNCWZ.US,D,20260506,000000,0.32,0.616,0.32,0.4296,9760,0
BNCWZ.US,D,20260507,000000,0.4,0.6,0.4,0.4208,804,0
BNCWZ.US,D,20260508,000000,0.4,0.4,0.4,0.4,6054,0
BNCWZ.US,D,20260511,000000,0.46,0.7469,0.345,0.345,7720,0
BNCWZ.US,D,20260512,000000,0.3,0.3493,0.1699,0.2844,4955,0
BNCWZ.US,D,20260513,000000,0.2708,1.67,0.225,0.35,18001,0
BNCWZ.US,D,20260514,000000,0.33,0.33,0.3,0.3,519,0
BNCWZ.US,D,20260515,000000,0.22,0.22,0.186,0.2,1649,0
BNCWZ.US,D,20260518,000000,0.19,0.2,0.18,0.2,29974,0
BNCWZ.US,D,20260519,000000,0.14,0.15,0.1,0.1,9121,0
BNCWZ.US,D,20260520,000000,0.18,0.18,0.18,0.18,167,0
BNCWZ.US,D,20260521,000000,0.15,0.15,0.1302,0.1302,2555,0
BNCWZ.US,D,20260526,000000,0.15,0.15,0.0711,0.0711,17377,0
BNCWZ.US,D,20260527,000000,0.0718,0.099899,0.0718,0.08,3571,0
BNCWZ.US,D,20260528,000000,0.071,0.1,0.071,0.0999,23244,0
BNCWZ.US,D,20260529,000000,0.1,0.118,0.1,0.118,1681,0
BNCWZ.US,D,20260602,000000,0.185,0.25,0.1539,0.17,10098,0
BNCWZ.US,D,20260603,000000,0.15,0.15,0.08,0.09,11271,0
BNCWZ.US,D,20260604,000000,0.081,0.081,0.08,0.08,1293,0
BNCWZ.US,D,20260605,000000,0.13,0.13,0.12,0.13,1200,0
BNCWZ.US,D,20260608,000000,0.1,0.1,0.1,0.1,535,0
BNCWZ.US,D,20260609,000000,0.1,0.1,0.0499,0.0674,40821,0
BNCWZ.US,D,20260610,000000,0.09,0.09,0.0235,0.0301,418570,0
BNCWZ.US,D,20260611,000000,0.03,0.03,0.03,0.03,116,0
BNCWZ.US,D,20260612,000000,0.02695,0.05,0.0228,0.024915,43801,0
BNCWZ.US,D,20260615,000000,0.0251,0.0328,0.0176,0.0177,271841,0
BNCWZ.US,D,20260616,000000,0.03,0.03,0.0102,0.0268,279117,0
BNCWZ.US,D,20260617,000000,0.03,0.03,0.015,0.027819,26752,0
BNCWZ.US,D,20260624,000000,0.0278,0.045,0.0151,0.0151,8522,0
