<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOT.US,D,20260511,000000,59,59,23.78,39,961901,0
BOT.US,D,20260512,000000,39.65,40,22.73,25.4,549116,0
BOT.US,D,20260513,000000,27.29,27.5,19.2,21.01,709666,0
BOT.US,D,20260514,000000,19.77,29,19.35,27.1,816488,0
BOT.US,D,20260515,000000,28.97,37.4999,24,36.01,1982622,0
BOT.US,D,20260518,000000,30.24,30.36,25.01,28.36,1341193,0
BOT.US,D,20260519,000000,26.54,26.7999,22.5,24.21,860491,0
BOT.US,D,20260520,000000,24.11,29.12,22.8001,28.24,866135,0
BOT.US,D,20260521,000000,28.95,32.4,26.8001,31.29,655268,0
BOT.US,D,20260522,000000,30.7,30.7,23.7,24.38,1183110,0
BOT.US,D,20260526,000000,24.36,25.8881,22.8,25.88,671112,0
BOT.US,D,20260527,000000,25.8,29.47,23.5,28.68,686578,0
BOT.US,D,20260528,000000,28.33,30.75,26.6,28.98,522426,0
BOT.US,D,20260529,000000,27.94,29.5,24.825,24.88,547013,0
BOT.US,D,20260601,000000,25.73,25.73,22.5,22.86,753421,0
BOT.US,D,20260602,000000,22.78,25.9999,21.66,25.325,637817,0
BOT.US,D,20260603,000000,26.59,29.8,24.8,28.97,1020613,0
BOT.US,D,20260604,000000,28.9,35.1,27.01,33.51,1200646,0
BOT.US,D,20260605,000000,33.49,37.555,28.92,37.49,996409,0
BOT.US,D,20260608,000000,39.6,44,35.46,41.74,1334001,0
BOT.US,D,20260609,000000,44.6,48.59,39.99,41.09,1382098,0
BOT.US,D,20260610,000000,38.91,44.9899,34.6,34.96,749674,0
BOT.US,D,20260611,000000,35.91,36.815,30.5,32.53,753499,0
BOT.US,D,20260612,000000,33.84,38.78,32,35.39,644716,0
BOT.US,D,20260615,000000,38.83,42.06,33.91,38.07,685743,0
BOT.US,D,20260616,000000,37.78,39.24,31.5,32.48,776387,0
BOT.US,D,20260617,000000,32.51,36,32,32.36,551694,0
BOT.US,D,20260618,000000,33.2,34,29.5,31.56,524231,0
BOT.US,D,20260622,000000,31.01,32.4799,28.27,29.94,543919,0
BOT.US,D,20260623,000000,28.28,30.65,28,29.71,349523,0
BOT.US,D,20260624,000000,30.59,30.59,25.51,26.17,621036,0
