<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYAH.US,D,20241227,000000,205,223,185,203.5,35240,0
BYAH.US,D,20241230,000000,210,260,196,242.5,8351.18,0
BYAH.US,D,20241231,000000,245.5,345,242.41,314.5,8472.1,0
BYAH.US,D,20250102,000000,294,301,215,230,4249.02,0
BYAH.US,D,20250103,000000,232,232,210,220,3412.5,0
BYAH.US,D,20250106,000000,221,267,221,235.5,1486.48,0
BYAH.US,D,20250107,000000,248.5,260,234.5,249.5,522.56,0
BYAH.US,D,20250108,000000,249.5,259.845,230,231.5,772.56,0
BYAH.US,D,20250110,000000,227,259.75,227,241.5,1711.5,0
BYAH.US,D,20250113,000000,246.5,287.5,237,287.5,4139.66,0
BYAH.US,D,20250114,000000,287.5,300.5,275,289,1678.84,0
BYAH.US,D,20250115,000000,286,292,268,290,3080.24,0
BYAH.US,D,20250116,000000,298,303.56,280.5,292.5,2174.76,0
BYAH.US,D,20250117,000000,297.5,302.5,282.5,285.5,763.56,0
BYAH.US,D,20250121,000000,290,300,287.5,294.5,342.44,0
BYAH.US,D,20250122,000000,287,296.5,250.5,262.5,1225.26,0
BYAH.US,D,20250123,000000,274.5,288.5,269,285,293.46,0
BYAH.US,D,20250124,000000,299,299,261.5,274.5,4488.32,0
BYAH.US,D,20250127,000000,275.5,287,255,267.5,2290.62,0
BYAH.US,D,20250128,000000,265,280,265,267,958.08,0
BYAH.US,D,20250129,000000,272.725,284.995,262.5,284.5,423.56,0
BYAH.US,D,20250130,000000,287.5,332.5,287.5,305.5,2421.18,0
BYAH.US,D,20250131,000000,282.5,315.66,270.5,300,2299.3,0
BYAH.US,D,20250203,000000,291,316,289.75,309.5,324.44,0
BYAH.US,D,20250204,000000,309.5,316.5,292.5,309,379.64,0
BYAH.US,D,20250205,000000,297.5,307.5,251.505,264,1033.78,0
BYAH.US,D,20250206,000000,271.215,287,270,274,203.58,0
BYAH.US,D,20250207,000000,266,287.5,266,280,149.86,0
BYAH.US,D,20250210,000000,280,280,260.5,264,288.98,0
BYAH.US,D,20250211,000000,260,268,227.5,263,433.32,0
BYAH.US,D,20250212,000000,263.5,263.5,250.5,256,131.6,0
BYAH.US,D,20250213,000000,257.5,277.915,256.6,277.5,169.46,0
BYAH.US,D,20250214,000000,262.5,278.09,258.5,263,171.62,0
BYAH.US,D,20250218,000000,262.5,280,247,280,232.72,0
BYAH.US,D,20250219,000000,265.5,278,260,278,159.94,0
BYAH.US,D,20250220,000000,260.5,273.02,260,272.5,32.82,0
BYAH.US,D,20250221,000000,260.75,272.5,260.75,272,115.12,0
BYAH.US,D,20250224,000000,250,269,250,269,36.8,0
BYAH.US,D,20250225,000000,250,268.04,250,262,61.74,0
BYAH.US,D,20250226,000000,250,272.5,250,272.5,62.06,0
BYAH.US,D,20250227,000000,297,297,259.5,259.5,58.74,0
BYAH.US,D,20250228,000000,274,274,261,262,53.94,0
BYAH.US,D,20250303,000000,259.5,291,257.555,291,5291.2,0
BYAH.US,D,20250304,000000,290,370.5,287.1,359.48,6315,0
BYAH.US,D,20250305,000000,370.5,390.5,307.5,332.5,9497.28,0
BYAH.US,D,20250306,000000,337.5,350,305,345,8333.22,0
BYAH.US,D,20250307,000000,339.5,399,321.75,384.5,8050.36,0
BYAH.US,D,20250310,000000,395,458.5,385.455,401.635,8145,0
BYAH.US,D,20250311,000000,406,447.5,384,415,8118.86,0
BYAH.US,D,20250312,000000,411.5,450,392.935,437.5,10800.7,0
BYAH.US,D,20250313,000000,435.5,450,407.5,412,9180.42,0
BYAH.US,D,20250314,000000,414.5,432.5,375.5,385,8413.42,0
BYAH.US,D,20250317,000000,419.17,419.17,345,394.5,10352.8,0
BYAH.US,D,20250318,000000,390,549,365,530,11205,0
BYAH.US,D,20250319,000000,530,550,476,486,10619.1,0
BYAH.US,D,20250320,000000,480,595.5,463,551.5,10228.1,0
BYAH.US,D,20250321,000000,550,698.995,550,674,10834.3,0
BYAH.US,D,20250324,000000,665.5,666,506.5,541,10687.1,0
BYAH.US,D,20250325,000000,561.5,594,472.5,477,12756.1,0
BYAH.US,D,20250326,000000,478.5,565.37,465,530,9627.76,0
BYAH.US,D,20250327,000000,514,620.5,502.5,591.5,9093.34,0
BYAH.US,D,20250328,000000,587,689.255,566,639.5,8693.16,0
