<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAQ.US,D,20260330,000000,10.1,10.1,9.94,9.95,32045,0
CAQ.US,D,20260331,000000,9.88,9.891,9.8,9.87,21965,0
CAQ.US,D,20260401,000000,9.85,9.85,9.85,9.85,5156,0
CAQ.US,D,20260402,000000,9.85,9.85,9.8,9.85,5294,0
CAQ.US,D,20260406,000000,9.82,9.83,9.81,9.83,8426,0
CAQ.US,D,20260408,000000,9.85,9.85,9.82,9.82,1014,0
CAQ.US,D,20260409,000000,9.85,9.85,9.85,9.85,115,0
CAQ.US,D,20260410,000000,9.85,9.85,9.85,9.85,141,0
CAQ.US,D,20260413,000000,9.85,9.85,9.85,9.85,102,0
CAQ.US,D,20260414,000000,9.85,9.86,9.83,9.85,1909,0
CAQ.US,D,20260415,000000,9.83,9.83,9.83,9.83,205,0
CAQ.US,D,20260416,000000,9.85,9.85,9.84,9.85,1169,0
CAQ.US,D,20260417,000000,9.86,9.86,9.85,9.85,702,0
CAQ.US,D,20260420,000000,9.85,9.9,9.85,9.9,259,0
CAQ.US,D,20260421,000000,9.85,9.86,9.85,9.86,92098,0
CAQ.US,D,20260422,000000,9.9,9.9,9.9,9.9,106,0
CAQ.US,D,20260423,000000,9.87,9.9,9.87,9.87,1000,0
CAQ.US,D,20260424,000000,9.9,9.9,9.9,9.9,737,0
CAQ.US,D,20260427,000000,9.87,9.87,9.87,9.87,1159,0
CAQ.US,D,20260429,000000,9.91,9.91,9.91,9.91,226,0
CAQ.US,D,20260501,000000,9.8601,9.8601,9.8601,9.8601,208,0
CAQ.US,D,20260504,000000,9.86,9.86,9.86,9.86,113,0
CAQ.US,D,20260505,000000,9.86,9.86,9.86,9.86,50007,0
CAQ.US,D,20260511,000000,9.86,9.86,9.855,9.86,19464,0
CAQ.US,D,20260520,000000,9.86,9.86,9.86,9.86,491,0
CAQ.US,D,20260522,000000,9.85,9.86,9.85,9.85,60132,0
CAQ.US,D,20260526,000000,9.86,9.88,9.86,9.88,8822,0
CAQ.US,D,20260527,000000,9.88,9.88,9.88,9.88,169,0
CAQ.US,D,20260528,000000,9.88,9.88,9.88,9.88,156,0
CAQ.US,D,20260529,000000,9.87,9.9,9.87,9.9,13616,0
CAQ.US,D,20260601,000000,9.9,9.94,9.89,9.89,4774,0
CAQ.US,D,20260602,000000,9.99,9.99,9.9,9.9,717,0
CAQ.US,D,20260603,000000,9.9,9.9,9.9,9.9,247,0
CAQ.US,D,20260604,000000,9.9,9.9,9.9,9.9,278,0
CAQ.US,D,20260605,000000,9.9,9.9,9.9,9.9,237,0
CAQ.US,D,20260609,000000,9.89,9.89,9.89,9.89,102,0
CAQ.US,D,20260610,000000,9.89,9.8901,9.89,9.89,1408,0
CAQ.US,D,20260622,000000,9.9,9.91,9.9,9.91,11003,0
CAQ.US,D,20260624,000000,9.9,9.9,9.9,9.9,1172,0
