<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAQUW.US,D,20260401,000000,0.27,0.27,0.27,0.27,401,0
CAQUW.US,D,20260402,000000,0.3,0.3,0.2588,0.2676,1600,0
CAQUW.US,D,20260406,000000,0.25,0.25,0.24,0.24,119633,0
CAQUW.US,D,20260409,000000,0.25,0.275,0.25,0.275,1233,0
CAQUW.US,D,20260416,000000,0.275,0.275,0.275,0.275,7500,0
CAQUW.US,D,20260417,000000,0.3,0.3,0.3,0.3,22000,0
CAQUW.US,D,20260429,000000,0.28,0.28,0.28,0.28,17600,0
CAQUW.US,D,20260508,000000,0.28,0.28,0.28,0.28,7500,0
CAQUW.US,D,20260511,000000,0.28,0.28,0.28,0.28,110,0
CAQUW.US,D,20260512,000000,0.28,0.28,0.28,0.28,100,0
CAQUW.US,D,20260518,000000,0.2701,0.28,0.27,0.27,29140,0
CAQUW.US,D,20260519,000000,0.28,0.28,0.2705,0.2799,25800,0
CAQUW.US,D,20260520,000000,0.28,0.28,0.28,0.28,163,0
CAQUW.US,D,20260521,000000,0.28,0.28,0.28,0.28,5000,0
CAQUW.US,D,20260526,000000,0.28,0.28,0.28,0.28,100,0
CAQUW.US,D,20260527,000000,0.28,0.28,0.2799,0.2799,50100,0
CAQUW.US,D,20260528,000000,0.28,0.28,0.27999,0.28,1300,0
CAQUW.US,D,20260529,000000,0.28,0.28,0.2599,0.2599,18887,0
CAQUW.US,D,20260601,000000,0.28,0.3,0.28,0.3,74175,0
CAQUW.US,D,20260609,000000,0.295,0.3001,0.295,0.3001,22849,0
CAQUW.US,D,20260611,000000,0.32,0.32,0.32,0.32,7700,0
CAQUW.US,D,20260623,000000,0.32,0.32,0.32,0.32,21417,0
