<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBC.US,D,20251120,000000,22.06,23.42,21.99,22.97,6533251,0
CBC.US,D,20251121,000000,22.8,24.47,22.55,23.57,1083352,0
CBC.US,D,20251124,000000,23.68,24.68,23.2,24.43,418777,0
CBC.US,D,20251125,000000,24.21,25,23.36,24.16,410100,0
CBC.US,D,20251126,000000,24.22,24.5,23,23.5,438466,0
CBC.US,D,20251128,000000,23.53,23.99,23.01,23.56,64104,0
CBC.US,D,20251201,000000,23.6,24,23.07,23.34,523136,0
CBC.US,D,20251202,000000,23.92,23.92,22.8,23.015,224167,0
CBC.US,D,20251203,000000,23.01,24.125,23.01,23.71,250764,0
CBC.US,D,20251204,000000,23.81,23.9,23.12,23.75,131577,0
CBC.US,D,20251205,000000,23.75,23.9,22.86,23.25,107007,0
CBC.US,D,20251208,000000,23.5,23.9,22.75,23.58,297143,0
CBC.US,D,20251209,000000,23.6,23.75,22.9001,23.43,272408,0
CBC.US,D,20251210,000000,23.41,23.695,22.8,23.16,539792,0
CBC.US,D,20251211,000000,23.09,23.375,22.5,23.12,126334,0
CBC.US,D,20251212,000000,23.31,23.39,22.81,23.03,111952,0
CBC.US,D,20251215,000000,23.1,23.5,22.564,22.85,417033,0
CBC.US,D,20251216,000000,22.81,23.385,22.75,23.14,312846,0
CBC.US,D,20251217,000000,23.23,23.43,22.875,23.31,185598,0
CBC.US,D,20251218,000000,23.32,23.49,22.75,23.37,239842,0
CBC.US,D,20251219,000000,23.4,23.9,23.01,23.4,362970,0
CBC.US,D,20251222,000000,23.35,24.25,23.25,23.78,322820,0
CBC.US,D,20251223,000000,23.8,24.875,23.45,24.28,271809,0
CBC.US,D,20251224,000000,24.37,24.72,23.8,24,89749,0
CBC.US,D,20251226,000000,24.11,24.26,23.3,23.72,174001,0
CBC.US,D,20251229,000000,23.91,24.045,23.005,23.28,265271,0
CBC.US,D,20251230,000000,23.24,24.43,23.01,23.86,510327,0
CBC.US,D,20251231,000000,23.71,24.49,23.44,24.12,501070,0
CBC.US,D,20260102,000000,23.98,24.22,23.565,23.85,490383,0
CBC.US,D,20260105,000000,23.85,24.49,23.3501,23.83,964030,0
CBC.US,D,20260106,000000,23.76,24.5,23.76,24.24,217926,0
CBC.US,D,20260107,000000,24.35,24.497,23.785,23.98,135906,0
CBC.US,D,20260108,000000,23.96,24.415,23.9,24.04,82349,0
CBC.US,D,20260109,000000,24.05,24.27,23.81,24.05,188694,0
CBC.US,D,20260112,000000,23.98,24.2,23.66,23.67,67819,0
CBC.US,D,20260113,000000,24,24.2,23.67,24.02,74752,0
CBC.US,D,20260114,000000,24.14,24.39,23.825,24.18,56351,0
CBC.US,D,20260115,000000,24.4,24.4,23.945,24.13,82538,0
CBC.US,D,20260116,000000,23.98,24.21,23.815,23.89,94015,0
CBC.US,D,20260120,000000,23.7,24.09,23.65,23.86,119610,0
CBC.US,D,20260121,000000,24.13,24.83,23.745,24.69,218784,0
CBC.US,D,20260122,000000,24.54,25.205,24.54,25.03,184716,0
CBC.US,D,20260123,000000,24.86,25.425,24.2,24.26,135787,0
CBC.US,D,20260126,000000,24.38,24.7561,24.05,24.58,346653,0
CBC.US,D,20260127,000000,24.74,25.33,24.18,24.5,156294,0
CBC.US,D,20260128,000000,24.9,25.13,24.001,24.06,86206,0
CBC.US,D,20260129,000000,24.18,24.39,23.87,23.95,162028,0
CBC.US,D,20260130,000000,23.96,24.17,23.65,24.1,192850,0
CBC.US,D,20260202,000000,24.16,25.309,23.6,24.9,351108,0
CBC.US,D,20260203,000000,25,25.15,24.12,24.5,220927,0
CBC.US,D,20260204,000000,24.72,24.86,24.26,24.52,236721,0
CBC.US,D,20260205,000000,24.49,24.615,23.65,23.92,109455,0
CBC.US,D,20260206,000000,23.92,24.67,23.92,24.25,248710,0
CBC.US,D,20260209,000000,24.3,24.9894,24.15,24.5,279122,0
CBC.US,D,20260210,000000,24.61,24.83,24.23,24.61,150040,0
CBC.US,D,20260211,000000,24.6,24.67,23.88,24,173064,0
CBC.US,D,20260212,000000,24.02,24.46,23.55,24.07,210464,0
CBC.US,D,20260213,000000,24.07,24.9,23.82,24.515,207543,0
CBC.US,D,20260217,000000,24.52,24.82,24.38,24.63,94199,0
CBC.US,D,20260218,000000,24.71,25.5,24.52,25.17,311884,0
CBC.US,D,20260219,000000,25.07,25.5,24.86,25.11,373106,0
CBC.US,D,20260220,000000,24.99,25.26,24.635,25.19,404076,0
CBC.US,D,20260223,000000,25.2,25.2,24.23,24.31,163000,0
CBC.US,D,20260224,000000,24.29,24.76,24.06,24.15,237300,0
CBC.US,D,20260225,000000,24.28,24.825,24.24,24.27,360200,0
CBC.US,D,20260226,000000,24.3,24.7,24.105,24.53,367789,0
CBC.US,D,20260227,000000,24.32,24.56,23.71,24.15,396335,0
CBC.US,D,20260302,000000,24.05,24.6,23.95,24.38,402567,0
CBC.US,D,20260303,000000,24.08,24.465,23.67,24.37,245721,0
CBC.US,D,20260304,000000,24.26,24.8,24.25,24.6,296122,0
CBC.US,D,20260305,000000,24.6,24.67,23.96,24.23,307163,0
CBC.US,D,20260306,000000,24.12,24.25,23.405,24.06,422779,0
CBC.US,D,20260309,000000,24.05,24.27,23.5,24.21,579078,0
CBC.US,D,20260310,000000,24.23,24.78,23.885,24.46,521279,0
CBC.US,D,20260311,000000,24.46,24.63,24.12,24.47,430973,0
CBC.US,D,20260312,000000,24.17,24.275,23.905,24.1,570244,0
CBC.US,D,20260313,000000,24.11,24.49,23.82,23.95,657745,0
CBC.US,D,20260316,000000,24.05,24.495,23.9,24.04,487477,0
CBC.US,D,20260317,000000,24.2,24.485,23.81,23.96,907743,0
CBC.US,D,20260318,000000,23.93,24.405,23.66,23.79,619879,0
CBC.US,D,20260319,000000,23.65,24.24,23.65,23.74,654934,0
CBC.US,D,20260320,000000,23.56,23.89,23.325,23.41,3977165,0
CBC.US,D,20260323,000000,23.7,23.85,23.45,23.46,1175882,0
CBC.US,D,20260324,000000,23.26,23.82,23.26,23.79,647430,0
CBC.US,D,20260325,000000,23.9,23.9,23.55,23.72,457439,0
CBC.US,D,20260326,000000,23.56,23.94,23.56,23.93,590405,0
CBC.US,D,20260327,000000,23.97,23.97,23.6,23.75,586385,0
CBC.US,D,20260330,000000,23.76,23.95,23.5,23.68,811935,0
CBC.US,D,20260331,000000,23.82,24.14,23.695,23.95,920679,0
CBC.US,D,20260401,000000,23.96,24.905,23.955,24.55,1084994,0
CBC.US,D,20260402,000000,24.19,24.74,23.86,24.09,561773,0
CBC.US,D,20260406,000000,24.05,24.44,23.9,24.22,611161,0
CBC.US,D,20260407,000000,24.21,24.4,23.9,24.21,862021,0
CBC.US,D,20260408,000000,24.51,24.895,24.26,24.84,802206,0
CBC.US,D,20260409,000000,24.77,25.515,24.63,25.09,795122,0
CBC.US,D,20260410,000000,25.06,25.06,24.63,24.7,462942,0
CBC.US,D,20260413,000000,24.61,24.78,24.37,24.72,988780,0
CBC.US,D,20260414,000000,24.7,24.73,24.33,24.51,712370,0
CBC.US,D,20260415,000000,24.51,25.06,24.3,24.94,833980,0
CBC.US,D,20260416,000000,24.88,25.42,24.69,25.18,610348,0
CBC.US,D,20260417,000000,25.48,26.25,25.2675,25.6,775123,0
CBC.US,D,20260420,000000,25.53,25.81,25.335,25.52,541710,0
CBC.US,D,20260421,000000,25.53,25.7499,25.25,25.56,499335,0
CBC.US,D,20260422,000000,25.56,25.705,25.37,25.66,727229,0
CBC.US,D,20260423,000000,25.66,25.84,25.41,25.63,407137,0
CBC.US,D,20260424,000000,25.64,26.02,25.12,25.94,614776,0
CBC.US,D,20260427,000000,25.94,26.5,25.21,26.41,927353,0
CBC.US,D,20260428,000000,26.45,26.76,25.54,25.89,956868,0
CBC.US,D,20260429,000000,26.05,26.5,25.79,26.19,668799,0
CBC.US,D,20260430,000000,26.86,27.24,26.11,27.02,809114,0
CBC.US,D,20260501,000000,27.12,27.35,26.9,27.09,556098,0
CBC.US,D,20260504,000000,27.18,27.4,26.83,27.01,545468,0
CBC.US,D,20260505,000000,27.01,27.5,26.925,27.39,436814,0
CBC.US,D,20260506,000000,27.44,27.62,27.1,27.29,369444,0
CBC.US,D,20260507,000000,27.29,27.53,27.15,27.37,338294,0
CBC.US,D,20260508,000000,27.37,27.42,27.05,27.27,337545,0
CBC.US,D,20260511,000000,27.16,27.81,27.16,27.31,1191829,0
CBC.US,D,20260512,000000,27.31,27.34,26.89,27.22,292081,0
CBC.US,D,20260513,000000,27.22,27.305,26.825,27.2,350347,0
CBC.US,D,20260514,000000,27.25,27.625,26.86,26.87,376277,0
CBC.US,D,20260515,000000,26.77,26.97,26.42,26.6,539906,0
CBC.US,D,20260518,000000,26.6,27.47,26.6,27.45,559614,0
CBC.US,D,20260519,000000,27.33,27.92,27.07,27.59,904470,0
CBC.US,D,20260520,000000,27.59,28.32,27.555,28.24,715410,0
CBC.US,D,20260521,000000,28.2,28.59,27.849,28.53,965641,0
CBC.US,D,20260522,000000,28.44,28.75,28.345,28.45,543276,0
CBC.US,D,20260526,000000,28.72,29.07,28.71,28.91,778189,0
CBC.US,D,20260527,000000,28.86,29.02,28.435,28.46,672669,0
CBC.US,D,20260528,000000,28.46,28.46,28.02,28.19,741129,0
CBC.US,D,20260529,000000,28.15,28.455,27.855,28.4,1043433,0
CBC.US,D,20260601,000000,28.07,28.49,27.84,27.86,687278,0
CBC.US,D,20260602,000000,27.77,28.41,27.725,28.4,405840,0
CBC.US,D,20260603,000000,28.34,28.34,27.06,27.08,749909,0
CBC.US,D,20260604,000000,27.21,28.18,27.05,28.08,449020,0
CBC.US,D,20260605,000000,28.01,28.79,27.97,28.51,1001513,0
CBC.US,D,20260608,000000,28.6,28.9,28.19,28.22,719851,0
CBC.US,D,20260609,000000,28.27,28.72,28.06,28.59,680545,0
CBC.US,D,20260610,000000,28.8,29.135,28.625,29.08,537662,0
CBC.US,D,20260611,000000,29.08,29.26,28.62,28.71,874356,0
CBC.US,D,20260612,000000,28.82,28.93,28.5,28.79,779837,0
