<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBRS.US,D,20260514,000000,350,386.34,300,311.07,33497870,0
CBRS.US,D,20260515,000000,298.49,306.7799,275,279.72,17119206,0
CBRS.US,D,20260518,000000,291.55,303.66,272.24,296.65,10158354,0
CBRS.US,D,20260519,000000,292.17,333.99,286.15,303.63,10379536,0
CBRS.US,D,20260520,000000,317.525,338.325,284.25,290.69,12851706,0
CBRS.US,D,20260521,000000,293.7,294,275.42,281.86,5448110,0
CBRS.US,D,20260522,000000,285,285,250.27,256.78,11783761,0
CBRS.US,D,20260526,000000,260,262.29,236.1,241.71,8180275,0
CBRS.US,D,20260527,000000,243.86,269.39,243.03,266.9,6522988,0
CBRS.US,D,20260528,000000,260.95,268.78,241.53,242.59,5692279,0
CBRS.US,D,20260529,000000,247.12,251.35,232.5601,236.99,4350231,0
CBRS.US,D,20260601,000000,231.875,232.37,212.6,213.28,5823744,0
CBRS.US,D,20260602,000000,220.05,241.69,217,236.52,5236620,0
CBRS.US,D,20260603,000000,230.06,230.06,213.25,214.94,3827749,0
CBRS.US,D,20260604,000000,212.25,219.78,205.4661,215.4,4137175,0
CBRS.US,D,20260605,000000,208.68,222.78,196.73,201.01,4393433,0
CBRS.US,D,20260608,000000,212.6,249.76,204.13,237.83,8691315,0
CBRS.US,D,20260609,000000,244.505,244.505,215.01,226.815,5707415,0
CBRS.US,D,20260610,000000,226.65,253.52,226.15,237.33,5373544,0
CBRS.US,D,20260611,000000,238.98,241,220.5,226.55,3908461,0
CBRS.US,D,20260612,000000,230.29,230.3733,208,214,4739947,0
CBRS.US,D,20260615,000000,224.3,224.8027,211,218.03,5061534,0
CBRS.US,D,20260616,000000,218.5,218.5,202.2801,212.25,5006534,0
CBRS.US,D,20260617,000000,213.925,230.99,209.84,213.67,4927808,0
CBRS.US,D,20260618,000000,220,245.24,215.2,234.71,7196608,0
CBRS.US,D,20260622,000000,237.83,241.68,224,224.43,4738735,0
CBRS.US,D,20260623,000000,213.75,237,210,226.72,8337404,0
CBRS.US,D,20260624,000000,208,209.99,181.56,182.41,21150612,0
