<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCHH.US,D,20251003,000000,5.32,8.25,4.08,4.44,4208425,0
CCHH.US,D,20251006,000000,4.17,4.17,3.68,3.72,441102,0
CCHH.US,D,20251007,000000,3.6907,5,3.49,4.13,568632,0
CCHH.US,D,20251008,000000,4.19,4.2999,4.05,4.1,64928,0
CCHH.US,D,20251009,000000,4.16,4.4599,4.1254,4.19,267394,0
CCHH.US,D,20251010,000000,4.38,5.5,4.27,5.39,676436,0
CCHH.US,D,20251013,000000,5.04,5.345,4.4,4.49,109714,0
CCHH.US,D,20251014,000000,4.29,4.8,4.1201,4.55,58364,0
CCHH.US,D,20251015,000000,4.4,4.7,4.4,4.59,29593,0
CCHH.US,D,20251016,000000,4.7,4.8,4.33,4.77,79688,0
CCHH.US,D,20251017,000000,4.6,5,4.25,4.91,993206,0
CCHH.US,D,20251020,000000,4.91,5.3001,4.36,4.605,90944,0
CCHH.US,D,20251021,000000,4.57,4.7,4.27,4.39,121429,0
CCHH.US,D,20251022,000000,4.61,4.67,4.4,4.62,51720,0
CCHH.US,D,20251023,000000,4.65,4.65,4.43,4.5,28617,0
CCHH.US,D,20251024,000000,4.35,4.85,4.35,4.44,804124,0
CCHH.US,D,20251027,000000,4.5017,4.615,4.2,4.3,42880,0
CCHH.US,D,20251028,000000,4.4,4.7,4.25,4.54,828152,0
CCHH.US,D,20251029,000000,4.49,4.59,4.36,4.48,547517,0
CCHH.US,D,20251030,000000,4.4,4.82,4.4,4.63,209734,0
CCHH.US,D,20251031,000000,4.71,4.9899,4.63,4.73,129432,0
CCHH.US,D,20251103,000000,4.79,4.8325,4.61,4.62,44489,0
CCHH.US,D,20251104,000000,4.55,4.6996,4.43,4.46,131270,0
CCHH.US,D,20251105,000000,4.47,4.7659,4.46,4.58,38047,0
CCHH.US,D,20251106,000000,4.64,4.69,4.49,4.58,39855,0
CCHH.US,D,20251107,000000,4.55,4.715,4.5,4.7,111677,0
CCHH.US,D,20251110,000000,4.66,4.7,4.59,4.69,53007,0
CCHH.US,D,20251111,000000,4.54,4.67,4.52,4.63,44216,0
CCHH.US,D,20251112,000000,4.77,5.5,4.72,5.2,1133081,0
CCHH.US,D,20251113,000000,5.23,5.7999,5.1,5.74,957765,0
CCHH.US,D,20251114,000000,5.7,5.98,5.5,5.87,1019130,0
CCHH.US,D,20251117,000000,5.81,6.06,5.66,5.76,171796,0
CCHH.US,D,20251118,000000,5.75,6.11,5.16,6.01,2126601,0
CCHH.US,D,20251119,000000,6,7.56,5.75,6.08,3135720,0
CCHH.US,D,20251120,000000,5.93,8.21,5.4,7.75,802142,0
CCHH.US,D,20251121,000000,7.76,10.52,7.75,9.76,378128,0
CCHH.US,D,20251124,000000,9.83,10.95,6.13,9.39,255292,0
CCHH.US,D,20251125,000000,8.91,9.7,8.8,9.53,354344,0
CCHH.US,D,20251126,000000,9.11,10.3,9,9.9,1637895,0
CCHH.US,D,20251128,000000,9.9,10.8,9.8,10.55,152958,0
CCHH.US,D,20251201,000000,10.06,10.41,9.36,9.99,1345069,0
CCHH.US,D,20251202,000000,9.39,10.8,9.39,10.38,144635,0
CCHH.US,D,20251203,000000,10.05,10.6772,10.02,10.47,572874,0
CCHH.US,D,20251204,000000,10.29,10.7,10.0136,10.48,125319,0
CCHH.US,D,20251205,000000,10.26,12.26,10.26,11.47,124280,0
CCHH.US,D,20251208,000000,12.16,13.53,11.5101,13.04,188361,0
CCHH.US,D,20251209,000000,13.22,14.55,12.8,14.55,163037,0
CCHH.US,D,20251210,000000,14.38,14.65,13.62,13.99,830805,0
CCHH.US,D,20251211,000000,14.24,15.39,14,15.12,6151002,0
CCHH.US,D,20251212,000000,14.78,15.15,1.6,2.65,6873313,0
CCHH.US,D,20251215,000000,1.66,1.67,0.77,1.02,6162386,0
CCHH.US,D,20251216,000000,0.939,0.939,0.6504,0.7199,2442062,0
CCHH.US,D,20251217,000000,0.68,1.06,0.65,0.6848,4890126,0
CCHH.US,D,20251218,000000,0.7,0.7487,0.5342,0.613,1227430,0
CCHH.US,D,20251219,000000,0.6068,0.635,0.59,0.6101,473004,0
CCHH.US,D,20251222,000000,0.6,0.6005,0.53,0.5403,625071,0
CCHH.US,D,20251223,000000,0.5,0.535,0.5,0.5299,316793,0
CCHH.US,D,20251224,000000,0.5,0.53,0.5,0.53,161915,0
CCHH.US,D,20251226,000000,0.5,0.5225,0.5,0.5068,265081,0
CCHH.US,D,20251229,000000,0.493,0.6847,0.4888,0.5301,6947003,0
CCHH.US,D,20251230,000000,0.535,0.584501,0.515,0.58,659971,0
CCHH.US,D,20251231,000000,0.58,0.58,0.5101,0.5118,384503,0
CCHH.US,D,20260102,000000,0.52,0.612,0.52,0.58,684341,0
CCHH.US,D,20260105,000000,0.58,0.5975,0.52,0.559,647722,0
CCHH.US,D,20260106,000000,0.55,0.569,0.521,0.56,279543,0
CCHH.US,D,20260107,000000,0.55,0.575,0.531,0.5328,181251,0
CCHH.US,D,20260108,000000,0.52,0.5444,0.505,0.506,360464,0
CCHH.US,D,20260109,000000,0.5013,0.5298,0.5011,0.505,262250,0
CCHH.US,D,20260112,000000,0.51,0.5199,0.49,0.4918,311710,0
CCHH.US,D,20260113,000000,0.4928,0.5,0.465,0.465,239598,0
CCHH.US,D,20260114,000000,0.4589,0.4834,0.42,0.42,289601,0
CCHH.US,D,20260115,000000,0.413,0.457999,0.413,0.4382,286018,0
CCHH.US,D,20260116,000000,0.46,0.47,0.44,0.446,3588210,0
CCHH.US,D,20260120,000000,0.67165,0.85,0.56,0.5729,80408143,0
CCHH.US,D,20260121,000000,0.61,0.699,0.5701,0.6105,4186363,0
CCHH.US,D,20260122,000000,0.6048,0.6637,0.5941,0.6031,1278556,0
