<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCXIU.US,D,20251217,000000,10.2,10.24,10.2,10.21,7134142,0
CCXIU.US,D,20251218,000000,10.21,10.5076,10.2,10.22,986828,0
CCXIU.US,D,20251219,000000,10.24,10.2585,10.22,10.22,119342,0
CCXIU.US,D,20251222,000000,10.29,10.31,10.23,10.23,252210,0
CCXIU.US,D,20251223,000000,10.28,10.28,10.185,10.2,144011,0
CCXIU.US,D,20251224,000000,10.25,10.25,10.22,10.25,24686,0
CCXIU.US,D,20251226,000000,10.2,10.2594,10.2,10.24,87884,0
CCXIU.US,D,20251229,000000,10.29,10.29,10.25,10.25,14994,0
CCXIU.US,D,20251230,000000,10.245,10.25,10.22,10.25,27593,0
CCXIU.US,D,20251231,000000,10.25,10.25,10.21,10.21,10881,0
CCXIU.US,D,20260102,000000,10.29,10.35,10.24,10.28,99878,0
CCXIU.US,D,20260105,000000,10.39,10.39,10.28,10.28,21114,0
CCXIU.US,D,20260106,000000,10.32,10.32,10.23,10.27,563346,0
CCXIU.US,D,20260107,000000,10.28,10.37,10.28,10.305,9107,0
CCXIU.US,D,20260108,000000,10.32,10.337,10.28,10.29,9866,0
CCXIU.US,D,20260109,000000,10.3625,10.3625,10.29,10.32,2470,0
CCXIU.US,D,20260112,000000,10.344,10.344,10.28,10.29,72094,0
CCXIU.US,D,20260113,000000,10.2999,10.2999,10.25,10.27,2059,0
CCXIU.US,D,20260114,000000,10.28,10.2805,10.24,10.24,192278,0
CCXIU.US,D,20260115,000000,10.3699,10.3699,10.265,10.27,103226,0
CCXIU.US,D,20260116,000000,10.38,10.38,10.3,10.31,452621,0
CCXIU.US,D,20260120,000000,10.31,10.3408,10.3,10.3,38803,0
CCXIU.US,D,20260121,000000,10.3319,10.37,10.3,10.34,9201,0
CCXIU.US,D,20260122,000000,10.3,10.39,10.3,10.32,251362,0
CCXIU.US,D,20260123,000000,10.35,10.39,10.28,10.31,225961,0
CCXIU.US,D,20260126,000000,10.3268,10.33,10.3,10.3,108785,0
CCXIU.US,D,20260127,000000,10.28,10.33,10.28,10.33,50858,0
CCXIU.US,D,20260128,000000,10.34,10.345,10.325,10.34,68860,0
CCXIU.US,D,20260129,000000,10.325,10.33,10.315,10.32,51813,0
CCXIU.US,D,20260130,000000,10.4,10.4,10.3,10.3,18354,0
CCXIU.US,D,20260202,000000,10.4,10.4,10.25,10.26,233506,0
CCXIU.US,D,20260203,000000,10.21,10.38,10.21,10.32,4148,0
CCXIU.US,D,20260204,000000,10.32,10.32,10.26,10.3,4478,0
CCXIU.US,D,20260205,000000,10.39,10.39,10.26,10.27,7589,0
CCXIU.US,D,20260206,000000,10.35,10.4,10.26,10.39,90650,0
CCXIU.US,D,20260209,000000,10.35,10.36,10.295,10.36,49829,0
CCXIU.US,D,20260210,000000,10.38,10.38,10.2962,10.31,15572,0
CCXIU.US,D,20260211,000000,10.31,10.32,10.29,10.29,3401,0
CCXIU.US,D,20260212,000000,10.28,10.28,10.28,10.28,8792,0
CCXIU.US,D,20260213,000000,10.29,10.3,10.2,10.3,3519,0
CCXIU.US,D,20260217,000000,10.3,10.3,10.3,10.3,1246,0
CCXIU.US,D,20260218,000000,10.45,10.45,10.22,10.27,41960,0
CCXIU.US,D,20260219,000000,10.3411,10.3411,10.23,10.23,1846,0
CCXIU.US,D,20260220,000000,10.35,10.35,10.24,10.24,1132,0
CCXIU.US,D,20260223,000000,10.36,10.45,10.24,10.29,7900,0
CCXIU.US,D,20260225,000000,10.21,10.24,10.21,10.24,1206,0
CCXIU.US,D,20260226,000000,10.245,10.245,10.185,10.185,5178,0
CCXIU.US,D,20260227,000000,10.285,10.29,10.22,10.22,4508,0
CCXIU.US,D,20260302,000000,10.36,10.36,10.36,10.36,227,0
CCXIU.US,D,20260303,000000,10.21,10.25,10.19,10.24,32594,0
