<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIIT.US,D,20250410,000000,23.1,24.29,16.1,18.2,45156.4285849755,0
CIIT.US,D,20250411,000000,18.83,20.93,17.85,19.25,31160.285723633802,0
CIIT.US,D,20250414,000000,19.32,22.05,18.97,21.161,18360.285719793803,0
CIIT.US,D,20250415,000000,21,21,18.2,19.53,12188.2857179422,0
CIIT.US,D,20250416,000000,18.8524,19.95,18.8524,19.4593,2508.7142864669004,0
CIIT.US,D,20250417,000000,19.32,19.88,15.575,19.46,15632.5714332612,0
CIIT.US,D,20250421,000000,20.23,20.23,16.73,19.145,38988.571440268,0
CIIT.US,D,20250422,000000,20.3,20.3,17.85,19.25,8155.1428595894,0
CIIT.US,D,20250423,000000,18.97,19.88,17.6407,19.88,26692.1428651505,0
CIIT.US,D,20250424,000000,20.1936,20.23,19.11,20.16,2761.8571436857,0
CIIT.US,D,20250425,000000,19.95,20.09,18.2,19.2507,7398.285716505201,0
CIIT.US,D,20250428,000000,18.13,19.25,16.87,18.9273,3173.4285723806,0
CIIT.US,D,20250429,000000,17.99,19.88,17.36,18.83,1793.2857148237001,0
CIIT.US,D,20250430,000000,18.62,18.83,16.66,18.1993,18875.2857199483,0
CIIT.US,D,20250501,000000,17.64,20.496,15.96,16.73,30655.4285806252,0
CIIT.US,D,20250502,000000,18.27,18.27,14.77,17.5,24678.142864546302,0
CIIT.US,D,20250505,000000,16.87,18.13,15.12,17.0793,21858.285720843203,0
CIIT.US,D,20250506,000000,16.66,18.13,13.405,18.13,24935.428578909203,0
CIIT.US,D,20250507,000000,16.66,19.32,15.75,16.94,64275.0000192825,0
CIIT.US,D,20250508,000000,17.5686,17.99,15.575,17.99,8968.1428598333,0
CIIT.US,D,20250509,000000,16.45,16.45,14,15.4,23350.571435576603,0
CIIT.US,D,20250512,000000,14.49,15.4,13.86,14.91,31763.857152386303,0
CIIT.US,D,20250513,000000,15.4,15.47,13.58,13.58,2322.0000006966,0
CIIT.US,D,20250514,000000,13.65,16.1,13.65,15.54,3016.0000009048003,0
CIIT.US,D,20250515,000000,15.75,15.75,14.35,15.05,5430.4285730577,0
CIIT.US,D,20250516,000000,14.07,15.3993,13.93,14.56,1452.7142861501002,0
