<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSAI.US,D,20250130,000000,50,50,33.75,33.75,19136,0
CSAI.US,D,20250131,000000,36,36,22,25.41,17368,0
CSAI.US,D,20250203,000000,25,28.82,16.63,19,21656,0
CSAI.US,D,20250204,000000,17.3319,18.8293,12.23,12.98,57028,0
CSAI.US,D,20250205,000000,13.91,13.91,7.58,8.29,250667,0
CSAI.US,D,20250206,000000,7.8,8.125,6.9,6.97,126812,0
CSAI.US,D,20250207,000000,6.6,6.6,5.1,5.39,258649,0
CSAI.US,D,20250210,000000,5.78,14.9,5.3,12.34,10246539,0
CSAI.US,D,20250211,000000,10.09,16.23,9.02,12.9,2430924,0
CSAI.US,D,20250212,000000,12.13,19.7612,12.13,17.63,1856115,0
CSAI.US,D,20250213,000000,18.14,52.43,17.7,37.68,3421647,0
CSAI.US,D,20250214,000000,33.111,33.53,18.3744,19.05,1033775,0
CSAI.US,D,20250218,000000,21.8,25.73,10.03,10.5,2088929,0
CSAI.US,D,20250219,000000,10.79,12.93,10.1937,11.62,1732606,0
CSAI.US,D,20250220,000000,11.4,13.42,10.5,11.85,930648,0
CSAI.US,D,20250221,000000,12.12,12.89,10.25,10.66,526874,0
CSAI.US,D,20250224,000000,10.38,11.05,7.95,8.54,543116,0
CSAI.US,D,20250225,000000,7.78,9.39,7.53,8.24,630626,0
CSAI.US,D,20250226,000000,9,9.38,7.66,8.44,773249,0
CSAI.US,D,20250227,000000,8.29,8.7,7.25,7.63,350984,0
CSAI.US,D,20250228,000000,7.53,7.62,6.71,7.37,360952,0
CSAI.US,D,20250303,000000,7.3,7.6,6.4,6.71,346969,0
CSAI.US,D,20250304,000000,6.5,8.1287,6.03,8.06,455170,0
CSAI.US,D,20250305,000000,7.97,8.3407,7.0322,7.26,330287,0
CSAI.US,D,20250306,000000,7.01,7.3499,6.1501,6.24,253107,0
CSAI.US,D,20250307,000000,6.13,7.07,6,6.68,459821,0
CSAI.US,D,20250310,000000,6.3,6.45,5.15,5.25,400672,0
CSAI.US,D,20250311,000000,5.12,5.6599,4.76,5.05,313727,0
CSAI.US,D,20250312,000000,5.13,5.5778,4.53,4.9,370287,0
CSAI.US,D,20250313,000000,4.93,5.249,4.45,4.46,230853,0
CSAI.US,D,20250314,000000,4.51,5.2399,4.2233,5.1,412115,0
