<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CWY.US,D,20260414,000000,25.24,25.335,25.24,25.335,393,0
CWY.US,D,20260416,000000,25.555,25.61,25.43,25.5852,6662,0
CWY.US,D,20260417,000000,25.26,25.26,25.03,25.105,5506,0
CWY.US,D,20260420,000000,25,25.41,25,25.365,997,0
CWY.US,D,20260421,000000,25.29,25.2901,25.145,25.1456,3875,0
CWY.US,D,20260422,000000,25.42,25.64,25.42,25.595,3823,0
CWY.US,D,20260423,000000,25.53,25.64,25.28,25.28,3182,0
CWY.US,D,20260424,000000,24.97,24.97,24.1976,24.1976,5197,0
CWY.US,D,20260427,000000,24.01,24.01,23.8099,23.8099,2253,0
CWY.US,D,20260428,000000,23.53,23.53,23.345,23.37,1101,0
CWY.US,D,20260429,000000,23.805,23.805,23.71,23.7972,1090,0
CWY.US,D,20260430,000000,23.96,23.96,23.73,23.755,2282,0
CWY.US,D,20260501,000000,23.47,23.78,23.4,23.77,1590,0
CWY.US,D,20260504,000000,24.08,24.18,24.08,24.135,1830,0
CWY.US,D,20260505,000000,24.115,24.29,24.115,24.2001,1129,0
CWY.US,D,20260506,000000,24.555,24.56,24.555,24.56,714,0
CWY.US,D,20260507,000000,24.46,24.46,24.15,24.2677,7211,0
CWY.US,D,20260508,000000,23.29,23.29,22.76,22.85,10516,0
CWY.US,D,20260511,000000,22.7101,22.92,22.7101,22.785,2499,0
CWY.US,D,20260512,000000,22.41,22.42,22.41,22.42,1456,0
CWY.US,D,20260513,000000,22.485,22.59,22.425,22.59,1206,0
CWY.US,D,20260514,000000,22.63,22.92,22.52,22.795,4982,0
CWY.US,D,20260515,000000,22.05,22.05,21.9463,21.9463,2087,0
CWY.US,D,20260518,000000,21.61,21.6797,21.61,21.615,1735,0
CWY.US,D,20260519,000000,21.3,21.3826,21.17,21.3826,1012,0
CWY.US,D,20260520,000000,21.46,21.49,21.46,21.465,3506,0
CWY.US,D,20260521,000000,21.65,21.82,21.65,21.82,3660,0
CWY.US,D,20260522,000000,21.39,21.57,21.37,21.449,2064,0
CWY.US,D,20260526,000000,21.68,21.705,21.63,21.705,1001,0
CWY.US,D,20260527,000000,21.5,21.615,21.48,21.615,1619,0
CWY.US,D,20260528,000000,21.69,21.8499,21.69,21.7843,3015,0
CWY.US,D,20260529,000000,21.45,21.635,21.34,21.635,1965,0
CWY.US,D,20260601,000000,21.8,21.81,21.7501,21.81,1379,0
CWY.US,D,20260602,000000,21.85,21.85,21.63,21.63,505,0
CWY.US,D,20260603,000000,21.4,21.4,21.345,21.345,419,0
CWY.US,D,20260604,000000,21.21,21.37,21.21,21.265,2973,0
CWY.US,D,20260605,000000,20.8899,20.8899,20.865,20.865,707,0
CWY.US,D,20260608,000000,20.87,20.89,20.84,20.84,1384,0
CWY.US,D,20260609,000000,20.6699,20.6699,20.46,20.63,715,0
CWY.US,D,20260610,000000,20.61,20.7399,20.5578,20.5578,660,0
CWY.US,D,20260611,000000,20.405,20.53,20.4,20.53,1597,0
CWY.US,D,20260612,000000,20.415,20.6401,20.415,20.505,1509,0
CWY.US,D,20260615,000000,20.87,20.95,20.87,20.91,1595,0
CWY.US,D,20260616,000000,21.08,21.23,21.08,21.175,4122,0
CWY.US,D,20260617,000000,21.245,21.3,21.185,21.185,2057,0
CWY.US,D,20260618,000000,20.89,20.935,20.89,20.935,1509,0
CWY.US,D,20260622,000000,20.9,21.04,20.86,21.01,2123,0
CWY.US,D,20260623,000000,20.79,20.855,20.76,20.795,1831,0
CWY.US,D,20260624,000000,20.46,20.47,20.46,20.47,777,0
