<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBSC.US,D,20251217,000000,24.71,24.71,24.1247,24.1247,3110,0
DBSC.US,D,20251218,000000,24.38,24.4,24.38,24.4,204,0
DBSC.US,D,20251219,000000,24.74,24.8,24.7316,24.7316,701,0
DBSC.US,D,20251222,000000,24.9512,25.22,24.9512,25.0449,19699,0
DBSC.US,D,20251223,000000,25,25.115,24.96,24.96,4640,0
DBSC.US,D,20251224,000000,24.98,25,24.93,24.96,40100,0
DBSC.US,D,20251226,000000,24.89,24.95,24.89,24.9102,1412,0
DBSC.US,D,20251229,000000,24.84,24.84,24.695,24.7058,6623,0
DBSC.US,D,20251230,000000,24.74,24.74,24.5,24.5,891,0
DBSC.US,D,20260102,000000,24.5756,24.67,24.5756,24.67,2004,0
DBSC.US,D,20260105,000000,25.1,25.26,25.1,25.26,768,0
DBSC.US,D,20260106,000000,25.29,25.585,25.29,25.585,258,0
DBSC.US,D,20260107,000000,25.65,25.65,25.35,25.47,747,0
DBSC.US,D,20260108,000000,25.68,25.68,25.6643,25.6643,508,0
DBSC.US,D,20260109,000000,26,26,25.83,25.89,452,0
DBSC.US,D,20260112,000000,25.86,26.02,25.86,25.975,3706,0
DBSC.US,D,20260113,000000,25.9,25.9,25.83,25.83,517,0
DBSC.US,D,20260114,000000,25.645,25.785,25.645,25.785,480,0
DBSC.US,D,20260116,000000,26.4,26.4,26.2204,26.2204,2901,0
DBSC.US,D,20260120,000000,26.1,26.2,25.87,25.87,15680,0
DBSC.US,D,20260121,000000,26.1598,26.34,25.95,26.29,401,0
DBSC.US,D,20260122,000000,26.57,26.57,26.415,26.415,2093,0
DBSC.US,D,20260123,000000,25.945,26.04,25.9286,25.985,13359,0
DBSC.US,D,20260126,000000,26.04,26.15,26.04,26.09,720,0
DBSC.US,D,20260127,000000,26.09,26.09,25.8284,25.8284,364,0
DBSC.US,D,20260128,000000,26,26,25.7375,25.7375,1897,0
DBSC.US,D,20260129,000000,25.429,25.7685,25.429,25.7685,2698,0
DBSC.US,D,20260202,000000,24.96,25.62,24.96,25.365,11747,0
DBSC.US,D,20260203,000000,25,25.1604,24.8,25.1604,6120,0
DBSC.US,D,20260204,000000,24.98,24.98,24.591,24.75,3040,0
DBSC.US,D,20260205,000000,24.585,24.7,24.45,24.4669,10399,0
DBSC.US,D,20260206,000000,25.12,25.4146,25.12,25.4146,4384,0
DBSC.US,D,20260209,000000,25.78,25.78,25.65,25.65,760,0
DBSC.US,D,20260210,000000,25.675,25.76,25.545,25.545,1625,0
DBSC.US,D,20260211,000000,25.91,25.91,25.21,25.47,8541,0
DBSC.US,D,20260212,000000,25.79,25.89,24.93,24.93,9011,0
DBSC.US,D,20260213,000000,25.15,25.43,25.146,25.2045,6575,0
DBSC.US,D,20260217,000000,25.19,25.45,25.19,25.305,460,0
DBSC.US,D,20260219,000000,25.36,25.4505,25.36,25.4505,250,0
DBSC.US,D,20260220,000000,25.5,25.5,25.3592,25.3592,231,0
DBSC.US,D,20260223,000000,24.54,24.6953,24.54,24.6953,2028,0
DBSC.US,D,20260227,000000,24.73,24.801,24.73,24.801,1188,0
DBSC.US,D,20260302,000000,24.9501,24.96,24.9501,24.96,2531,0
DBSC.US,D,20260303,000000,23.91,24.345,23.85,24.345,21723,0
DBSC.US,D,20260304,000000,24.53,24.54,24.49,24.49,1545,0
DBSC.US,D,20260305,000000,23.87,23.87,23.87,23.87,1000,0
DBSC.US,D,20260306,000000,23.35,23.35,23.35,23.35,168,0
DBSC.US,D,20260311,000000,23.56,23.645,23.56,23.645,1027,0
DBSC.US,D,20260313,000000,22.95,23,22.95,23,150,0
DBSC.US,D,20260316,000000,23.3,23.35,23.3,23.35,287,0
DBSC.US,D,20260317,000000,23.51,23.51,23.485,23.485,1500,0
DBSC.US,D,20260318,000000,23.31,23.31,23.1249,23.1249,105,0
DBSC.US,D,20260319,000000,22.92,23.47,22.92,23.27,301,0
DBSC.US,D,20260323,000000,23.3,23.51,23.2026,23.2026,399,0
DBSC.US,D,20260324,000000,22.8601,23.255,22.7601,23.255,13827,0
DBSC.US,D,20260325,000000,23.28,23.525,23.28,23.455,4600,0
DBSC.US,D,20260326,000000,22.99,22.99,22.8333,22.8333,125,0
DBSC.US,D,20260327,000000,22.57,22.65,22.4963,22.4963,691,0
DBSC.US,D,20260330,000000,22.42,22.42,22.01,22.0264,21875,0
DBSC.US,D,20260331,000000,22.41,22.9101,22.41,22.9101,300,0
DBSC.US,D,20260401,000000,23.18,23.18,23.17,23.17,106,0
DBSC.US,D,20260407,000000,23.06,23.341,23.06,23.341,301,0
DBSC.US,D,20260408,000000,24.4998,24.4998,24.18,24.18,650,0
DBSC.US,D,20260409,000000,24.19,24.2869,24.19,24.2869,337,0
DBSC.US,D,20260410,000000,24.22,24.22,24.195,24.195,166,0
DBSC.US,D,20260414,000000,24.9,25.07,24.9,25.07,472,0
DBSC.US,D,20260415,000000,24.98,25.0248,24.98,25.0248,446,0
DBSC.US,D,20260417,000000,25.59,25.6678,25.58,25.6678,1574,0
DBSC.US,D,20260420,000000,25.7,25.816,25.7,25.816,1069,0
DBSC.US,D,20260421,000000,26.13,26.13,25.6288,25.6288,282,0
DBSC.US,D,20260422,000000,25.89,25.89,25.8119,25.8119,160,0
DBSC.US,D,20260423,000000,25.48,25.8416,25.48,25.8416,167,0
