<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUKRW.US,D,20260515,000000,0.95,1.961,0.75,1.8,166204,0
DUKRW.US,D,20260518,000000,1.91,1.99,1.35,1.6,12305,0
DUKRW.US,D,20260519,000000,1.6,1.82,1.51,1.72,20851,0
DUKRW.US,D,20260520,000000,1.85,2.19,1.65,1.85,37515,0
DUKRW.US,D,20260521,000000,1.86,1.925,1.85,1.9,5657,0
DUKRW.US,D,20260522,000000,1.56,2.85,1.56,1.9499,62400,0
DUKRW.US,D,20260526,000000,2,2,1.84,1.85,2570,0
DUKRW.US,D,20260527,000000,1.77,1.95,1.7,1.83,15824,0
DUKRW.US,D,20260528,000000,2,2.12,1.66,1.97,35453,0
DUKRW.US,D,20260529,000000,2.4,2.5,1.9,1.985,42988,0
DUKRW.US,D,20260601,000000,2.2,2.2,2.05,2.05,2514,0
DUKRW.US,D,20260602,000000,2.15,2.27,1.83,1.99,20172,0
DUKRW.US,D,20260603,000000,2,2.31,1.83,2.03,6841,0
DUKRW.US,D,20260604,000000,2.01,2.01,1.88,1.95,2554,0
DUKRW.US,D,20260605,000000,1.95,1.95,1.71,1.88,2397,0
DUKRW.US,D,20260608,000000,1.67,1.87,1.59,1.65,14630,0
DUKRW.US,D,20260609,000000,1.7,1.79,1.65,1.65,14915,0
DUKRW.US,D,20260610,000000,1.82,1.82,1.51,1.66,8457,0
DUKRW.US,D,20260611,000000,1.87,1.87,1.52,1.52,2027,0
DUKRW.US,D,20260612,000000,1.575,1.6,1.575,1.6,1560,0
DUKRW.US,D,20260615,000000,1.6,1.66,1.03,1.25,80923,0
DUKRW.US,D,20260616,000000,1.11,1.44,1.11,1.36,12468,0
DUKRW.US,D,20260617,000000,1.42,1.42,1.25,1.25,1085,0
DUKRW.US,D,20260618,000000,1.25,1.4,1.25,1.3,5885,0
DUKRW.US,D,20260622,000000,1.3,1.43,1.3,1.43,6709,0
DUKRW.US,D,20260623,000000,1.43,1.43,1.315,1.32,3005,0
DUKRW.US,D,20260624,000000,1.32,1.32,1.28,1.3,18415,0
