<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDBL.US,D,20220506,000000,385500,426885,381000,424500,11.732606549340801,0
EDBL.US,D,20220509,000000,418500,445500,378000,390000,11.0255732230776,0
EDBL.US,D,20220510,000000,390000,429000,372000,390000,7.479919925200801,0
EDBL.US,D,20220511,000000,357000,378000,315000,321000,5.258299947417201,0
EDBL.US,D,20220512,000000,307500,321000,271500,280500,5.3011932803216,0
EDBL.US,D,20220513,000000,277500,311985,250500,274500,10.4255065624116,0
EDBL.US,D,20220516,000000,282000,319500,279000,303000,7.207986594586799,0
EDBL.US,D,20220517,000000,304500,312000,267000,282000,1.8506733148266001,0
EDBL.US,D,20220518,000000,295500,299910,243000,264000,2.88499997115,0
EDBL.US,D,20220519,000000,258000,274995,243000,264165,1.0523733228096002,0
EDBL.US,D,20220520,000000,261000,265500,240000,243000,1.1175066554916,0
EDBL.US,D,20220523,000000,238500,268500,228000,265500,1.6920733164125998,0
EDBL.US,D,20220524,000000,246000,262500,243000,256500,0.8884799911152002,0
EDBL.US,D,20220525,000000,255000,283500,237000,280500,2.8835599711644004,0
EDBL.US,D,20220526,000000,273000,295500,270000,291000,1.5862399841376,0
EDBL.US,D,20220527,000000,276000,301500,276000,291000,0.7982199920178,0
EDBL.US,D,20220531,000000,291000,309000,264000,280500,1.0734533225988,0
EDBL.US,D,20220601,000000,273000,274500,255000,268500,0.3026599969734,0
EDBL.US,D,20220602,000000,270000,271500,240000,267000,0.6874799931252,0
EDBL.US,D,20220603,000000,249000,268500,249000,261000,0.4087599959124,0
EDBL.US,D,20220606,000000,259500,277500,250500,262500,1.1079666555870002,0
EDBL.US,D,20220607,000000,252690,262500,244500,249000,0.37921999620780006,0
EDBL.US,D,20220608,000000,261000,276000,244500,256500,0.7817266588494001,0
EDBL.US,D,20220609,000000,259680,259680,240000,250500,0.6201466604652,0
EDBL.US,D,20220610,000000,252000,253500,241320,244500,0.33357332999760003,0
EDBL.US,D,20220613,000000,240000,255000,214500,229500,1.4373799856262002,0
EDBL.US,D,20220614,000000,229500,249000,219000,225000,0.8870466577962001,0
EDBL.US,D,20220615,000000,237000,240750,217725,228000,0.310899996891,0
EDBL.US,D,20220616,000000,237000,249000,228030,237000,0.5495199945048,0
EDBL.US,D,20220617,000000,243000,260025,213000,217500,0.9374266572924,0
EDBL.US,D,20220621,000000,232500,273000,228000,259500,3.8032666286340007,0
EDBL.US,D,20220622,000000,261000,261000,234000,237000,1.7515999824840003,0
EDBL.US,D,20220623,000000,238500,240000,207015,217500,1.6289533170438002,0
EDBL.US,D,20220624,000000,217500,225000,210000,217500,0.797766658689,0
EDBL.US,D,20220627,000000,217500,217500,193515,199500,0.7552599924474,0
EDBL.US,D,20220628,000000,192000,222000,190500,207000,0.5826799941732,0
EDBL.US,D,20220629,000000,205125,205500,190500,190500,0.3029466636372,0
EDBL.US,D,20220630,000000,190500,220500,187500,193500,3.5749599642504,0
EDBL.US,D,20220701,000000,210000,210000,177000,177000,0.7231066594356,0
EDBL.US,D,20220705,000000,177000,177000,159000,163500,0.6958799930412001,0
EDBL.US,D,20220706,000000,154500,178500,154500,175500,0.45172666214940005,0
EDBL.US,D,20220707,000000,178500,179985,171000,177000,0.1289066653776,0
EDBL.US,D,20220708,000000,172500,186000,171000,177000,0.4264199957358001,0
EDBL.US,D,20220711,000000,177000,187500,174000,179820,0.41061332922720006,0
EDBL.US,D,20220712,000000,180000,196500,180000,195000,1.3514733198186002,0
EDBL.US,D,20220713,000000,189000,200925,189000,197580,0.1865466648012,0
EDBL.US,D,20220714,000000,199500,199500,186000,192000,0.37777999622220004,0
EDBL.US,D,20220715,000000,190500,196500,187500,189000,0.31250666354160006,0
EDBL.US,D,20220718,000000,187515,192000,180000,184500,0.2212266644544,0
EDBL.US,D,20220719,000000,196500,199215,180015,186000,0.15329999846700001,0
EDBL.US,D,20220720,000000,190500,195000,177000,180000,0.1860533314728,0
EDBL.US,D,20220721,000000,178500,180000,173250,178500,0.1216266654504,0
EDBL.US,D,20220722,000000,178470,178500,166500,172500,0.085133332482,0
EDBL.US,D,20220725,000000,168000,177000,163500,171435,0.5815066608516001,0
EDBL.US,D,20220726,000000,162015,170985,157500,159750,0.48333332850000005,0
EDBL.US,D,20220727,000000,157500,166485,156000,162750,0.6024133273092,0
EDBL.US,D,20220728,000000,163530,189555,163530,187500,1.0598399894016,0
EDBL.US,D,20220729,000000,193500,207000,181500,199500,3.3188399668116,0
EDBL.US,D,20220801,000000,204000,204000,182130,187500,0.6887066597796001,0
EDBL.US,D,20220802,000000,181500,220500,177180,205500,3.7896066287706,0
EDBL.US,D,20220803,000000,210000,238500,190500,202500,5.029399949706001,0
EDBL.US,D,20220804,000000,205500,211500,172500,181500,2.3885466427812,0
EDBL.US,D,20220805,000000,177000,187485,168000,175500,1.0494133228392,0
EDBL.US,D,20220808,000000,172500,184500,172500,174150,0.7989799920102001,0
EDBL.US,D,20220809,000000,181500,181500,171000,171000,0.3389133299442,0
EDBL.US,D,20220810,000000,174000,184500,171000,180000,0.6729466599372,0
EDBL.US,D,20220811,000000,177000,187500,172500,174000,0.3885266627814,0
EDBL.US,D,20220812,000000,181500,181500,171000,175500,0.2720733306126,0
EDBL.US,D,20220815,000000,177000,186000,172500,177000,0.2147533311858,0
EDBL.US,D,20220816,000000,189000,189000,156000,163500,1.0580066560866002,0
EDBL.US,D,20220817,000000,168000,168000,157500,162000,0.2548533307848,0
EDBL.US,D,20220818,000000,164070,322500,160500,201000,82.43793917562002,0
EDBL.US,D,20220819,000000,186000,189000,168000,183000,4.1754666249120005,0
EDBL.US,D,20220822,000000,174000,198000,169500,177000,5.0744732825888015,0
EDBL.US,D,20220823,000000,172500,190260,160500,165000,1.814466648522,0
EDBL.US,D,20220824,000000,168000,178500,157515,160500,1.0417399895826,0
EDBL.US,D,20220825,000000,165000,169200,157500,161250,0.9312799906872,0
EDBL.US,D,20220826,000000,160515,163500,151500,153000,0.753133325802,0
EDBL.US,D,20220829,000000,150000,151485,129240,134265,2.4012933093204003,0
EDBL.US,D,20220830,000000,134265,134265,120165,126000,1.0453133228802,0
EDBL.US,D,20220831,000000,125550,128985,121500,123315,0.7783799922162,0
EDBL.US,D,20220901,000000,129000,129675,117945,120000,0.28753999712460004,0
EDBL.US,D,20220902,000000,127500,133875,114345,119730,0.6533733267996,0
EDBL.US,D,20220906,000000,125145,125145,117000,121500,0.30632666360340005,0
EDBL.US,D,20220907,000000,124020,130665,117000,124500,0.44650666220160007,0
EDBL.US,D,20220908,000000,120000,126000,120000,120450,0.1941733313916,0
EDBL.US,D,20220909,000000,126000,131700,123000,127335,0.128266665384,0
EDBL.US,D,20220912,000000,127500,146835,123015,139800,0.7881266587854001,0
EDBL.US,D,20220913,000000,148500,148500,132240,134235,0.39115332942180003,0
EDBL.US,D,20220914,000000,140940,148500,127500,142260,1.9105066475616,0
EDBL.US,D,20220915,000000,136500,146400,130500,136500,0.6998933263344,0
EDBL.US,D,20220916,000000,131325,141000,129000,136080,0.1725266649414,0
EDBL.US,D,20220919,000000,124500,135000,121785,126000,0.35785999642140004,0
EDBL.US,D,20220920,000000,127500,133875,121500,129000,0.8157599918424001,0
EDBL.US,D,20220921,000000,128768,141000,124815,124905,1.357599986424,0
EDBL.US,D,20220922,000000,124740,127965,122430,124335,0.4428599955714001,0
EDBL.US,D,20220923,000000,123525,124500,109500,109830,0.33882666327840005,0
EDBL.US,D,20220926,000000,109830,118125,109545,109590,0.40456666262100005,0
EDBL.US,D,20220927,000000,112500,115500,106500,106500,0.08631999913680001,0
EDBL.US,D,20220928,000000,109485,111375,97500,102645,0.35801999641980004,0
EDBL.US,D,20220929,000000,102000,102000,93015,98700,0.217399997826,0
EDBL.US,D,20220930,000000,93330,103485,93330,94500,0.096899999031,0
EDBL.US,D,20221003,000000,100815,100815,90165,93015,0.16875999831240002,0
EDBL.US,D,20221004,000000,99825,102735,93495,100110,0.05079333282540001,0
EDBL.US,D,20221005,000000,100500,109485,97500,103920,0.1878733314546,0
EDBL.US,D,20221006,000000,112500,120075,102000,117000,0.4319599956804001,0
EDBL.US,D,20221007,000000,113490,123000,90315,110805,0.2877533304558,0
EDBL.US,D,20221010,000000,116340,116340,93000,93000,0.3688799963112,0
EDBL.US,D,20221011,000000,93000,101970,93000,97530,0.33927999660720004,0
EDBL.US,D,20221012,000000,97530,104985,91500,98970,0.19177333141560005,0
EDBL.US,D,20221013,000000,90000,103020,90000,98265,0.2166866644998,0
EDBL.US,D,20221014,000000,110250,110250,91500,95070,0.060499999395000004,0
EDBL.US,D,20221017,000000,90330,100980,75015,89340,0.5992466606742001,0
EDBL.US,D,20221018,000000,85035,97500,78000,87150,0.21787999782120002,0
EDBL.US,D,20221019,000000,98145,98445,78105,89325,0.1469866651968,0
EDBL.US,D,20221020,000000,93780,99015,81840,82560,0.06723999932760001,0
EDBL.US,D,20221021,000000,86685,104985,75000,76650,0.3060533302728,0
