<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELMT.US,D,20260423,000000,18,22.25,17.5,17.91,9692439,0
ELMT.US,D,20260424,000000,17.5,18.29,16.39,17,1910434,0
ELMT.US,D,20260427,000000,16.3,16.9499,15.75,16.19,925072,0
ELMT.US,D,20260428,000000,15.75,15.92,14.7,15.16,1216782,0
ELMT.US,D,20260429,000000,15,16.5,14.69,16.32,1123662,0
ELMT.US,D,20260430,000000,16.32,16.4099,15.14,16.35,492646,0
ELMT.US,D,20260501,000000,16.29,16.29,15.33,15.65,434422,0
ELMT.US,D,20260504,000000,15.6,15.6,14.92,15.37,509459,0
ELMT.US,D,20260505,000000,15.4,15.64,15.02,15.06,301238,0
ELMT.US,D,20260506,000000,15,15.85,14.925,15.65,462305,0
ELMT.US,D,20260507,000000,15.67,15.79,15.12,15.35,302017,0
ELMT.US,D,20260508,000000,15.5,16.58,15.055,15.71,546191,0
ELMT.US,D,20260511,000000,15.8,16.2825,15.51,15.58,285144,0
ELMT.US,D,20260512,000000,15.58,16.855,15.27,16.74,457470,0
ELMT.US,D,20260513,000000,16.77,17.364,16.4,16.72,540330,0
ELMT.US,D,20260514,000000,16.82,17,15.95,16.14,336110,0
ELMT.US,D,20260515,000000,15.79,16.185,15.21,15.45,282330,0
ELMT.US,D,20260518,000000,15.75,16.135,14.12,14.345,600236,0
ELMT.US,D,20260519,000000,14.35,14.5,13.43,13.53,521537,0
ELMT.US,D,20260520,000000,13.64,14.21,13.38,14.03,289347,0
ELMT.US,D,20260521,000000,13.83,14.9371,13.39,14.66,409291,0
ELMT.US,D,20260522,000000,14.69,15.29,14.3001,14.7,220423,0
ELMT.US,D,20260526,000000,14.73,16.185,14.73,15.65,460659,0
ELMT.US,D,20260527,000000,15.7,15.895,15.16,15.56,338231,0
ELMT.US,D,20260528,000000,15.41,16.48,15.1477,16.2,465777,0
ELMT.US,D,20260529,000000,17.114,17.114,14.5388,15.28,1050947,0
ELMT.US,D,20260601,000000,19.05,22.5,18.7541,18.95,5067930,0
ELMT.US,D,20260602,000000,20.17,22.5,19.06,22.09,1966204,0
ELMT.US,D,20260603,000000,21.9,21.92,19.28,19.83,1107042,0
ELMT.US,D,20260604,000000,19,19.82,18.41,19.3,755575,0
ELMT.US,D,20260605,000000,18.77,18.77,16.83,17.17,920950,0
ELMT.US,D,20260608,000000,17.89,18.21,17.15,17.36,435965,0
ELMT.US,D,20260609,000000,17.42,18.86,16.76,18.76,642194,0
ELMT.US,D,20260610,000000,18.34,19.32,18,18.58,352414,0
ELMT.US,D,20260611,000000,18.6,19.97,18.13,19.43,548691,0
ELMT.US,D,20260612,000000,19.23,22.51,19.2,20.445,844305,0
ELMT.US,D,20260615,000000,21,21.99,19.5,20.64,534278,0
ELMT.US,D,20260616,000000,20.4,20.4,18.08,18.23,625084,0
ELMT.US,D,20260617,000000,18.56,19.95,18.28,18.62,619342,0
ELMT.US,D,20260618,000000,19.3,19.65,17.86,19.44,1148986,0
ELMT.US,D,20260622,000000,19.03,19.9499,18.5614,18.75,448998,0
ELMT.US,D,20260623,000000,17.71,18.92,17.7,18.45,366180,0
ELMT.US,D,20260624,000000,18.55,18.78,17.7,18.04,434170,0
