<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELOX.US,D,20260601,000000,4.07,4.07,4.07,4.07,0,0
ELOX.US,D,20260602,000000,1.51,1.51,1.3,1.51,2050,0
ELOX.US,D,20260603,000000,7.66,10,7.65,10,14415,0
ELOX.US,D,20260604,000000,9.25,10,6,9,1300,0
ELOX.US,D,20260605,000000,6.2,6.2,6.11,6.2,1048,0
ELOX.US,D,20260609,000000,10,11.6,8.25,11.01,284400,0
ELOX.US,D,20260610,000000,10,11.41,8.2,11.41,101261,0
ELOX.US,D,20260611,000000,11,13.25,10.3195,12.64,33839,0
ELOX.US,D,20260612,000000,13.9,15.86,11.4,13.52,51448,0
ELOX.US,D,20260615,000000,14.1,17.5,13.8,14.7,37720,0
ELOX.US,D,20260616,000000,15.06,15.75,12,12.7501,22587,0
ELOX.US,D,20260617,000000,12.77,14.25,12.0257,14,43696,0
ELOX.US,D,20260618,000000,14.86,15.94,12.25,13.98,38574,0
ELOX.US,D,20260622,000000,13.98,14.28,12.9,13.89,14353,0
ELOX.US,D,20260623,000000,12.6,12.99,11.26,12.21,41380,0
ELOX.US,D,20260624,000000,11.73,12.1,10,12,16021,0
