<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELPW.US,D,20241125,000000,2816,2995.2,2304,2368,1740.98,0
ELPW.US,D,20241126,000000,2214.4,2214.4,1881.6,2060.8,492.043,0
ELPW.US,D,20241127,000000,1945.6,2048,1715.2,1792,267.357,0
ELPW.US,D,20241129,000000,1779.2,1836.8,1674.37,1676.8,133.353,0
ELPW.US,D,20241202,000000,1664,1868.8,1587.2,1804.8,154.57,0
ELPW.US,D,20241203,000000,1804.8,1804.8,1587.2,1638.4,115.347,0
ELPW.US,D,20241204,000000,1600,1635.97,1459.2,1536,82.9406,0
ELPW.US,D,20241205,000000,1523.2,1574.4,1344,1376,208.95,0
ELPW.US,D,20241206,000000,1433.6,1433.6,1292.8,1382.4,214.128,0
ELPW.US,D,20241209,000000,1433.6,1638.4,1292.8,1600,268.387,0
ELPW.US,D,20241210,000000,1549.44,1671.94,1305.6,1382.4,174.37,0
ELPW.US,D,20241211,000000,1408,1459.46,1318.4,1395.2,63.9733,0
ELPW.US,D,20241212,000000,1472,1523.2,1331.2,1369.6,102.214,0
ELPW.US,D,20241213,000000,1356.8,1484.67,1331.2,1432.96,64.4062,0
ELPW.US,D,20241216,000000,1356.8,1446.4,1344,1344,45.3233,0
ELPW.US,D,20241217,000000,1395.2,1433.6,1305.86,1356.8,65.8108,0
ELPW.US,D,20241218,000000,1369.6,1536,1333.25,1420.8,162.62,0
ELPW.US,D,20241219,000000,1497.6,1984,1420.8,1753.6,949.613,0
ELPW.US,D,20241220,000000,1920,1920,1152,1459.2,734.316,0
ELPW.US,D,20241223,000000,1395.2,1459.2,1276.93,1369.6,126,0
ELPW.US,D,20241224,000000,1388.8,1416.19,1293.18,1344,58.5046,0
ELPW.US,D,20241226,000000,1420.8,1625.6,1408,1536,192.185,0
ELPW.US,D,20241227,000000,1548.8,1598.98,1305.6,1472,246.255,0
ELPW.US,D,20241230,000000,1484.8,1548.8,1358.46,1548.8,106.021,0
ELPW.US,D,20241231,000000,1510.4,1753.6,1500.16,1689.6,135.728,0
ELPW.US,D,20250102,000000,1638.4,1812.22,1547.52,1677.06,66.0858,0
ELPW.US,D,20250103,000000,1715.2,1779.2,1574.4,1652.48,49.7053,0
ELPW.US,D,20250106,000000,1740.8,1836.8,1689.6,1792,55.846,0
ELPW.US,D,20250107,000000,1817.6,1856,1664,1715.2,19.8827,0
ELPW.US,D,20250108,000000,1753.6,1753.6,1472,1536.9,62.107,0
ELPW.US,D,20250110,000000,1625.6,1625.6,1369.6,1408,56.7382,0
ELPW.US,D,20250113,000000,1536,1536,1356.8,1395.2,95.6397,0
ELPW.US,D,20250114,000000,1356.8,1484.8,1292.8,1395.2,259.651,0
ELPW.US,D,20250115,000000,1331.2,1408,1305.6,1318.4,32.2046,0
ELPW.US,D,20250116,000000,1263.87,1344,1164.67,1344,316.455,0
ELPW.US,D,20250117,000000,1422.98,1446.4,1292.8,1395.2,53.8491,0
ELPW.US,D,20250121,000000,1408,1446.4,1292.8,1420.8,57.8546,0
ELPW.US,D,20250122,000000,1459.2,1523.2,1395.2,1408,44.2031,0
ELPW.US,D,20250123,000000,1510.4,1561.6,1318.4,1497.6,22.5406,0
ELPW.US,D,20250124,000000,1497.6,1510.4,1408,1508.35,95.4031,0
ELPW.US,D,20250127,000000,1472,1497.6,1369.6,1484.8,34.0531,0
ELPW.US,D,20250128,000000,1446.4,1463.94,1356.8,1395.2,17.5827,0
ELPW.US,D,20250129,000000,1369.6,1408,1318.4,1344,51.4952,0
ELPW.US,D,20250130,000000,1305.6,1518.59,1267.2,1405.44,71.3351,0
ELPW.US,D,20250131,000000,1472,1497.6,1344,1497.6,24.0195,0
ELPW.US,D,20250203,000000,1472,1510.4,1356.8,1459.2,19.6327,0
ELPW.US,D,20250204,000000,1376.77,1472,1267.33,1325.95,165.775,0
ELPW.US,D,20250205,000000,1280,1308.8,1184,1235.2,319.606,0
ELPW.US,D,20250206,000000,1218.82,1292.8,1218.82,1292.8,21.3093,0
ELPW.US,D,20250207,000000,1228.8,1382.4,1216.13,1331.2,22.8445,0
ELPW.US,D,20250210,000000,1382.4,1382.4,1216,1267.2,20.2202,0
ELPW.US,D,20250211,000000,1216,1497.6,1216,1254.53,343.053,0
ELPW.US,D,20250212,000000,1280,1331.2,1157.12,1243.65,150.552,0
ELPW.US,D,20250213,000000,1234.3,1234.3,1157.12,1200.64,25.0116,0
ELPW.US,D,20250214,000000,1318.4,1344,1200.64,1241.6,45.1343,0
ELPW.US,D,20250218,000000,1318.4,1344,1200.26,1292.8,54.7015,0
ELPW.US,D,20250219,000000,1344,1344,1268.99,1292.8,10.1179,0
ELPW.US,D,20250220,000000,1280,1292.8,1190.4,1218.69,42.9991,0
ELPW.US,D,20250221,000000,1280,1280,1155.84,1155.84,19.2531,0
ELPW.US,D,20250224,000000,1241.6,1395.2,1168.26,1225.6,44.6187,0
ELPW.US,D,20250225,000000,1306.5,1318.4,1199.49,1224.32,3.69218,0
ELPW.US,D,20250226,000000,1212.67,1280,1127.04,1127.04,62.5031,0
ELPW.US,D,20250227,000000,1241.6,1251.07,1011.2,1066.5,79.4077,0
ELPW.US,D,20250228,000000,1066.5,1177.6,1036.8,1139.2,36.2812,0
ELPW.US,D,20250303,000000,1086.85,1139.2,1025.28,1025.28,27.2726,0
ELPW.US,D,20250304,000000,1111.68,1111.68,866.688,869.76,276.181,0
ELPW.US,D,20250305,000000,806.4,947.2,717.056,880.064,219.29,0
ELPW.US,D,20250306,000000,840.448,905.984,781.568,847.36,19.9671,0
ELPW.US,D,20250307,000000,793.6,985.472,780.928,948.48,48.4968,0
ELPW.US,D,20250310,000000,1004.8,1004.8,833.28,876.928,26.9772,0
ELPW.US,D,20250311,000000,815.488,843.52,754.048,841.984,147.532,0
ELPW.US,D,20250312,000000,799.36,960,765.312,865.92,19.021,0
ELPW.US,D,20250313,000000,848.768,959.872,770.432,896,41.6272,0
ELPW.US,D,20250314,000000,806.784,934.4,800.64,930.304,39.9702,0
ELPW.US,D,20250317,000000,932.536,946.816,844.8,902.144,8.73202,0
ELPW.US,D,20250318,000000,819.2,948.096,819.2,831.232,27.2108,0
ELPW.US,D,20250319,000000,831.232,887.424,831.232,851.072,3.5039,0
ELPW.US,D,20250320,000000,832,1011.2,793.6,974.976,48.1577,0
ELPW.US,D,20250321,000000,960,1024,896,908.8,14.807,0
ELPW.US,D,20250324,000000,932.352,1036.8,857.728,896,50.9812,0
ELPW.US,D,20250325,000000,981.76,1024,768.128,883.2,147.881,0
