<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMEM.US,D,20260520,000000,25.1,25.3365,24.95,25.3365,205,0
EMEM.US,D,20260521,000000,25.35,26.145,25.35,25.6176,1049764,0
EMEM.US,D,20260522,000000,25.59,25.68,25.5,25.5112,3814,0
EMEM.US,D,20260526,000000,26.335,26.615,26.3116,26.4803,992188,0
EMEM.US,D,20260527,000000,26.4053,26.58,26.4053,26.5107,18914,0
EMEM.US,D,20260528,000000,26.4,26.78,26.4,26.5032,14831,0
EMEM.US,D,20260529,000000,26.495,26.57,26.44,26.4693,4831,0
EMEM.US,D,20260601,000000,26.92,27.455,26.92,27.3052,4668,0
EMEM.US,D,20260602,000000,27.3001,27.5,27.3001,27.4451,14205,0
EMEM.US,D,20260603,000000,26.98,27.15,26.9413,27.0161,11651,0
EMEM.US,D,20260604,000000,26.74,26.92,26.74,26.8446,1356,0
EMEM.US,D,20260605,000000,25.92,25.92,25.121,25.2406,5110,0
EMEM.US,D,20260608,000000,25.83,25.83,25.6512,25.6539,2196,0
EMEM.US,D,20260609,000000,26.47,26.47,25.5317,25.7275,4254,0
EMEM.US,D,20260610,000000,25.6438,25.74,25.14,25.2161,4277,0
EMEM.US,D,20260611,000000,25.79,28.66,25.585,26.2703,4962,0
EMEM.US,D,20260612,000000,26.44,26.57,26.17,26.4269,1862,0
EMEM.US,D,20260615,000000,27.15,27.24,27.15,27.2092,3745,0
EMEM.US,D,20260616,000000,26.85,27.2,26.63,26.6359,2213,0
EMEM.US,D,20260617,000000,26.871,27.15,26.64,26.6421,43558,0
EMEM.US,D,20260618,000000,27.42,27.61,27.39,27.5269,56542,0
EMEM.US,D,20260622,000000,28.3,28.3,27.45,27.555,39270,0
EMEM.US,D,20260623,000000,26.31,26.685,26.12,26.205,44001,0
EMEM.US,D,20260624,000000,26.24,26.39,26.01,26.105,15097,0
