<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENRD.US,D,20260610,000000,16.75,34,14.5,14.99,324909,0
ENRD.US,D,20260611,000000,15,15,10.05,10.53,203232,0
ENRD.US,D,20260612,000000,10.8,11.9799,8,9.39,225606,0
ENRD.US,D,20260615,000000,9.53,10.89,9.53,10.12,75984,0
ENRD.US,D,20260616,000000,10.5,10.95,10.17,10.17,37890,0
ENRD.US,D,20260617,000000,10.2,10.2,9.45,9.45,46107,0
ENRD.US,D,20260618,000000,9.34,9.34,8,8.4184,147866,0
ENRD.US,D,20260622,000000,8.5,9.03,7.11,7.11,47617,0
ENRD.US,D,20260623,000000,7.25,7.27,6.13,6.13,81141,0
ENRD.US,D,20260624,000000,7.68,8.08,6.5801,6.865,155864,0
