<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENRDW.US,D,20260610,000000,0.99,1.06,0.7,0.91,410551,0
ENRDW.US,D,20260611,000000,0.899,0.899,0.65,0.669,63773,0
ENRDW.US,D,20260612,000000,0.572,0.68,0.572,0.6101,20835,0
ENRDW.US,D,20260615,000000,0.7,0.7,0.6204,0.6225,44079,0
ENRDW.US,D,20260616,000000,0.789,0.8224,0.62,0.66,200851,0
ENRDW.US,D,20260617,000000,0.66,0.71,0.6101,0.6101,19080,0
ENRDW.US,D,20260618,000000,0.74,0.74,0.61,0.63,5271,0
ENRDW.US,D,20260622,000000,0.7045,0.7045,0.61,0.6101,17360,0
ENRDW.US,D,20260623,000000,0.655,0.6799,0.5601,0.58,55852,0
ENRDW.US,D,20260624,000000,0.71,0.71,0.59,0.597,205811,0
