<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERNAW.US,D,20260206,000000,0.1,0.12,0.1,0.1,260100,0
ERNAW.US,D,20260209,000000,0.07,0.0769,0.07,0.07,50000,0
ERNAW.US,D,20260210,000000,0.07,0.07,0.0499,0.05,152600,0
ERNAW.US,D,20260211,000000,0.075,0.075,0.0525,0.0554,25802,0
ERNAW.US,D,20260212,000000,0.055,0.08,0.0541,0.08,5361,0
ERNAW.US,D,20260213,000000,0.0659,0.0659,0.0659,0.0659,216,0
ERNAW.US,D,20260217,000000,0.08,0.08,0.054,0.054,13804,0
ERNAW.US,D,20260218,000000,0.0796,0.11,0.07,0.0769,16347,0
ERNAW.US,D,20260219,000000,0.0896,0.09999,0.08,0.08,10869,0
ERNAW.US,D,20260220,000000,0.08,0.08,0.07,0.0702,50746,0
ERNAW.US,D,20260223,000000,0.08,0.086,0.061,0.061,29750,0
ERNAW.US,D,20260224,000000,0.0601,0.1,0.0551,0.07,128042,0
ERNAW.US,D,20260225,000000,0.0899,0.09,0.0899,0.09,997,0
ERNAW.US,D,20260227,000000,0.08,0.08,0.08,0.08,822,0
ERNAW.US,D,20260303,000000,0.0799,0.0999,0.0799,0.0999,2630,0
ERNAW.US,D,20260305,000000,0.0701,0.0701,0.067499,0.07,62551,0
ERNAW.US,D,20260310,000000,0.0798,0.0898,0.0701,0.0701,50888,0
ERNAW.US,D,20260311,000000,0.0701,0.0701,0.07,0.07,14531,0
ERNAW.US,D,20260312,000000,0.0799,0.08,0.0799,0.08,5000,0
ERNAW.US,D,20260313,000000,0.055,0.0899,0.0213,0.0218,122710,0
ERNAW.US,D,20260316,000000,0.039,0.057,0.0345,0.038,3973,0
ERNAW.US,D,20260317,000000,0.035001,0.0598,0.035001,0.047,13262,0
ERNAW.US,D,20260318,000000,0.0381,0.0381,0.0381,0.0381,2521,0
ERNAW.US,D,20260319,000000,0.046,0.056033,0.035,0.045,28301,0
ERNAW.US,D,20260320,000000,0.0406,0.0406,0.0351,0.0351,1221,0
ERNAW.US,D,20260323,000000,0.0352,0.0352,0.0351,0.0351,1301,0
ERNAW.US,D,20260325,000000,0.0355,0.0355,0.0355,0.0355,175,0
ERNAW.US,D,20260327,000000,0.0351,0.0351,0.03,0.03,7911,0
ERNAW.US,D,20260330,000000,0.03,0.03,0.028,0.028,6480,0
ERNAW.US,D,20260331,000000,0.028,0.028,0.028,0.028,8260,0
