<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVPF.US,D,20260306,000000,49.91,50.05,49.91,50.035,946,0
EVPF.US,D,20260309,000000,49.71,49.905,49.69,49.905,813,0
EVPF.US,D,20260310,000000,50.08,50.08,50.065,50.065,10753,0
EVPF.US,D,20260311,000000,49.87,50.08,49.86,49.995,41135,0
EVPF.US,D,20260312,000000,49.93,49.93,49.77,49.79,1430,0
EVPF.US,D,20260313,000000,49.755,49.755,49.745,49.745,770,0
EVPF.US,D,20260317,000000,49.85,49.96,49.85,49.8907,2284,0
EVPF.US,D,20260318,000000,49.92,49.94,49.7847,49.7847,50941,0
EVPF.US,D,20260319,000000,49.81,49.81,49.7894,49.8005,200,0
EVPF.US,D,20260320,000000,49.77,49.77,49.495,49.495,2832,0
EVPF.US,D,20260323,000000,49.51,49.51,49.4411,49.4411,170,0
EVPF.US,D,20260324,000000,49.43,49.52,49.41,49.4233,4602,0
EVPF.US,D,20260325,000000,49.63,49.65,49.55,49.5508,54586,0
EVPF.US,D,20260326,000000,49.5,49.5,49.425,49.425,5934,0
EVPF.US,D,20260327,000000,49.4,49.4,49.0194,49.0194,5304,0
EVPF.US,D,20260330,000000,49.27,49.36,49.185,49.185,3231,0
EVPF.US,D,20260331,000000,49.22,49.469,49.16,49.25,31877,0
EVPF.US,D,20260401,000000,49.48,49.68,49.4,49.4672,69645,0
EVPF.US,D,20260402,000000,49.509,49.57,49.5007,49.5007,2421,0
EVPF.US,D,20260406,000000,49.93,49.93,49.5007,49.5007,3089,0
EVPF.US,D,20260407,000000,49.53,49.5896,49.48,49.5896,4813,0
EVPF.US,D,20260408,000000,50.58,50.58,49.87,49.935,73156,0
EVPF.US,D,20260409,000000,50.05,50.1055,50.05,50.1055,178,0
EVPF.US,D,20260410,000000,50.16,50.19,50.1101,50.1101,1283,0
EVPF.US,D,20260413,000000,50.17,50.229,50.17,50.19,13182,0
EVPF.US,D,20260414,000000,50.23,50.26,50.165,50.165,38286,0
EVPF.US,D,20260415,000000,50.2,50.26,50.16,50.255,723,0
EVPF.US,D,20260416,000000,50.25,50.32,50.11,50.1814,5586,0
EVPF.US,D,20260417,000000,50.41,50.57,50.41,50.4553,2297,0
EVPF.US,D,20260420,000000,50.45,50.5,50.43,50.44,3462,0
EVPF.US,D,20260421,000000,50.39,50.41,50.2928,50.2928,2664,0
EVPF.US,D,20260422,000000,50.75,50.75,50.45,50.495,11263,0
EVPF.US,D,20260423,000000,50.45,50.5,50.4402,50.4402,1102,0
EVPF.US,D,20260427,000000,50.48,50.52,50.48,50.52,3101,0
EVPF.US,D,20260428,000000,50.47,50.63,50.35,50.4553,26758,0
EVPF.US,D,20260429,000000,50.4,50.4,50.3082,50.3082,1103,0
EVPF.US,D,20260430,000000,50.29,50.33,50.2585,50.2585,2792,0
EVPF.US,D,20260501,000000,50.29,50.29,50.21,50.21,744,0
EVPF.US,D,20260504,000000,50.21,50.21,50.05,50.0688,3726,0
EVPF.US,D,20260505,000000,50.26,50.26,50.205,50.21,4326,0
EVPF.US,D,20260506,000000,50.34,50.41,50.34,50.355,5341,0
EVPF.US,D,20260507,000000,50.38,50.38,50.275,50.275,1267,0
EVPF.US,D,20260508,000000,50.385,50.45,50.38,50.41,11964,0
EVPF.US,D,20260511,000000,50.46,50.46,50.3499,50.3499,2330,0
EVPF.US,D,20260513,000000,50.2,50.31,50.2,50.2543,2052,0
EVPF.US,D,20260514,000000,50.36,50.38,50.28,50.2844,4176,0
EVPF.US,D,20260515,000000,50.14,50.15,50.1363,50.1363,10207,0
EVPF.US,D,20260518,000000,50.21,50.21,50.1168,50.1168,950,0
EVPF.US,D,20260519,000000,50.005,50.05,50.0012,50.0012,36975,0
EVPF.US,D,20260520,000000,50.05,50.12,50.04,50.12,501,0
EVPF.US,D,20260521,000000,50.1,50.105,50.085,50.105,51805,0
EVPF.US,D,20260522,000000,50.18,50.18,50.12,50.1375,3429,0
EVPF.US,D,20260526,000000,50.3,50.35,50.26,50.3425,2420,0
EVPF.US,D,20260527,000000,50.37,50.4199,50.3513,50.3513,2698,0
EVPF.US,D,20260528,000000,50.81,50.81,50.44,50.53,8350,0
EVPF.US,D,20260601,000000,50.3,50.32,50.1,50.2514,13110,0
EVPF.US,D,20260602,000000,50.28,50.29,50.2375,50.2375,14892,0
EVPF.US,D,20260603,000000,50.45,50.45,50.205,50.24,17505,0
EVPF.US,D,20260604,000000,50.295,50.295,50.2329,50.2329,543,0
EVPF.US,D,20260605,000000,50.13,50.21,50.0701,50.0701,2124,0
EVPF.US,D,20260608,000000,50.19,50.19,50.03,50.0549,3162,0
EVPF.US,D,20260609,000000,50.15,50.16,50.11,50.11,1500,0
EVPF.US,D,20260610,000000,50.08,50.08,49.99,50.0076,2289,0
EVPF.US,D,20260611,000000,50.08,50.23,50.08,50.1956,29034,0
EVPF.US,D,20260612,000000,50.28,50.28,50.24,50.24,531,0
EVPF.US,D,20260615,000000,50.29,50.3363,50.26,50.3363,1803,0
EVPF.US,D,20260616,000000,50.51,50.51,50.29,50.35,741,0
EVPF.US,D,20260617,000000,50.74,50.74,50.235,50.235,7090,0
EVPF.US,D,20260618,000000,50.65,50.65,50.31,50.32,7029,0
EVPF.US,D,20260622,000000,50.265,50.2895,50.16,50.255,3134,0
EVPF.US,D,20260623,000000,50.235,50.32,50.18,50.2621,9086,0
EVPF.US,D,20260624,000000,50.36,50.49,50.2121,50.31,11641,0
