<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXYN.US,D,20260515,000000,6.75,7,4.62,5.2,882966,0
EXYN.US,D,20260518,000000,4.94,5.7,4.845,5,66570,0
EXYN.US,D,20260519,000000,5,5.445,4.25,4.76,210253,0
EXYN.US,D,20260520,000000,5.01,6.21,4.5601,5.57,789995,0
EXYN.US,D,20260521,000000,5.62,6.0817,5.25,5.75,93522,0
EXYN.US,D,20260522,000000,6.06,6.0991,5.4,5.75,62752,0
EXYN.US,D,20260526,000000,5.99,6.09,4.9,5.51,78002,0
EXYN.US,D,20260527,000000,5.75,5.76,4.89,5.1,44848,0
EXYN.US,D,20260528,000000,5.1,6.11,5.1,5.97,158720,0
EXYN.US,D,20260529,000000,5.8,6.55,5.7,6,139479,0
EXYN.US,D,20260601,000000,6,6.21,5.405,6.03,88884,0
EXYN.US,D,20260602,000000,5.94,6.16,5.4,5.66,48938,0
EXYN.US,D,20260603,000000,5.79,6.4,5.65,6.04,151992,0
EXYN.US,D,20260604,000000,6.3,7,6.2068,6.29,365872,0
EXYN.US,D,20260605,000000,6.51,7.2,6.37,6.52,444337,0
EXYN.US,D,20260608,000000,6.88,7,5.5,5.83,222221,0
EXYN.US,D,20260609,000000,6.02,6.418,5.35,5.47,177452,0
EXYN.US,D,20260610,000000,5.61,6.85,5.31,6.43,287625,0
EXYN.US,D,20260611,000000,6.59,6.75,5.52,5.63,160522,0
EXYN.US,D,20260612,000000,5.67,6.5,5.51,5.92,154989,0
EXYN.US,D,20260615,000000,6.3,6.38,6.0101,6.23,188272,0
EXYN.US,D,20260616,000000,6.37,6.5,6.25,6.43,123281,0
EXYN.US,D,20260617,000000,6.6,6.9899,6.22,6.34,127179,0
EXYN.US,D,20260618,000000,6.43,6.99,6.24,6.84,194054,0
EXYN.US,D,20260622,000000,6.89,6.9799,6.3401,6.47,75184,0
EXYN.US,D,20260623,000000,6.31,6.5999,6.1,6.19,90995,0
EXYN.US,D,20260624,000000,6.19,6.31,5.688,5.76,85836,0
