<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXYNW.US,D,20260515,000000,0.814,1,0.75,0.81,629779,0
EXYNW.US,D,20260518,000000,0.524,0.9,0.524,0.8,23079,0
EXYNW.US,D,20260519,000000,0.8,0.899,0.6,0.64,67682,0
EXYNW.US,D,20260520,000000,0.75,0.9999,0.71,0.72,44135,0
EXYNW.US,D,20260522,000000,0.815,0.98,0.71,0.8,11065,0
EXYNW.US,D,20260526,000000,0.05041,0.75,0.05041,0.71,6182,0
EXYNW.US,D,20260527,000000,0.5601,0.5601,0.56,0.56,3500,0
EXYNW.US,D,20260528,000000,0.8,0.8,0.6515,0.73,2926,0
EXYNW.US,D,20260529,000000,0.8499,0.85,0.73,0.8,42327,0
EXYNW.US,D,20260601,000000,0.9,0.9,0.666,0.85,12504,0
EXYNW.US,D,20260602,000000,0.71,0.71,0.645,0.645,27625,0
EXYNW.US,D,20260603,000000,0.8488,0.95,0.6501,0.71,18238,0
EXYNW.US,D,20260604,000000,0.8874,0.89,0.752,0.7525,25255,0
EXYNW.US,D,20260605,000000,0.8317,1.02,0.774999,0.8,21551,0
EXYNW.US,D,20260608,000000,0.78,0.85,0.78,0.85,1023,0
EXYNW.US,D,20260609,000000,0.85,1,0.85,0.97,3208,0
EXYNW.US,D,20260610,000000,0.8988,1.15,0.8883,1.0172,40296,0
EXYNW.US,D,20260611,000000,0.85,0.9,0.81,0.9,9475,0
EXYNW.US,D,20260612,000000,0.9009,0.97,0.75,0.91,3078,0
EXYNW.US,D,20260615,000000,0.975,1.25,0.95,1,9090,0
EXYNW.US,D,20260616,000000,1.11,1.39,1,1.15,8931,0
EXYNW.US,D,20260617,000000,1.25,1.25,1.0687,1.15,1490,0
EXYNW.US,D,20260618,000000,0.7601,1.2,0.7601,1,4879,0
EXYNW.US,D,20260623,000000,1.1202,1.45,0.99,1.25,15838,0
EXYNW.US,D,20260624,000000,1.27,1.31,1.01,1.01,8153,0
