<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCXG.US,D,20260219,000000,14.55,14.9791,14.31,14.9791,2990,0
FCXG.US,D,20260220,000000,14.95,15.8699,14.95,15.8408,1729,0
FCXG.US,D,20260223,000000,16.12,16.385,16.03,16.385,5937,0
FCXG.US,D,20260224,000000,17.32,18.15,17.18,18.0011,58397,0
FCXG.US,D,20260225,000000,18.59,18.59,17.74,18.0737,25100,0
FCXG.US,D,20260226,000000,17.45,17.79,16.0001,17.79,30578,0
FCXG.US,D,20260227,000000,17.88,18.01,16.67,17.29,15365,0
FCXG.US,D,20260302,000000,17.01,17.85,16.75,17.7487,8460,0
FCXG.US,D,20260303,000000,15.52,16.25,14.21,16.24,55606,0
FCXG.US,D,20260304,000000,16.99,17.2,16.77,16.77,3060,0
FCXG.US,D,20260305,000000,15.5,15.55,14.41,14.815,5884,0
FCXG.US,D,20260306,000000,13.6902,13.89,13.07,13.25,8229,0
FCXG.US,D,20260309,000000,12.41,13.545,11.8,13.545,9343,0
FCXG.US,D,20260310,000000,13.965,14.95,13.965,14.5651,32853,0
FCXG.US,D,20260311,000000,13.77,14.25,13.46,14.2096,12514,0
FCXG.US,D,20260312,000000,13.7,13.7,13.05,13.1239,3013,0
FCXG.US,D,20260313,000000,12.73,12.746,11.71,11.8051,32400,0
FCXG.US,D,20260316,000000,12.31,12.5298,12.17,12.5298,9002,0
FCXG.US,D,20260317,000000,12.746,12.746,12.55,12.5525,4803,0
FCXG.US,D,20260318,000000,12.24,12.24,11.32,11.4174,14887,0
FCXG.US,D,20260319,000000,9.72,10.8,9.5333,10.6599,24927,0
FCXG.US,D,20260320,000000,10.82,10.82,9.93,10.022,13690,0
FCXG.US,D,20260323,000000,11.09,11.24,10.5801,11.1403,16186,0
FCXG.US,D,20260324,000000,10.98,11.83,10.925,11.7629,15349,0
FCXG.US,D,20260325,000000,12.41,12.41,12,12.0411,16369,0
FCXG.US,D,20260326,000000,11.28,11.53,11.12,11.4933,11419,0
FCXG.US,D,20260327,000000,11.205,11.98,11.205,11.6324,3718,0
FCXG.US,D,20260330,000000,12.27,12.27,10.88,10.961,13220,0
FCXG.US,D,20260331,000000,11.85,12.71,11.85,12.6482,7948,0
FCXG.US,D,20260401,000000,13.105,13.99,13.105,13.6869,9023,0
FCXG.US,D,20260402,000000,13.025,14.1,13.025,13.6849,23668,0
FCXG.US,D,20260406,000000,13.45,13.62,13.395,13.5713,2103,0
FCXG.US,D,20260407,000000,13.37,13.5,13.185,13.3962,4694,0
FCXG.US,D,20260408,000000,15.18,15.55,14.85,15.3522,14476,0
FCXG.US,D,20260409,000000,15.495,16.03,15.27,15.9686,7262,0
FCXG.US,D,20260410,000000,16.6,16.8101,16.3805,16.6511,10882,0
FCXG.US,D,20260413,000000,16.9217,17.5,16.4,16.7666,8548,0
FCXG.US,D,20260414,000000,16.8,17.08,16.71,16.8398,14998,0
FCXG.US,D,20260415,000000,17.04,17.13,16.77,17.0522,8372,0
FCXG.US,D,20260416,000000,17.29,17.29,16.7156,16.8801,6507,0
FCXG.US,D,20260417,000000,17,18,17,17.7812,9015,0
FCXG.US,D,20260420,000000,17.68,18,17.65,17.7715,5100,0
FCXG.US,D,20260421,000000,17.75,17.9,16.46,16.5016,5436,0
FCXG.US,D,20260422,000000,17.39,17.8,17.39,17.7622,19260,0
FCXG.US,D,20260423,000000,13.06,15.1,13.06,13.3453,67986,0
FCXG.US,D,20260424,000000,13.3,13.695,12.66,13.1496,25504,0
FCXG.US,D,20260427,000000,13.15,13.15,12.5,12.8968,12677,0
FCXG.US,D,20260428,000000,12.505,12.505,11.831,11.8896,22007,0
FCXG.US,D,20260429,000000,11.5,11.605,11.275,11.3552,10714,0
FCXG.US,D,20260430,000000,12,12,11.46,11.6882,17856,0
FCXG.US,D,20260501,000000,11.93,11.93,11.26,11.2801,50003,0
FCXG.US,D,20260504,000000,11.24,11.35,10.8,10.8957,13949,0
FCXG.US,D,20260505,000000,11.53,11.8,11.225,11.6622,58685,0
FCXG.US,D,20260506,000000,12.85,13.05,12.5,12.93,55109,0
FCXG.US,D,20260507,000000,13.28,13.6,12.56,12.7805,28980,0
