<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRTT.US,D,20260608,000000,3.88,4.09,2.66,3.4,115510,0
FRTT.US,D,20260609,000000,3.18,3.18,2.041,2.64,97422,0
FRTT.US,D,20260610,000000,2.42,2.78,2.01,2.78,45998,0
FRTT.US,D,20260611,000000,2.77,2.78,2.46,2.68,75179,0
FRTT.US,D,20260612,000000,2.54,2.65,1.9501,2.2,434859,0
FRTT.US,D,20260615,000000,2.25,2.26,2.07,2.11,46353,0
FRTT.US,D,20260616,000000,2.15,2.4,1.7,2.01,239890,0
FRTT.US,D,20260617,000000,1.96,2.1,1.7,1.91,75067,0
FRTT.US,D,20260618,000000,1.92,2.03,1.8001,1.92,30492,0
FRTT.US,D,20260622,000000,1.955,1.955,1.75,1.76,20122,0
FRTT.US,D,20260623,000000,1.855,1.9156,1.75,1.77,20472,0
FRTT.US,D,20260624,000000,3.14,3.9199,1.12,1.27,78624633,0
