<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVNNU.US,D,20260601,000000,11.19,11.19,11.19,11.19,211,0
FVNNU.US,D,20260602,000000,11.19,12.04,10.81,10.81,5219,0
FVNNU.US,D,20260603,000000,10.9,10.9,10.8,10.8,422,0
FVNNU.US,D,20260604,000000,11.05,11.09,10.81,11.09,923,0
FVNNU.US,D,20260605,000000,11,11,10.81,10.81,367,0
FVNNU.US,D,20260608,000000,11.09,11.09,11.09,11.09,141,0
FVNNU.US,D,20260609,000000,11.19,11.29,11.19,11.29,906,0
FVNNU.US,D,20260611,000000,11.39,13,11.39,12.15,7427,0
FVNNU.US,D,20260612,000000,11.5,11.5,11.5,11.5,109,0
FVNNU.US,D,20260615,000000,11.5,13.1,11.21,11.21,4968,0
FVNNU.US,D,20260616,000000,10.88,10.88,10.88,10.88,162,0
FVNNU.US,D,20260617,000000,11.69,11.7,11,11.7,2575,0
FVNNU.US,D,20260618,000000,10.95,11.19,10.91,11.19,3807,0
FVNNU.US,D,20260624,000000,11.03,11.03,11.02,11.02,492,0
