<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIBO.US,D,20250512,000000,1194,1214,820,1040,4841.9,0
GIBO.US,D,20250513,000000,866,941.8,766.1,780,1120.45,0
GIBO.US,D,20250514,000000,666,840,600,780,2273.8,0
GIBO.US,D,20250515,000000,780,838,780,806,324.88,0
GIBO.US,D,20250516,000000,894,894,752,756,1520.07,0
GIBO.US,D,20250519,000000,722,754.4,622,640,500.475,0
GIBO.US,D,20250520,000000,656,700,628,646,118.12,0
GIBO.US,D,20250521,000000,650,685.66,646,674,166.695,0
GIBO.US,D,20250522,000000,660,709.66,638,694,439.165,0
GIBO.US,D,20250523,000000,668,790,640,743,1322.3,0
GIBO.US,D,20250527,000000,770,780,660,670,2069.43,0
GIBO.US,D,20250528,000000,660,696,600,600,2029.21,0
GIBO.US,D,20250529,000000,638,638,560,574,1843.54,0
GIBO.US,D,20250530,000000,616,616,458,508,1919,0
GIBO.US,D,20250602,000000,522,524,380,452,1716.42,0
GIBO.US,D,20250603,000000,472,538,426.04,538,2542.82,0
GIBO.US,D,20250604,000000,530,533.16,420,450,2783.65,0
GIBO.US,D,20250605,000000,444,460,400,420,3129.74,0
GIBO.US,D,20250606,000000,432,442,410,432,3000.75,0
GIBO.US,D,20250609,000000,430,430,368,392,1622.11,0
GIBO.US,D,20250610,000000,388,400,384,395,556.08,0
GIBO.US,D,20250611,000000,400,406,354,356,726.395,0
GIBO.US,D,20250612,000000,358,358,314.02,324,1075.51,0
GIBO.US,D,20250613,000000,324,350,268,322,3041.23,0
GIBO.US,D,20250616,000000,326,332,279,306,2578.04,0
GIBO.US,D,20250617,000000,310,320,278,312,4090.91,0
GIBO.US,D,20250618,000000,300,315.84,280,286,4898.27,0
GIBO.US,D,20250620,000000,288,288,164,188,8773.78,0
GIBO.US,D,20250623,000000,187.9,190,112.98,113.2,18562.1,0
GIBO.US,D,20250624,000000,123.02,123.02,70,72.32,144652,0
GIBO.US,D,20250625,000000,68.3,70,53.76,62.34,65816.6,0
GIBO.US,D,20250626,000000,59.82,60.46,54.48,58,22361.7,0
GIBO.US,D,20250627,000000,54,54.38,38.6,42.74,47926.2,0
GIBO.US,D,20250630,000000,40,41.98,25,29.2,78555.3,0
GIBO.US,D,20250701,000000,28,28,20.2,21.82,129874,0
GIBO.US,D,20250702,000000,18.72,26.22,16.38,23.72,326796,0
GIBO.US,D,20250703,000000,19.48,20.44,16.64,16.7,214759,0
