<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLNDW.US,D,20260428,000000,0.7,0.99,0.675,0.9896,4312335,0
GLNDW.US,D,20260429,000000,1,1.1,0.95,1.0799,2006432,0
GLNDW.US,D,20260430,000000,1.12,1.2,1.03,1.04,1225769,0
GLNDW.US,D,20260501,000000,1.1,1.1,0.9208,0.9865,72690,0
GLNDW.US,D,20260504,000000,1,1.03,0.8558,0.8897,354628,0
GLNDW.US,D,20260505,000000,0.97,0.97,0.91,0.9399,93876,0
GLNDW.US,D,20260506,000000,0.9399,1,0.885,0.9108,111909,0
GLNDW.US,D,20260507,000000,0.93,1.15,0.8224,1,319624,0
GLNDW.US,D,20260508,000000,1.03,1.12,1.005,1.03,92339,0
GLNDW.US,D,20260511,000000,1.24,1.24,1.01,1.06,72704,0
GLNDW.US,D,20260512,000000,1.13,1.21,1.04,1.13,97195,0
GLNDW.US,D,20260513,000000,1.24,1.25,1.13,1.21,28004,0
GLNDW.US,D,20260514,000000,1.26,1.26,1.16,1.175,16562,0
GLNDW.US,D,20260515,000000,1.21,1.22,1.1599,1.16,41165,0
GLNDW.US,D,20260518,000000,1.35,1.35,1.1301,1.2,66540,0
GLNDW.US,D,20260519,000000,1.19,1.24,1.16,1.18,12343,0
GLNDW.US,D,20260520,000000,1.25,1.25,1.05,1.135,75164,0
GLNDW.US,D,20260521,000000,1.155,1.255,1.1,1.13,82140,0
GLNDW.US,D,20260522,000000,1.16,1.23,1.1,1.2,153230,0
GLNDW.US,D,20260526,000000,1.35,1.415,1.265,1.34,774193,0
GLNDW.US,D,20260527,000000,1.39,1.4,1.11,1.13,443815,0
GLNDW.US,D,20260528,000000,1.17,1.23,1.13,1.19,194863,0
GLNDW.US,D,20260529,000000,1.27,1.27,1.16,1.22,50616,0
GLNDW.US,D,20260601,000000,1.32,1.35,1.24,1.25,161577,0
GLNDW.US,D,20260602,000000,1.25,1.31,1.23,1.25,54148,0
GLNDW.US,D,20260603,000000,1.275,1.28,1.17,1.2,110066,0
GLNDW.US,D,20260604,000000,1.2,1.22,1.15,1.18,50604,0
GLNDW.US,D,20260605,000000,1.19,1.2,1.05,1.08,41816,0
GLNDW.US,D,20260608,000000,1.17,1.22,1.15,1.22,25156,0
GLNDW.US,D,20260609,000000,1.16,1.21,1.065,1.1,110690,0
GLNDW.US,D,20260610,000000,1.1514,1.2198,1.05,1.09,29997,0
GLNDW.US,D,20260611,000000,1.12,1.15,1.055,1.1,79206,0
GLNDW.US,D,20260612,000000,1.11,1.1891,1.05,1.1,30493,0
GLNDW.US,D,20260615,000000,1.19,1.21,0.95,0.9826,159945,0
GLNDW.US,D,20260616,000000,1,1.05,0.9875,0.99,158250,0
GLNDW.US,D,20260617,000000,1.05,1.25,1.01,1.03,220401,0
GLNDW.US,D,20260618,000000,1.12,1.2,1.08,1.1502,70765,0
GLNDW.US,D,20260622,000000,1.12,1.19,1.08,1.1,119276,0
GLNDW.US,D,20260623,000000,1.1,1.12,1.08,1.11,32663,0
GLNDW.US,D,20260624,000000,1.1,1.1,0.99,1,95907,0
