<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSGO.US,D,20251117,000000,39.84,39.955,39.345,39.6206,14594,0
GSGO.US,D,20251118,000000,38.85,39.4,38.85,39.127,9618,0
GSGO.US,D,20251119,000000,39.08,39.6278,39.08,39.4297,28709,0
GSGO.US,D,20251120,000000,40.21,40.2272,38.51,38.5559,27385,0
GSGO.US,D,20251121,000000,38.44,39.07,38.3604,38.6723,6758,0
GSGO.US,D,20251124,000000,39.46,39.65,39.43,39.613,31237,0
GSGO.US,D,20251125,000000,39.51,39.8783,39.21,39.8783,20331,0
GSGO.US,D,20251126,000000,40.28,40.37,40.17,40.2546,11318,0
GSGO.US,D,20251128,000000,40.04,40.3978,40.04,40.3978,3795,0
GSGO.US,D,20251201,000000,40.1224,40.375,40.1224,40.2522,12634,0
GSGO.US,D,20251202,000000,40.61,40.61,40.415,40.4772,953,0
GSGO.US,D,20251203,000000,40.08,40.55,40.08,40.4341,11386,0
GSGO.US,D,20251204,000000,40.4242,40.4838,40.38,40.4838,3267,0
GSGO.US,D,20251205,000000,40.92,40.92,40.54,40.6076,5406,0
GSGO.US,D,20251208,000000,40.57,40.66,40.47,40.572,6407,0
GSGO.US,D,20251209,000000,40.7113,40.7199,40.5907,40.5934,3501,0
GSGO.US,D,20251210,000000,40.5,40.79,40.4,40.7226,5920,0
GSGO.US,D,20251211,000000,39.96,40.63,39.96,40.6163,12680,0
GSGO.US,D,20251212,000000,40.1901,40.1901,39.77,39.905,5425,0
GSGO.US,D,20251215,000000,39.9585,39.9599,39.785,39.785,6818,0
GSGO.US,D,20251216,000000,39.21,39.885,39.21,39.885,13492,0
GSGO.US,D,20251217,000000,39.61,39.61,39.07,39.095,4843,0
GSGO.US,D,20251218,000000,39.93,39.93,39.46,39.5594,5631,0
GSGO.US,D,20251219,000000,39.99,40.1481,39.97,40.14,13535,0
GSGO.US,D,20251222,000000,40.395,40.416,40.375,40.4099,11444,0
GSGO.US,D,20251223,000000,40.05,40.6922,40.05,40.6922,6594,0
GSGO.US,D,20251224,000000,40.66,40.81,40.66,40.7722,3770,0
GSGO.US,D,20251226,000000,40.39,40.81,40.39,40.788,4268,0
GSGO.US,D,20251229,000000,40.4113,40.526,40.4113,40.526,11748,0
GSGO.US,D,20251230,000000,40.5,40.61,40.4796,40.4796,9616,0
GSGO.US,D,20251231,000000,40.32,40.38,40.1613,40.1613,3173,0
GSGO.US,D,20260102,000000,40.2,40.27,39.9201,40.1406,33428,0
GSGO.US,D,20260105,000000,39.99,40.46,39.99,40.3098,3804,0
GSGO.US,D,20260106,000000,40.54,40.64,40.3803,40.6284,3635,0
GSGO.US,D,20260107,000000,40.87,40.95,40.61,40.6522,8207,0
GSGO.US,D,20260108,000000,41.06,41.06,40.15,40.284,5860,0
GSGO.US,D,20260109,000000,40.08,40.63,40.08,40.5837,3905,0
GSGO.US,D,20260112,000000,40.58,40.6827,40.58,40.6231,2361,0
GSGO.US,D,20260113,000000,40.38,40.5801,40.27,40.4822,6096,0
GSGO.US,D,20260114,000000,39.9,39.9,39.66,39.8844,1893,0
GSGO.US,D,20260115,000000,40.05,40.23,39.9649,39.9649,4757,0
GSGO.US,D,20260116,000000,40.08,40.17,39.93,40.0453,17263,0
GSGO.US,D,20260120,000000,39.57,39.57,39,39.0342,10739,0
GSGO.US,D,20260121,000000,39.09,39.6567,39.04,39.4211,6522,0
GSGO.US,D,20260122,000000,39.65,39.8475,39.61,39.7429,10967,0
GSGO.US,D,20260123,000000,40.08,40.08,39.675,39.9246,18649,0
GSGO.US,D,20260126,000000,40.11,40.27,40.11,40.1558,8511,0
GSGO.US,D,20260127,000000,40.44,40.593,40.43,40.5045,7792,0
GSGO.US,D,20260128,000000,40.59,40.61,40.35,40.5263,14454,0
GSGO.US,D,20260129,000000,40.66,40.66,39.741,40.2759,10575,0
GSGO.US,D,20260130,000000,40.22,40.22,39.76,39.8665,5166,0
GSGO.US,D,20260202,000000,39.19,40.21,39.19,40.0106,11185,0
GSGO.US,D,20260203,000000,39.91,40.13,39.03,39.3474,6473,0
GSGO.US,D,20260204,000000,39.0354,39.04,38.4,38.7631,5490,0
GSGO.US,D,20260205,000000,37.98,38.31,37.9576,37.9576,2362,0
GSGO.US,D,20260206,000000,37.86,38.97,37.86,38.9383,6354,0
GSGO.US,D,20260209,000000,38.95,39.53,38.9,39.4028,6886,0
GSGO.US,D,20260210,000000,39.55,39.58,39.2594,39.2594,3930,0
GSGO.US,D,20260211,000000,39.14,39.314,39.02,39.1935,19354,0
GSGO.US,D,20260212,000000,39.44,39.44,38.3017,38.3017,5117,0
GSGO.US,D,20260213,000000,38.56,38.56,38.12,38.2325,2970,0
GSGO.US,D,20260217,000000,38.11,38.4063,37.95,38.4063,2553,0
GSGO.US,D,20260218,000000,38.94,38.9401,38.63,38.7889,5397,0
GSGO.US,D,20260219,000000,38.68,38.77,38.321,38.69,8245,0
GSGO.US,D,20260220,000000,38.46,39.02,38.46,39.0162,3561,0
GSGO.US,D,20260223,000000,38.89,38.89,38.29,38.3663,5600,0
GSGO.US,D,20260224,000000,38.15,38.8,38.15,38.7881,6342,0
GSGO.US,D,20260225,000000,39.21,39.24,39.2,39.2317,2000,0
GSGO.US,D,20260226,000000,38.66,38.895,38.66,38.8741,10066,0
GSGO.US,D,20260227,000000,38.51,38.51,38.2805,38.4554,1401,0
GSGO.US,D,20260302,000000,37.79,38.6843,37.79,38.6843,3851,0
GSGO.US,D,20260303,000000,37.87,38.4025,37.858,38.3,7369,0
GSGO.US,D,20260304,000000,38.47,38.7601,38.38,38.7,1677,0
GSGO.US,D,20260305,000000,38.68,38.68,38.19,38.59,12133,0
GSGO.US,D,20260306,000000,38.15,38.3,37.88,37.95,2192,0
GSGO.US,D,20260309,000000,37.54,37.97,37.54,37.97,2584,0
GSGO.US,D,20260310,000000,38.475,38.75,38.475,38.75,1721,0
GSGO.US,D,20260311,000000,38.56,38.59,38.331,38.4962,12886,0
GSGO.US,D,20260312,000000,38.15,38.21,37.7461,37.7461,16383,0
GSGO.US,D,20260313,000000,38.05,38.05,37.37,37.4031,6695,0
GSGO.US,D,20260316,000000,37.99,37.99,37.79,37.8708,2671,0
GSGO.US,D,20260317,000000,38.08,38.08,37.865,37.9076,5710,0
GSGO.US,D,20260318,000000,37.86,37.93,37.43,37.4523,2025,0
GSGO.US,D,20260319,000000,36.95,37.3466,36.95,37.3466,1622,0
GSGO.US,D,20260320,000000,37.09,37.12,36.39,36.6157,9693,0
GSGO.US,D,20260323,000000,37.5,37.5,37.2173,37.2173,1520,0
GSGO.US,D,20260324,000000,36.9,37.08,36.84,36.9463,1892,0
GSGO.US,D,20260325,000000,37.34,37.39,37.08,37.1686,3306,0
GSGO.US,D,20260326,000000,37,37,36.16,36.1806,18461,0
GSGO.US,D,20260327,000000,35.89,35.89,35.4109,35.4426,3813,0
GSGO.US,D,20260330,000000,35.88,35.88,35.012,35.1272,5562,0
GSGO.US,D,20260331,000000,35.56,36.64,35.56,36.5619,142747,0
GSGO.US,D,20260401,000000,36.79,37.3,36.79,37.0327,5494,0
GSGO.US,D,20260402,000000,36.7,37.11,36.3,37.0401,9537,0
GSGO.US,D,20260406,000000,37.1,37.21,37.02,37.191,12296,0
GSGO.US,D,20260407,000000,37.02,37.3205,36.7911,37.3205,3231,0
GSGO.US,D,20260408,000000,38.64,38.68,38.2401,38.3799,83864,0
GSGO.US,D,20260409,000000,38.32,38.6673,38.26,38.6673,4722,0
GSGO.US,D,20260410,000000,38.84,38.91,38.78,38.7981,2533,0
GSGO.US,D,20260413,000000,38.87,39.2175,38.826,39.2175,20396,0
GSGO.US,D,20260414,000000,39.59,39.96,39.5535,39.9258,6120,0
GSGO.US,D,20260415,000000,39.94,40.511,39.94,40.511,1388,0
GSGO.US,D,20260416,000000,40.54,40.55,40.44,40.5348,5289,0
GSGO.US,D,20260417,000000,41.03,41.34,41.03,41.2612,3307,0
GSGO.US,D,20260420,000000,41.12,41.1825,41.01,41.1825,1472,0
GSGO.US,D,20260421,000000,41.04,41.07,40.8654,40.8654,2872,0
GSGO.US,D,20260422,000000,41.28,41.5741,41.28,41.5741,890,0
