<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GUACU.US,D,20260515,000000,10,10.02,9.98,10.005,6150202,0
GUACU.US,D,20260518,000000,10,10.03,10,10,146797,0
GUACU.US,D,20260519,000000,10.03,10.03,10,10,237658,0
GUACU.US,D,20260520,000000,10.03,10.05,10,10.01,48246,0
GUACU.US,D,20260521,000000,10.04,10.04,10.01,10.015,90226,0
GUACU.US,D,20260522,000000,10.5,11,10.01,10.04,766312,0
GUACU.US,D,20260526,000000,10.04,10.045,10.03,10.04,14644,0
GUACU.US,D,20260527,000000,10.03,10.075,10.02,10.03,231653,0
GUACU.US,D,20260528,000000,10.06,10.06,10.03,10.04,2896,0
GUACU.US,D,20260601,000000,10.1,10.1,10.03,10.03,5680,0
GUACU.US,D,20260602,000000,10.065,10.065,10.065,10.065,4634,0
GUACU.US,D,20260603,000000,10.08,10.1,10.08,10.1,11744,0
GUACU.US,D,20260604,000000,10.08,10.1,10.07,10.085,3589,0
GUACU.US,D,20260605,000000,10.075,10.1,10.05,10.05,846,0
GUACU.US,D,20260608,000000,10.05,10.08,10.05,10.08,1102,0
GUACU.US,D,20260609,000000,10.05,10.05,10.05,10.05,617,0
GUACU.US,D,20260610,000000,10.1,10.12,10.1,10.1,239305,0
GUACU.US,D,20260611,000000,10.1,10.1,10.1,10.1,60189,0
GUACU.US,D,20260612,000000,10.1,10.1,10.08,10.085,116941,0
GUACU.US,D,20260615,000000,10.1104,10.1104,10.09,10.1,1677,0
GUACU.US,D,20260616,000000,10.11,10.11,10.1,10.11,15706,0
GUACU.US,D,20260617,000000,10.12,10.12,10.12,10.12,6221,0
GUACU.US,D,20260618,000000,10.12,10.12,10.11,10.11,1619,0
GUACU.US,D,20260622,000000,10.12,10.13,10.09,10.13,784146,0
GUACU.US,D,20260623,000000,10.15,10.15,10.12,10.12,6182,0
