<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HACQW.US,D,20260406,000000,0.9,0.9,0.62,0.62,2000,0
HACQW.US,D,20260408,000000,0.52,0.52,0.5,0.5,113291,0
HACQW.US,D,20260409,000000,0.5,0.5,0.5,0.5,250,0
HACQW.US,D,20260414,000000,0.5,0.5,0.5,0.5,110,0
HACQW.US,D,20260416,000000,0.57,0.57,0.57,0.57,149748,0
HACQW.US,D,20260417,000000,0.57,0.6,0.57,0.575,126354,0
HACQW.US,D,20260420,000000,0.6,0.6,0.6,0.6,100,0
HACQW.US,D,20260422,000000,0.57,0.57,0.57,0.57,4290,0
HACQW.US,D,20260427,000000,0.62,0.62,0.57,0.57,850,0
HACQW.US,D,20260504,000000,0.57,0.57,0.57,0.57,341,0
HACQW.US,D,20260507,000000,0.55,0.55,0.51,0.51,200,0
HACQW.US,D,20260508,000000,0.5,0.55,0.5,0.55,13904,0
HACQW.US,D,20260511,000000,0.5,0.57,0.5,0.55,1200,0
HACQW.US,D,20260512,000000,0.5,0.57,0.5,0.57,3650,0
HACQW.US,D,20260513,000000,0.5302,0.6431,0.5302,0.615,3921,0
HACQW.US,D,20260514,000000,0.57,0.57,0.57,0.57,1254,0
HACQW.US,D,20260520,000000,0.57,0.57,0.57,0.57,800,0
HACQW.US,D,20260526,000000,0.56,0.56,0.45,0.49,11596,0
HACQW.US,D,20260527,000000,0.51,0.51,0.51,0.51,2500,0
HACQW.US,D,20260528,000000,0.53,0.53,0.5,0.5,11001,0
HACQW.US,D,20260529,000000,0.52,0.52,0.52,0.52,722,0
HACQW.US,D,20260601,000000,0.4593,0.53,0.4593,0.53,5500,0
HACQW.US,D,20260602,000000,0.55,0.55,0.55,0.55,8100,0
HACQW.US,D,20260605,000000,0.55,0.55,0.55,0.55,3495,0
HACQW.US,D,20260610,000000,0.6,0.6,0.48,0.48,1430,0
HACQW.US,D,20260616,000000,0.542,0.542,0.49,0.49,1900,0
HACQW.US,D,20260622,000000,0.471,0.471,0.471,0.471,165,0
