<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCACR.US,D,20260127,000000,0.2,0.22,0.2,0.21,892376,0
HCACR.US,D,20260128,000000,0.23,0.24,0.23,0.23,576800,0
HCACR.US,D,20260129,000000,0.24,0.25,0.23,0.25,355280,0
HCACR.US,D,20260130,000000,0.24,0.26,0.24,0.26,52100,0
HCACR.US,D,20260202,000000,0.26,0.28,0.25,0.270049,67967,0
HCACR.US,D,20260203,000000,0.2501,0.2501,0.2501,0.2501,1001,0
HCACR.US,D,20260205,000000,0.2501,0.2743,0.25,0.25,1111797,0
HCACR.US,D,20260206,000000,0.25,0.25,0.248,0.25,100410,0
HCACR.US,D,20260212,000000,0.25,0.25,0.25,0.25,12968,0
HCACR.US,D,20260217,000000,0.265,0.265,0.265,0.265,400,0
HCACR.US,D,20260316,000000,0.244,0.244,0.24,0.244,500,0
HCACR.US,D,20260318,000000,0.25,0.25,0.235,0.235,302,0
HCACR.US,D,20260319,000000,0.23,0.23,0.23,0.23,100,0
HCACR.US,D,20260320,000000,0.24,0.24,0.24,0.24,981,0
HCACR.US,D,20260323,000000,0.24,0.24,0.233,0.233,24642,0
HCACR.US,D,20260327,000000,0.22,0.24,0.22,0.24,76363,0
HCACR.US,D,20260401,000000,0.3,0.35,0.3,0.34,4728913,0
HCACR.US,D,20260402,000000,0.3208,0.34,0.3208,0.34,71640,0
HCACR.US,D,20260406,000000,0.34,0.34,0.32,0.3398,71128,0
HCACR.US,D,20260407,000000,0.3101,0.3399,0.3101,0.3179,5300,0
HCACR.US,D,20260408,000000,0.3,0.3,0.28,0.28,59366,0
HCACR.US,D,20260413,000000,0.3,0.3,0.3,0.3,2010,0
HCACR.US,D,20260416,000000,0.3001,0.3001,0.3,0.3,6590,0
HCACR.US,D,20260417,000000,0.3001,0.32,0.3001,0.32,7000,0
HCACR.US,D,20260421,000000,0.3001,0.305,0.3001,0.305,7517,0
HCACR.US,D,20260422,000000,0.3,0.3,0.3,0.3,132,0
HCACR.US,D,20260424,000000,0.3001,0.3001,0.3,0.3,1149,0
HCACR.US,D,20260428,000000,0.32,0.32,0.3,0.3,8000,0
HCACR.US,D,20260429,000000,0.31,0.32,0.31,0.32,4244,0
HCACR.US,D,20260430,000000,0.32,0.34,0.32,0.33,8983,0
HCACR.US,D,20260501,000000,0.32,0.32,0.32,0.32,302,0
HCACR.US,D,20260504,000000,0.32,0.32,0.318,0.318,302,0
HCACR.US,D,20260505,000000,0.32,0.32,0.32,0.32,2132,0
HCACR.US,D,20260506,000000,0.3,0.32,0.3,0.3014,25914,0
HCACR.US,D,20260507,000000,0.3,0.32,0.3,0.314,37824,0
HCACR.US,D,20260508,000000,0.29,0.3143,0.29,0.3143,604,0
HCACR.US,D,20260514,000000,0.3134,0.32,0.28,0.32,1700,0
HCACR.US,D,20260520,000000,0.29,0.29,0.29,0.29,223,0
HCACR.US,D,20260521,000000,0.3,0.32,0.3,0.3,1900,0
HCACR.US,D,20260522,000000,0.3,0.305,0.29,0.29,202696,0
HCACR.US,D,20260526,000000,0.3,0.3,0.279999,0.295,7900,0
HCACR.US,D,20260601,000000,0.3301,0.3525,0.33,0.34,1016817,0
HCACR.US,D,20260602,000000,0.320102,0.33,0.32,0.33,136242,0
HCACR.US,D,20260604,000000,0.34,0.34,0.3399,0.3399,1000,0
HCACR.US,D,20260605,000000,0.33,0.33,0.31,0.31,15652,0
HCACR.US,D,20260608,000000,0.3389,0.3389,0.3099,0.31,23002,0
HCACR.US,D,20260610,000000,0.3,0.3,0.294999,0.3,7349,0
HCACR.US,D,20260611,000000,0.29,0.29,0.29,0.29,348,0
HCACR.US,D,20260612,000000,0.29,0.3,0.29,0.3,31838,0
HCACR.US,D,20260616,000000,0.3001,0.3002,0.3001,0.3002,500,0
HCACR.US,D,20260617,000000,0.3213,0.3213,0.3001,0.3001,3110,0
HCACR.US,D,20260618,000000,0.32,0.32,0.32,0.32,4906,0
HCACR.US,D,20260623,000000,0.31,0.31,0.31,0.31,1272,0
HCACR.US,D,20260624,000000,0.32,0.32,0.32,0.32,13318,0
