<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIS.US,D,20260519,000000,24.98,24.98,24.79,24.83,422993,0
HIS.US,D,20260520,000000,24.87,25.17,24.85,25.1487,191045,0
HIS.US,D,20260521,000000,25.03,25.33,24.99,25.25,121612,0
HIS.US,D,20260522,000000,25.41,25.47,25.31,25.3506,79168,0
HIS.US,D,20260526,000000,25.48,25.48,25.335,25.422,77245,0
HIS.US,D,20260527,000000,25.33,25.425,25.32,25.38,48775,0
HIS.US,D,20260528,000000,25.3964,25.75,25.3964,25.7207,36958,0
HIS.US,D,20260529,000000,25.8,25.93,25.79,25.9213,30757,0
HIS.US,D,20260601,000000,25.93,26.1992,25.875,26.1223,54158,0
HIS.US,D,20260602,000000,25.98,26.05,25.93,26.0109,59337,0
HIS.US,D,20260603,000000,25.88,25.9399,25.655,25.6976,49517,0
HIS.US,D,20260604,000000,25.67,25.875,25.67,25.8604,39176,0
HIS.US,D,20260605,000000,25.76,25.76,25.13,25.225,48272,0
HIS.US,D,20260608,000000,25.26,25.38,25.19,25.192,56035,0
HIS.US,D,20260609,000000,25.3344,25.4,24.6,25.0346,62572,0
HIS.US,D,20260610,000000,24.8632,25.01,24.655,24.6722,76038,0
HIS.US,D,20260611,000000,24.6,24.96,24.49,24.9285,52724,0
HIS.US,D,20260612,000000,25.02,25.0475,24.83,25.0224,41714,0
HIS.US,D,20260615,000000,25.31,25.57,25.31,25.48,16954,0
HIS.US,D,20260616,000000,25.43,25.45,25.345,25.3498,27567,0
HIS.US,D,20260617,000000,25.32,25.35,24.95,25.0088,18932,0
HIS.US,D,20260618,000000,25.22,25.25,25.08,25.2329,18475,0
HIS.US,D,20260622,000000,25.15,25.25,24.98,25.0007,12501,0
HIS.US,D,20260623,000000,24.7,24.905,24.7,24.7955,18167,0
HIS.US,D,20260624,000000,24.82,24.885,24.6669,24.6695,20535,0
