<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HKIT.US,D,20230331,000000,750,974.985,750,834,11597.9999988402,0
HKIT.US,D,20230403,000000,925.5,1027.5,907.65,946.5,6885.9333326447395,0
HKIT.US,D,20230404,000000,975,1000.5,810,833.25,3499.83333298335,0
HKIT.US,D,20230405,000000,814.5,839.25,660,792,2533.5999997466397,0
HKIT.US,D,20230406,000000,810,817.5,793.5,796.5,939.3933332393939,0
HKIT.US,D,20230410,000000,783,792,709.5,729,621.719999937828,0
HKIT.US,D,20230411,000000,714,756,705.015,717,345.639999965436,0
HKIT.US,D,20230412,000000,705,719.955,684,684,416.35999995836397,0
HKIT.US,D,20230413,000000,684,747,663,711,480.626666618604,0
HKIT.US,D,20230414,000000,733.5,735,720,724.875,78.819999992118,0
HKIT.US,D,20230417,000000,750,751.5,715.5,727.5,169.573333316376,0
HKIT.US,D,20230418,000000,753,823.5,735,784.5,406.473333292686,0
HKIT.US,D,20230419,000000,820.5,823.5,742.5,751.5,190.319999980968,0
HKIT.US,D,20230420,000000,738,814.5,738,750,177.886666648878,0
HKIT.US,D,20230421,000000,750.405,804,750,766.5,204.09999997959002,0
HKIT.US,D,20230424,000000,777,780,765,765,153.406666651326,0
HKIT.US,D,20230425,000000,778.5,780,769.5,772.5,77.513333325582,0
HKIT.US,D,20230426,000000,787.5,792,772.5,792,129.253333320408,0
HKIT.US,D,20230427,000000,792,801.03,787.5,787.5,174.71333331586197,0
HKIT.US,D,20230428,000000,825,867,714,858,2061.173333127216,0
HKIT.US,D,20230501,000000,843,1029.15,843,946.5,708.2399999291761,0
HKIT.US,D,20230502,000000,919.5,951,900,904.5,273.55333330597796,0
HKIT.US,D,20230503,000000,937.5,940.5,894,895.5,123.03999998769599,0
HKIT.US,D,20230504,000000,907.5,940.5,907.5,925.5,68.51999999314799,0
HKIT.US,D,20230505,000000,925.5,943.5,924,927.54,72.19999999278,0
HKIT.US,D,20230508,000000,916.5,946.5,911.91,942,233.279999976672,0
HKIT.US,D,20230509,000000,925.5,1105.5,915,939,780.279999921972,0
HKIT.US,D,20230510,000000,940.5,1057.5,940.5,1000.5,444.1133332889219,0
HKIT.US,D,20230511,000000,1040.6,1041,945,999,111.79999998882,0
HKIT.US,D,20230512,000000,1017,1031.91,974.82,999,134.719999986528,0
HKIT.US,D,20230515,000000,999,1042.5,978,997.5,199.653333313368,0
HKIT.US,D,20230516,000000,1014,1048.5,982.5,1023,157.26666665093998,0
HKIT.US,D,20230517,000000,1020,1123.5,1020,1122,300.259999969974,0
HKIT.US,D,20230518,000000,1125,1366.5,1107.15,1297.5,815.386666585128,0
HKIT.US,D,20230519,000000,1350,1572,1245.75,1263,1014.7866665651879,0
HKIT.US,D,20230522,000000,1269,1545,1269,1492.5,529.793333280354,0
HKIT.US,D,20230523,000000,1477.5,1560,1443,1482,348.61333329847196,0
HKIT.US,D,20230524,000000,1459.5,1498.5,1425,1498.5,191.353333314198,0
HKIT.US,D,20230525,000000,1482,1498.5,1428,1450.5,168.086666649858,0
HKIT.US,D,20230526,000000,1452,1491,1425.41,1491,98.886666656778,0
HKIT.US,D,20230530,000000,1447.26,1500,1351.5,1462.5,365.33999996346597,0
HKIT.US,D,20230531,000000,1478.28,1593,1461.75,1588.5,931.4133332401921,0
HKIT.US,D,20230601,000000,1650,1719.68,1575,1626,277.573333305576,0
HKIT.US,D,20230602,000000,1659,1662,1575,1620,131.54666665351198,0
HKIT.US,D,20230605,000000,1593,1620,1449,1537.52,211.57999997884198,0
HKIT.US,D,20230606,000000,1506,1611,1500.02,1590,152.806666651386,0
HKIT.US,D,20230607,000000,1538.25,1566,1509,1564.5,99.18666665674799,0
HKIT.US,D,20230608,000000,1579.5,1579.5,1491.75,1536,65.326666660134,0
HKIT.US,D,20230609,000000,1524,1545,1476,1476,105.76666665609,0
HKIT.US,D,20230612,000000,1518,1575,1455,1575,146.78666665198799,0
HKIT.US,D,20230613,000000,1503,1573.5,1503,1551,58.559999994144,0
HKIT.US,D,20230614,000000,1513.16,1558.5,1508.94,1536,32.359999996763996,0
HKIT.US,D,20230615,000000,1539,1539,1486.5,1500,59.83333332735,0
HKIT.US,D,20230616,000000,1497,1563,1495.5,1512,38.506666662815995,0
HKIT.US,D,20230620,000000,1510.26,1633.5,721.5,904.5,7245.53333260878,0
HKIT.US,D,20230621,000000,885,970.5,865.5,903,564.519999943548,0
HKIT.US,D,20230622,000000,892.5,907.5,789,790.5,426.539999957346,0
HKIT.US,D,20230623,000000,840,840,787.5,787.5,127.159999987284,0
HKIT.US,D,20230626,000000,765,780,616.5,697.5,426.63333329067,0
HKIT.US,D,20230627,000000,675,690,655.5,657,211.039999978896,0
HKIT.US,D,20230628,000000,678,810.285,678,810,1384.7466665281918,0
HKIT.US,D,20230629,000000,794.88,795,757.5,775.5,466.386666620028,0
HKIT.US,D,20230630,000000,798,808.62,735,736.5,225.986666644068,0
HKIT.US,D,20230703,000000,738,745.5,694.5,705,336.859999966314,0
HKIT.US,D,20230705,000000,705.015,739.5,705.015,717,50.026666661664,0
HKIT.US,D,20230706,000000,721.5,738.51,697.5,700.5,103.54666665631198,0
HKIT.US,D,20230707,000000,691.5,896.91,691.5,838.5,9021.273332431205,0
HKIT.US,D,20230710,000000,802.5,840,720,825,1296.8733332036459,0
HKIT.US,D,20230711,000000,825,906,754.5,886.5,1150.073333218326,0
HKIT.US,D,20230712,000000,843,1078.5,820.755,916.5,7112.653332622067,0
HKIT.US,D,20230713,000000,916.5,960,864,912,2032.5666664634098,0
HKIT.US,D,20230714,000000,910.5,949.5,886.5,937.5,739.553333259378,0
HKIT.US,D,20230717,000000,910.5,934.5,894,906,235.31999997646798,0
HKIT.US,D,20230718,000000,907.5,913.5,750,777,10463.726665620294,0
HKIT.US,D,20230719,000000,756,795,750,763.5,1186.1399998813858,0
HKIT.US,D,20230720,000000,790.5,963,786,876,9054.653332427868,0
HKIT.US,D,20230721,000000,861,993,847.5,993,5392.193332794113,0
HKIT.US,D,20230724,000000,880.5,997.5,832.5,975,5328.959999467104,0
HKIT.US,D,20230725,000000,928.5,1050,925.5,1032,502.63999994973597,0
HKIT.US,D,20230726,000000,979.5,1216.5,964.5,1171.5,2132.706666453396,0
HKIT.US,D,20230727,000000,1171.5,1366.5,1166.55,1278,1862.393333147094,0
HKIT.US,D,20230728,000000,1312.5,1527,1285.5,1492.49,2290.7466664375916,0
HKIT.US,D,20230731,000000,1440,1564.31,1358.69,1360.5,1132.26666655344,0
HKIT.US,D,20230801,000000,1429.5,1439.25,1275,1360.5,593.393333273994,0
HKIT.US,D,20230802,000000,1339.5,1483.5,1279.5,1470,2066.19999979338,0
HKIT.US,D,20230803,000000,1395,1620,1395,1590,990.326666567634,0
HKIT.US,D,20230804,000000,1602,1605,1504.5,1522.5,521.36666661453,0
HKIT.US,D,20230807,000000,1530,1567.5,1500,1567.5,353.99999996459997,0
HKIT.US,D,20230808,000000,1473,1874.99,1464,1620,1376.246666529042,0
HKIT.US,D,20230809,000000,1624.5,1725,1590,1621.5,904.5133332428819,0
HKIT.US,D,20230810,000000,1650.17,1725,1633.5,1657.5,352.43999996475594,0
HKIT.US,D,20230811,000000,1798.5,2054.99,1674,2008.5,4331.7666662334905,0
HKIT.US,D,20230814,000000,1893,2470.49,1881,2238,2440.906666422576,0
HKIT.US,D,20230815,000000,2325,2475,2238,2400,1378.1799998621818,0
HKIT.US,D,20230816,000000,2439,2730,2418,2640,7499.026665916764,0
HKIT.US,D,20230817,000000,2601,3348,1282.5,2731.5,26728.31999732717,0
HKIT.US,D,20230818,000000,2599.5,4060.5,2538.84,3223.5,12009.339998799067,0
HKIT.US,D,20230821,000000,3205.5,3375,3031.5,3375,1669.0399998330959,0
HKIT.US,D,20230822,000000,3547.5,5056.5,3528,4170,5866.273332746706,0
HKIT.US,D,20230823,000000,4612.5,5700,4500,5092.5,6229.63333271037,0
HKIT.US,D,20230824,000000,5448,5969.43,4215,5100,6957.366665970931,0
HKIT.US,D,20230825,000000,4581,4945.5,4350,4725,2242.506666442416,0
HKIT.US,D,20230828,000000,4342.5,4710,3766.8,4099.5,1512.9333331820399,0
HKIT.US,D,20230829,000000,3600,4230,2230.5,3703.5,6123.539999387645,0
HKIT.US,D,20230830,000000,3714,3714,3390,3486,352.513333298082,0
HKIT.US,D,20230831,000000,3435,3889.5,3300,3702,630.13333327032,0
HKIT.US,D,20230901,000000,3748.5,4876.44,3678,4618.5,2933.593333039974,0
HKIT.US,D,20230905,000000,4722,5025,3900,4104,3219.4866663447183,0
HKIT.US,D,20230906,000000,4777.5,4972.5,540,540,84374.31999156256,0
HKIT.US,D,20230907,000000,693,787.5,547.5,636,81569.81332517635,0
HKIT.US,D,20230908,000000,607.5,615,451.5,477,22060.139997793984,0
HKIT.US,D,20230911,000000,442.5,445.5,352.5,352.5,15871.759998412823,0
HKIT.US,D,20230912,000000,336,457.5,315.015,361.5,35032.29332983011,0
HKIT.US,D,20230913,000000,348,366.945,321,343.5,6910.819999308917,0
HKIT.US,D,20230914,000000,336,352.5,322.5,325.5,4242.306666242435,0
HKIT.US,D,20230915,000000,333,363,319.5,352.5,9379.999999062,0
HKIT.US,D,20230918,000000,346.5,405,339,370.5,7859.573332547376,0
HKIT.US,D,20230919,000000,366,400.5,355.5,400.5,3007.26666636594,0
HKIT.US,D,20230920,000000,390,403.5,349.5,354,3524.89999964751,0
HKIT.US,D,20230921,000000,352.5,375,334.5,343.5,2565.859999743414,0
HKIT.US,D,20230922,000000,366,367.5,337.5,349.5,1960.059999803994,0
HKIT.US,D,20230925,000000,352.5,382.5,345,370.5,1640.359999835964,0
HKIT.US,D,20230926,000000,364.5,402,357.015,369,2202.973333113036,0
HKIT.US,D,20230927,000000,379.5,379.5,346.8,358.5,1352.779999864722,0
HKIT.US,D,20230928,000000,355.5,360,337.5,349.5,1173.96666654927,0
HKIT.US,D,20230929,000000,357,364.5,339,346.5,1395.2999998604698,0
HKIT.US,D,20231002,000000,348.03,352.5,327,328.5,1374.006666529266,0
HKIT.US,D,20231003,000000,330,343.5,316.5,316.5,941.8866665724779,0
HKIT.US,D,20231004,000000,313.5,320.13,249.3,256.5,3883.446666278322,0
HKIT.US,D,20231005,000000,256.5,262.5,241.5,250.515,1169.613333216372,0
HKIT.US,D,20231006,000000,256.5,297,250.5,279,1805.126666486154,0
HKIT.US,D,20231009,000000,267,288,265.5,276,641.113333269222,0
HKIT.US,D,20231010,000000,267,294,262.5,292.5,636.059999936394,0
HKIT.US,D,20231011,000000,295.5,316.5,291,297,850.8266665815839,0
HKIT.US,D,20231012,000000,297,297,270,277.5,481.75333328515796,0
HKIT.US,D,20231013,000000,259.5,279,259.5,267,535.826666613084,0
HKIT.US,D,20231016,000000,276,282,267,274.5,331.113333300222,0
HKIT.US,D,20231017,000000,273,291,272.775,282,267.613333306572,0
HKIT.US,D,20231018,000000,280.5,285,271.5,280.5,291.379999970862,0
HKIT.US,D,20231019,000000,270,276,258,258,441.173333289216,0
HKIT.US,D,20231020,000000,252,259.5,240,241.5,551.36666661153,0
HKIT.US,D,20231023,000000,247.5,252,215.925,219,681.446666598522,0
HKIT.US,D,20231024,000000,222,230.55,219,219,411.73333329216,0
HKIT.US,D,20231025,000000,219,226.5,205.5,213,489.61999995103804,0
HKIT.US,D,20231026,000000,204,214.5,193.5,193.5,587.473333274586,0
HKIT.US,D,20231027,000000,187.5,190.5,165,174,755.09999992449,0
HKIT.US,D,20231030,000000,168,184.5,168,177,487.60666661790594,0
HKIT.US,D,20231031,000000,179.505,211.5,178.5,193.5,1113.686666555298,0
HKIT.US,D,20231101,000000,187.5,201,181.5,181.5,501.473333283186,0
HKIT.US,D,20231102,000000,183.15,189,183,187.5,223.333333311,0
HKIT.US,D,20231103,000000,193.5,201,189,199.5,497.93999995020596,0
HKIT.US,D,20231106,000000,205.5,207,190.5,190.5,348.253333298508,0
HKIT.US,D,20231107,000000,184.53,190.5,178.5,178.5,267.339999973266,0
HKIT.US,D,20231108,000000,175.5,181.5,172.5,180,124.14666665425199,0
HKIT.US,D,20231109,000000,178.5,180,160.5,162,441.91999995580795,0
HKIT.US,D,20231110,000000,163.5,169.5,162,169.5,183.79999998161998,0
HKIT.US,D,20231113,000000,162,169.5,162,164.37,536.373333279696,0
HKIT.US,D,20231114,000000,175.5,184.5,168,172.5,485.23999995147597,0
HKIT.US,D,20231115,000000,177,187.5,168,177,884.8533332448479,0
HKIT.US,D,20231116,000000,181.5,183,165,168,158.14666665085198,0
HKIT.US,D,20231117,000000,168,181.5,165,177,439.33333328939995,0
HKIT.US,D,20231120,000000,177,195,174,189,375.79999996242003,0
HKIT.US,D,20231121,000000,175.5,208.5,175.5,204,1087.546666557912,0
HKIT.US,D,20231122,000000,204,213.9,181.5,195,792.519999920748,0
HKIT.US,D,20231124,000000,186.015,216,186.015,207,537.5933332795739,0
HKIT.US,D,20231127,000000,189,202.5,189,201,207.05999997929402,0
HKIT.US,D,20231128,000000,201,211.5,193.5,198,325.83999996741596,0
HKIT.US,D,20231129,000000,196.5,202.5,192,198,259.42666664072397,0
HKIT.US,D,20231130,000000,192,196.5,181.5,183,462.52666662041395,0
HKIT.US,D,20231201,000000,181.5,183,168,175.5,444.29999995557,0
HKIT.US,D,20231204,000000,172.5,180,172.5,175.5,244.159999975584,0
HKIT.US,D,20231205,000000,177.96,180,168,172.5,637.9133332695419,0
HKIT.US,D,20231206,000000,169.5,177.75,163.5,171,294.293333303904,0
HKIT.US,D,20231207,000000,180,180,171,177,410.58666662560796,0
HKIT.US,D,20231208,000000,183,216,175.5,198,1613.739999838626,0
HKIT.US,D,20231211,000000,199.5,199.5,180,180,527.459999947254,0
HKIT.US,D,20231212,000000,187.5,187.5,172.5,176.955,288.986666637768,0
HKIT.US,D,20231213,000000,174,183,157.5,177,710.706666595596,0
HKIT.US,D,20231214,000000,180,183.75,169.5,172.5,507.27999994927194,0
HKIT.US,D,20231215,000000,171.015,178.725,159,159,456.58666662100796,0
HKIT.US,D,20231218,000000,162,171,159,162,777.83333325555,0
HKIT.US,D,20231219,000000,172.5,175.095,163.5,168,485.719999951428,0
HKIT.US,D,20231220,000000,166.5,193.5,165,177,849.419999915058,0
HKIT.US,D,20231221,000000,169.605,185.985,169.605,185.985,600.86666660658,0
HKIT.US,D,20231222,000000,178.5,183.315,168.015,175.5,423.559999957644,0
HKIT.US,D,20231226,000000,178.5,178.5,163.5,163.5,347.63333329857,0
HKIT.US,D,20231227,000000,171,171,154.5,157.5,851.959999914804,0
HKIT.US,D,20231228,000000,159,172.5,159,168,855.73333324776,0
HKIT.US,D,20231229,000000,172.485,172.485,154.5,157.5,615.5799999384419,0
HKIT.US,D,20240102,000000,162,162,153,156,450.126666621654,0
HKIT.US,D,20240103,000000,156,157.5,151.5,157.5,220.693333311264,0
HKIT.US,D,20240104,000000,156,156,91.5,118.5,4370.553332896277,0
HKIT.US,D,20240105,000000,119.835,147,119.835,124.65,3837.6866662828975,0
HKIT.US,D,20240108,000000,125.25,128.588,115.5,119.25,498.293333283504,0
HKIT.US,D,20240109,000000,117,122.115,115.5,119.925,170.49999998295,0
HKIT.US,D,20240110,000000,115.77,120,112.5,115.65,279.34666663873196,0
HKIT.US,D,20240111,000000,115.65,118.05,105.015,105.015,241.586666642508,0
HKIT.US,D,20240112,000000,105.015,107.423,98.625,103.05,208.759999979124,0
HKIT.US,D,20240116,000000,106.125,106.245,102,105.9,359.26666663073996,0
HKIT.US,D,20240117,000000,103.86,104.715,99.915,103.5,264.279999973572,0
