<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYPG.US,D,20260603,000000,25.96,26.8,25.445,25.9769,127462,0
HYPG.US,D,20260604,000000,23.28,24.3793,23.18,23.5116,113859,0
HYPG.US,D,20260605,000000,22.1,22.2,20.1,20.78,90204,0
HYPG.US,D,20260608,000000,22.73,23.2899,22.45,22.5282,144151,0
HYPG.US,D,20260609,000000,21.55,21.739,20.5,20.6925,82366,0
HYPG.US,D,20260610,000000,19.94,20.584,18.99,19.0763,71465,0
HYPG.US,D,20260611,000000,19.88,21.0589,19.85,20.7481,50426,0
HYPG.US,D,20260612,000000,21.36,22.04,20.945,21.4861,70554,0
HYPG.US,D,20260615,000000,24.07,24.59,23.605,23.7608,305387,0
HYPG.US,D,20260616,000000,26.68,27,25.5,25.5973,220878,0
HYPG.US,D,20260617,000000,25.27,27.08,25.15,25.4964,250616,0
HYPG.US,D,20260618,000000,25.41,25.41,23.55,24.1683,80025,0
HYPG.US,D,20260622,000000,24.39,24.55,23.62,23.8586,35145,0
HYPG.US,D,20260623,000000,22.3,22.48,21.88,21.9839,33400,0
HYPG.US,D,20260624,000000,21.53,21.58,20.8546,21.46,98067,0
