<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBGC.US,D,20260327,000000,24.776,24.776,24.776,24.776,4,0
IBGC.US,D,20260331,000000,25.0016,25.0016,25.0016,25.0016,6,0
IBGC.US,D,20260401,000000,25.0572,25.0572,25.0572,25.0572,5,0
IBGC.US,D,20260402,000000,25.14,25.14,25.1251,25.1251,100,0
IBGC.US,D,20260420,000000,25.22,25.27,25.22,25.27,102,0
IBGC.US,D,20260427,000000,25.06,25.0601,25.06,25.0601,104,0
IBGC.US,D,20260429,000000,24.89,24.89,24.8541,24.8541,819,0
IBGC.US,D,20260506,000000,25,25,24.99,24.9921,1149,0
IBGC.US,D,20260508,000000,24.98,24.98,24.9655,24.9655,330,0
IBGC.US,D,20260513,000000,24.62,24.63,24.61,24.6251,5185,0
IBGC.US,D,20260514,000000,24.77,24.77,24.6513,24.6513,200,0
IBGC.US,D,20260515,000000,24.38,24.38,24.292,24.292,4475,0
IBGC.US,D,20260518,000000,24.38,24.38,24.2916,24.2916,256,0
IBGC.US,D,20260519,000000,24.14,24.14,24.12,24.1222,772,0
IBGC.US,D,20260520,000000,24.17,24.4,24.17,24.3785,24374,0
IBGC.US,D,20260521,000000,24.28,24.46,24.27,24.46,23242,0
IBGC.US,D,20260522,000000,24.44,24.5556,24.44,24.5556,241,0
IBGC.US,D,20260526,000000,24.68,24.7,24.68,24.6863,912,0
IBGC.US,D,20260528,000000,24.84,24.89,24.84,24.8574,600,0
IBGC.US,D,20260529,000000,24.8708,24.93,24.85,24.8558,23323,0
IBGC.US,D,20260601,000000,24.65,24.7791,24.62,24.7791,206881,0
IBGC.US,D,20260602,000000,24.84,24.84,24.8099,24.8231,235,0
IBGC.US,D,20260603,000000,24.74,24.76,24.69,24.7341,4179,0
IBGC.US,D,20260604,000000,24.83,24.83,24.77,24.7836,1993,0
IBGC.US,D,20260605,000000,24.66,24.66,24.6278,24.6278,111,0
IBGC.US,D,20260608,000000,24.64,24.64,24.5411,24.5411,466,0
IBGC.US,D,20260609,000000,24.61,24.6701,24.61,24.6701,161,0
IBGC.US,D,20260610,000000,24.57,24.6047,24.57,24.6047,201,0
IBGC.US,D,20260611,000000,24.72,24.8999,24.72,24.8999,515,0
IBGC.US,D,20260612,000000,24.82,24.8321,24.82,24.8321,105,0
IBGC.US,D,20260615,000000,24.9,24.9,24.8421,24.8421,212,0
IBGC.US,D,20260616,000000,24.985,24.985,24.9769,24.9769,763,0
IBGC.US,D,20260617,000000,24.99,24.99,24.93,24.95,239,0
IBGC.US,D,20260618,000000,25.16,25.16,25.0883,25.0883,26314,0
IBGC.US,D,20260622,000000,24.95,24.95,24.9176,24.9176,252,0
IBGC.US,D,20260623,000000,24.97,24.97,24.9553,24.9553,191,0
IBGC.US,D,20260624,000000,25.25,25.25,25.25,25.25,1147,0
