<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDACU.US,D,20260515,000000,10,10.51,9.98,10,5083601,0
IDACU.US,D,20260518,000000,10,10.1,10,10.02,32671,0
IDACU.US,D,20260519,000000,10.03,10.07,10,10.005,30653,0
IDACU.US,D,20260520,000000,10.07,10.07,9.99,9.99,37484,0
IDACU.US,D,20260521,000000,10,10.0112,10,10.01,9100,0
IDACU.US,D,20260522,000000,10.04,10.04,10.03,10.04,335051,0
IDACU.US,D,20260526,000000,10.07,10.07,10.04,10.04,1737,0
IDACU.US,D,20260527,000000,10.01,10.03,10.01,10.03,2164,0
IDACU.US,D,20260528,000000,10.04,10.04,10.01,10.02,693,0
IDACU.US,D,20260529,000000,10.03,10.04,10.011,10.04,91590,0
IDACU.US,D,20260601,000000,10.1,10.1,10.1,10.1,286,0
IDACU.US,D,20260603,000000,10.01,10.02,10.01,10.02,1112,0
IDACU.US,D,20260604,000000,10.01,10.01,10.01,10.01,12441,0
IDACU.US,D,20260605,000000,9.98,10.07,9.98,10.07,49611,0
IDACU.US,D,20260608,000000,10.07,10.07,10.01,10.06,50540,0
IDACU.US,D,20260609,000000,10.07,10.07,10.07,10.07,232,0
IDACU.US,D,20260610,000000,10.07,10.09,10.05,10.09,25700,0
IDACU.US,D,20260611,000000,10.05,10.05,10.05,10.05,808,0
IDACU.US,D,20260612,000000,10.055,10.055,10.055,10.055,190,0
IDACU.US,D,20260615,000000,10.1,10.1,10.05,10.05,5603,0
IDACU.US,D,20260616,000000,10.05,10.05,10.01,10.0352,34454,0
IDACU.US,D,20260617,000000,10.04,10.04,10.01,10.01,24074,0
IDACU.US,D,20260622,000000,10.02,10.1,10,10.01,46495,0
IDACU.US,D,20260623,000000,10.04,10.04,10.02,10.03,160384,0
IDACU.US,D,20260624,000000,10.03,10.03,10.03,10.03,104,0
