<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IEAG.US,D,20260310,000000,10.05,10.05,10,10,3456,0
IEAG.US,D,20260311,000000,10.025,10.04,10.025,10.04,1149,0
IEAG.US,D,20260312,000000,10,10.04,9.98,10.02,1085518,0
IEAG.US,D,20260313,000000,10.05,10.05,10.05,10.05,102,0
IEAG.US,D,20260316,000000,10.03,10.03,10,10.03,201204,0
IEAG.US,D,20260317,000000,10.02,10.02,10.02,10.02,316,0
IEAG.US,D,20260318,000000,10,10.02,10,10.02,680,0
IEAG.US,D,20260319,000000,10.02,10.02,10,10.01,130308,0
IEAG.US,D,20260320,000000,10.01,10.03,9.97,10.03,13341,0
IEAG.US,D,20260324,000000,10.01,10.01,10.01,10.01,101,0
IEAG.US,D,20260325,000000,10.01,10.05,10.01,10.05,649,0
IEAG.US,D,20260326,000000,10,10.01,9.99,10.01,356734,0
IEAG.US,D,20260327,000000,9.9999,10.005,9.9999,10,36501,0
IEAG.US,D,20260330,000000,10,10,10,10,150548,0
IEAG.US,D,20260331,000000,9.97,10,9.97,10,2990,0
IEAG.US,D,20260401,000000,10,10,10,10,13406,0
IEAG.US,D,20260402,000000,9.99,10,9.99,10,7042,0
IEAG.US,D,20260406,000000,9.99,9.99,9.99,9.99,569,0
IEAG.US,D,20260408,000000,10,10,10,10,403,0
IEAG.US,D,20260409,000000,10,10,10,10,2005,0
IEAG.US,D,20260413,000000,10,10,10,10,2101,0
IEAG.US,D,20260415,000000,10,10.005,9.995,10,88181,0
IEAG.US,D,20260416,000000,10.005,10.015,10.005,10.015,17578,0
IEAG.US,D,20260417,000000,10.015,10.03,10.015,10.03,1035036,0
IEAG.US,D,20260421,000000,10.03,10.05,10.03,10.03,41520,0
IEAG.US,D,20260422,000000,10.03,10.03,10.03,10.03,51101,0
IEAG.US,D,20260423,000000,10.03,10.06,10.03,10.03,32141,0
IEAG.US,D,20260429,000000,10.02,10.02,10.02,10.02,11612,0
IEAG.US,D,20260501,000000,10.01,10.02,10.01,10.02,13143,0
IEAG.US,D,20260504,000000,10.029,10.029,10.029,10.029,4119,0
IEAG.US,D,20260508,000000,10.03,10.06,10.03,10.04,39863,0
IEAG.US,D,20260511,000000,10.03,10.08,10.03,10.08,61418,0
IEAG.US,D,20260512,000000,10.04,10.04,10.04,10.04,324982,0
IEAG.US,D,20260514,000000,10.04,10.0487,10.04,10.04,109550,0
IEAG.US,D,20260518,000000,10.05,10.05,10.05,10.05,405,0
IEAG.US,D,20260522,000000,10.02,10.0398,10.02,10.034,400,0
IEAG.US,D,20260526,000000,10.02,10.02,10.02,10.02,104,0
IEAG.US,D,20260527,000000,10.03,10.05,10.03,10.05,1774,0
IEAG.US,D,20260528,000000,10.02,10.18,10.02,10.05,512291,0
IEAG.US,D,20260529,000000,10.04,10.15,10.04,10.04,250521,0
IEAG.US,D,20260601,000000,10.03,10.03,10.03,10.03,504,0
IEAG.US,D,20260602,000000,10.03,10.03,10.03,10.03,102,0
IEAG.US,D,20260604,000000,10.03,10.03,10.03,10.03,211,0
IEAG.US,D,20260605,000000,10.03,10.0569,10.03,10.0569,301,0
IEAG.US,D,20260608,000000,10.03,10.03,10.03,10.03,113,0
IEAG.US,D,20260609,000000,10.03,10.03,10.03,10.03,101,0
IEAG.US,D,20260610,000000,10.03,10.03,10.03,10.03,101,0
IEAG.US,D,20260611,000000,10.03,10.03,10.03,10.03,107,0
IEAG.US,D,20260612,000000,10.04,10.04,10.03,10.04,5408,0
IEAG.US,D,20260615,000000,10.04,10.04,10.04,10.04,114,0
IEAG.US,D,20260616,000000,10.03,10.03,10.03,10.03,264,0
IEAG.US,D,20260617,000000,10.03,10.03,10.03,10.03,107,0
IEAG.US,D,20260618,000000,10.03,10.03,10.03,10.03,102,0
IEAG.US,D,20260623,000000,10.07,10.07,10.07,10.07,629,0
IEAG.US,D,20260624,000000,10.08,10.1,10.06,10.06,35121,0
